300148 天舟文化 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	7.07	7.47	7.07	7.13	7182018	179400144.000
01/05/2012	6.95	7.36	6.75	7.11	7266928	176717056.000
01/06/2012	7.01	7.11	6.82	6.97	4487091	107799320.000
01/09/2012	7.03	7.66	6.96	7.53	9181714	231741024.000
01/10/2012	7.44	8.06	7.44	8.01	10707898	286018912.000
01/11/2012	7.92	8.41	7.92	7.99	9056453	251880864.000
01/12/2012	7.93	8.15	7.86	7.91	6603920	181091808.000
01/13/2012	7.93	8.09	7.41	7.41	7827203	205734000.000
01/16/2012	7.14	7.17	6.79	6.83	5701170	137296656.000
01/17/2012	6.70	7.25	6.53	7.08	7144937	171044240.000
01/18/2012	6.97	7.26	6.64	6.70	7249579	173996448.000
01/19/2012	6.65	6.65	6.02	6.07	8112814	173327488.000
01/20/2012	6.11	6.36	6.11	6.16	4631332	99904056.000
01/30/2012	6.15	6.40	6.15	6.34	4552584	99394760.000
01/31/2012	6.34	6.62	6.15	6.55	5793992	127681528.000
02/01/2012	6.44	6.58	6.22	6.28	4230856	93832776.000
02/02/2012	6.36	6.67	6.23	6.58	7346571	164427808.000
02/03/2012	6.49	6.70	6.46	6.60	6557660	148971440.000
02/06/2012	6.60	6.69	6.54	6.61	4676037	106582336.000
02/07/2012	6.55	7.11	6.50	6.92	10839738	257114960.000
02/08/2012	6.82	7.09	6.71	6.96	8493129	201588928.000
02/09/2012	6.92	7.26	6.88	7.04	8619535	210475712.000
02/10/2012	6.99	7.13	6.88	6.95	6165628	148222240.000
02/13/2012	6.83	7.23	6.82	7.07	7517265	182997984.000
02/14/2012	7.11	7.11	6.89	7.04	5297758	127599720.000
02/15/2012	7.05	7.55	7.01	7.36	10985473	275233184.000
02/16/2012	7.35	7.49	7.14	7.24	8754533	220640416.000
02/17/2012	7.22	7.31	7.09	7.20	4747148	117748280.000
02/20/2012	7.32	7.40	7.16	7.18	4863769	122037448.000
02/21/2012	7.09	7.40	7.08	7.32	7719369	193139920.000
02/22/2012	7.31	7.56	7.20	7.46	8979973	228573008.000
02/23/2012	7.44	7.52	7.26	7.33	6633499	168221920.000
02/24/2012	7.32	7.65	7.29	7.40	8611164	221633120.000
02/27/2012	7.38	7.62	7.32	7.43	7978238	205188032.000
