300153 科泰电源 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	5.55	5.68	5.30	5.40	3181218	37093036.000
01/05/2012	5.35	5.38	4.83	4.90	2527257	27181562.000
01/06/2012	4.87	4.90	4.54	4.80	2201840	22163244.000
01/09/2012	4.75	5.05	4.65	5.01	3731776	39011000.000
01/10/2012	5.00	5.28	4.91	5.24	4158911	45626740.000
01/12/2012	5.40	5.52	5.18	5.18	4094731	46466460.000
01/13/2012	5.13	5.20	4.66	4.69	3157609	33080114.000
01/16/2012	4.53	4.61	4.36	4.36	1650516	15960178.000
01/17/2012	4.34	4.83	4.28	4.83	2669478	26397524.000
01/18/2012	4.95	4.95	4.46	4.48	3310174	33372814.000
01/19/2012	4.43	4.78	4.33	4.68	2357839	23391996.000
01/20/2012	4.62	4.74	4.49	4.66	1918583	19193208.000
01/30/2012	4.69	4.80	4.63	4.75	1436055	14557675.000
01/31/2012	4.69	4.73	4.56	4.64	1087804	10807184.000
02/01/2012	4.64	4.78	4.60	4.62	1395168	14108102.000
02/02/2012	4.62	4.79	4.60	4.76	1762719	17840434.000
02/03/2012	4.76	4.98	4.71	4.97	2679626	27866004.000
02/06/2012	5.02	5.05	4.86	4.97	2427878	25594638.000
02/07/2012	4.90	4.95	4.80	4.84	1727298	17992212.000
02/08/2012	4.78	5.21	4.77	5.04	3900430	42075812.000
02/09/2012	5.07	5.22	4.98	5.09	3429813	37354300.000
02/10/2012	5.09	5.14	4.96	5.04	2257152	24360260.000
02/13/2012	5.03	5.21	4.95	5.14	3019731	32924096.000
02/14/2012	5.17	5.17	4.98	5.06	2133471	23140746.000
02/15/2012	5.02	5.43	5.00	5.27	4466166	49818072.000
02/16/2012	5.27	5.39	5.17	5.33	3778182	42536200.000
02/17/2012	5.33	5.37	5.14	5.22	2214997	24721914.000
02/20/2012	5.33	5.35	5.15	5.18	2344209	26263708.000
02/21/2012	5.15	5.44	5.02	5.44	4789201	53795664.000
02/22/2012	5.39	5.73	5.38	5.55	5391551	63694552.000
02/23/2012	5.55	5.71	5.43	5.57	4166488	49428712.000
02/24/2012	5.70	6.14	5.66	5.69	5699226	70236480.000
02/27/2012	5.67	5.76	5.59	5.59	4301736	51642908.000
02/28/2012	5.57	5.58	5.35	5.43	3366232	39056600.000
02/29/2012	5.39	5.52	5.36	5.37	1691239	19537042.000
03/01/2012	5.36	5.48	5.36	5.43	1490516	17217834.000
03/02/2012	5.43	5.54	5.41	5.54	1525036	17819880.000
03/05/2012	5.55	5.70	5.48	5.52	1862265	22014312.000
03/06/2012	5.47	5.52	5.26	5.30	2490562	28247774.000
03/07/2012	5.23	5.39	5.19	5.28	1868035	21171634.000
03/08/2012	5.32	5.38	5.28	5.35	1514625	17236832.000
03/09/2012	5.36	5.47	5.35	5.46	1881882	21652916.000
03/12/2012	5.53	5.64	5.45	5.53	2156996	25320602.000
03/13/2012	5.50	5.73	5.50	5.69	3780816	45333128.000
03/14/2012	5.73	5.75	5.09	5.19	4193127	48815800.000
03/15/2012	5.22	5.27	4.93	5.02	2245536	24251236.000
03/16/2012	5.01	5.14	4.93	5.10	1745913	18805924.000
03/19/2012	5.16	5.21	5.07	5.18	1630441	17868262.000
03/20/2012	5.15	5.22	4.85	4.86	1930036	20678790.000
03/21/2012	4.90	4.99	4.81	4.94	1230256	12906863.000
03/22/2012	4.92	5.05	4.88	4.96	931509	9877309.000
03/23/2012	4.94	4.94	4.83	4.86	779604	8139931.500
03/26/2012	4.86	4.93	4.81	4.84	638006	6649522.500
03/27/2012	4.89	4.91	4.83	4.84	571552	5960653.000
03/28/2012	4.81	4.83	4.57	4.59	1608188	16043823.000
03/29/2012	4.56	4.62	4.48	4.52	758658	7414689.000
03/30/2012	4.52	4.59	4.50	4.54	846469	8286921.000
04/05/2012	4.56	4.64	4.55	4.64	949576	9401212.000
04/06/2012	4.66	4.79	4.60	4.69	1144858	11481398.000
04/09/2012	4.69	4.69	4.48	4.51	699958	6921875.000
04/10/2012	4.44	4.55	4.34	4.55	1049186	10002718.000
04/11/2012	4.48	4.59	4.43	4.54	537577	5239000.500
04/12/2012	4.54	4.70	4.54	4.67	1233383	12294555.000
04/13/2012	4.70	4.74	4.63	4.72	1319052	13292148.000
04/16/2012	4.67	4.69	4.58	4.67	837300	8365853.500
04/17/2012	4.66	4.73	4.64	4.65	869276	8743989.000
04/18/2012	4.65	4.78	4.65	4.76	1056181	10713901.000
04/19/2012	4.79	4.87	4.75	4.76	1205340	12417023.000
04/20/2012	4.73	4.80	4.70	4.78	1074094	10967547.000
04/23/2012	4.70	4.73	4.27	4.28	2909249	27660920.000
04/25/2012	4.15	4.25	4.08	4.22	1703380	15349853.000
04/26/2012	4.19	4.24	4.15	4.17	971927	8810691.000
04/27/2012	4.18	4.24	4.16	4.20	740677	6731044.500
05/02/2012	4.25	4.29	4.18	4.21	1050810	9600771.000
05/03/2012	4.20	4.24	4.16	4.22	630681	5743480.500
05/04/2012	4.23	4.31	4.23	4.29	997453	9225964.000
05/07/2012	4.28	4.42	4.25	4.42	1273515	11970382.000
05/08/2012	4.40	4.73	4.38	4.58	2671843	26279442.000
05/09/2012	4.53	4.53	4.39	4.42	1435740	13718800.000
05/10/2012	4.42	4.52	4.38	4.50	1036394	10002299.000
05/11/2012	4.53	4.54	4.41	4.42	708417	6826800.000
