300156 神雾环保 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	5.06	5.06	4.71	4.72	1170024	26204440.000
01/05/2012	4.65	4.65	4.23	4.23	1300485	26182882.000
01/06/2012	4.12	4.22	3.83	3.98	1542304	28393240.000
01/09/2012	3.94	4.12	3.90	4.10	2256482	42123804.000
01/10/2012	4.12	4.37	4.04	4.36	4343404	83720256.000
01/11/2012	4.31	4.52	4.27	4.33	3463802	69705160.000
01/12/2012	4.29	4.36	4.21	4.24	2098545	41382860.000
01/13/2012	4.24	4.25	3.80	3.80	3528950	64260092.000
01/16/2012	3.68	3.68	3.54	3.55	2171812	36045956.000
01/17/2012	3.52	3.73	3.46	3.72	2792003	46712716.000
01/18/2012	3.71	3.74	3.41	3.43	2033782	33817308.000
01/19/2012	3.42	3.65	3.39	3.58	1803391	29586368.000
01/20/2012	3.59	3.71	3.54	3.64	1415225	23896958.000
01/30/2012	3.67	3.80	3.62	3.72	2020165	34812192.000
01/31/2012	3.64	3.69	3.59	3.68	1179943	19895596.000
02/01/2012	3.64	3.87	3.63	3.72	1967365	34271984.000
02/02/2012	3.83	3.90	3.77	3.86	2428968	43027416.000
02/03/2012	3.83	4.03	3.81	4.01	2604178	47505040.000
02/06/2012	4.01	4.13	3.96	4.04	2098577	39129472.000
02/07/2012	4.04	4.04	3.87	3.90	1943412	35318932.000
02/08/2012	3.88	4.09	3.88	4.08	2108974	39194784.000
02/09/2012	4.07	4.24	4.07	4.12	2687444	51588060.000
02/10/2012	4.16	4.18	4.08	4.10	1195999	22720190.000
02/13/2012	4.10	4.30	4.04	4.25	2275519	44263340.000
02/14/2012	4.24	4.37	4.19	4.32	1776308	35139392.000
02/15/2012	4.32	4.42	4.25	4.36	1874497	37488664.000
02/16/2012	4.32	4.41	4.25	4.32	1276546	25381188.000
02/17/2012	4.34	4.36	4.20	4.26	1218210	23882116.000
02/20/2012	4.33	4.38	4.25	4.29	1477377	29349494.000
02/21/2012	4.29	4.50	4.25	4.49	2147218	43262800.000
02/22/2012	4.49	4.60	4.46	4.60	1832608	38367860.000
02/23/2012	4.56	4.63	4.51	4.56	1157404	24301444.000
02/24/2012	4.52	4.74	4.52	4.60	1386535	29587324.000
02/27/2012	4.61	4.69	4.54	4.61	2043235	43527004.000
02/28/2012	4.68	4.92	4.64	4.75	3105342	67580616.000
02/29/2012	4.74	4.74	4.62	4.64	1343192	28867160.000
03/01/2012	4.61	4.72	4.61	4.65	1148967	24672374.000
03/02/2012	4.65	4.82	4.65	4.81	1677471	36676656.000
03/05/2012	4.81	4.91	4.79	4.84	1684994	37441164.000
03/06/2012	4.82	4.82	4.66	4.73	1229851	26720868.000
03/07/2012	4.65	4.85	4.64	4.77	1410483	30911848.000
03/08/2012	4.76	4.87	4.75	4.80	1183445	26214898.000
03/09/2012	4.79	4.85	4.75	4.83	1206240	26629388.000
03/12/2012	4.84	4.91	4.81	4.90	1606277	35804212.000
03/13/2012	4.91	5.27	4.91	5.23	4112789	95929224.000
03/14/2012	5.19	5.26	4.78	5.01	5147959	119412736.000
03/15/2012	4.97	4.98	4.74	4.74	3036769	67276016.000
03/16/2012	4.75	4.86	4.73	4.85	2531769	55943076.000
