300167 迪威视讯 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	3.79	3.83	3.61	3.64	123586	2130274.250
01/05/2012	3.57	3.67	3.28	3.30	230698	3643423.750
01/06/2012	3.35	3.45	3.35	3.40	178502	2812397.250
01/09/2012	3.37	3.60	3.26	3.57	215163	3424159.000
01/10/2012	3.57	3.72	3.53	3.69	194861	3279625.000
01/11/2012	3.66	3.76	3.64	3.71	140377	2407345.250
01/12/2012	3.76	3.76	3.61	3.67	138226	2350880.500
01/13/2012	3.67	3.70	3.44	3.44	131220	2126646.000
01/16/2012	3.28	3.43	3.28	3.28	96847	1497526.125
01/17/2012	3.28	3.50	3.28	3.43	138648	2169611.000
01/18/2012	3.49	3.59	3.29	3.33	162258	2577244.500
01/19/2012	3.30	3.41	3.30	3.36	109591	1705981.750
01/20/2012	3.40	3.43	3.37	3.42	121843	1924442.625
01/30/2012	3.41	3.48	3.38	3.45	128680	2050198.750
01/31/2012	3.41	3.43	3.37	3.43	97950	1543108.000
02/01/2012	3.44	3.45	3.35	3.43	114524	1809305.375
02/02/2012	3.43	3.48	3.39	3.43	246266	3903504.000
02/03/2012	3.45	3.72	3.42	3.65	1135377	18568624.000
02/06/2012	3.65	3.68	3.55	3.66	851288	14206000.000
02/07/2012	3.64	3.64	3.53	3.54	357889	5922301.000
02/08/2012	3.54	3.64	3.52	3.61	340240	5647349.500
02/09/2012	3.62	3.71	3.60	3.62	407092	6893202.500
02/10/2012	3.61	3.69	3.60	3.68	289574	4877473.000
02/13/2012	3.68	3.81	3.57	3.74	1088171	18480528.000
02/14/2012	3.68	3.79	3.68	3.71	816991	14043497.000
02/15/2012	3.70	3.86	3.68	3.81	1113568	19466532.000
02/16/2012	3.79	3.88	3.70	3.71	1450924	25312974.000
02/17/2012	3.76	3.76	3.57	3.63	1439745	24260178.000
02/20/2012	3.67	4.00	3.66	4.00	3013044	54162596.000
02/21/2012	4.01	4.42	3.99	4.42	5675253	109553672.000
02/22/2012	4.61	4.87	4.51	4.87	7239019	156273104.000
02/23/2012	4.98	5.06	4.82	4.93	11292304	254467472.000
02/24/2012	4.88	4.95	4.83	4.89	5910672	132378600.000
02/27/2012	4.87	4.97	4.86	4.91	5488857	123492312.000
02/28/2012	4.84	4.93	4.73	4.85	4570739	101221592.000
02/29/2012	4.85	4.88	4.72	4.86	3713396	82124744.000
03/01/2012	4.86	5.00	4.77	4.92	5520522	123902200.000
03/02/2012	4.91	5.05	4.85	4.96	6586244	150239792.000
03/05/2012	4.96	5.28	4.88	4.88	9019316	208836336.000
03/06/2012	4.77	5.06	4.73	5.05	6507262	145669056.000
03/07/2012	4.97	5.23	4.87	4.88	6236862	143946176.000
03/08/2012	4.86	5.01	4.86	4.93	3060337	69159416.000
03/09/2012	4.99	5.06	4.94	4.99	3546700	81185920.000
03/12/2012	5.01	5.12	4.92	5.10	5248986	121545192.000
03/13/2012	5.13	5.13	4.95	5.02	3426404	78834792.000
03/14/2012	5.03	5.11	4.51	4.51	5814984	128783976.000
03/15/2012	4.40	4.50	4.19	4.24	4062158	80715904.000
03/16/2012	4.24	4.34	4.19	4.33	2861052	56268616.000
03/19/2012	4.29	4.34	4.21	4.32	2125234	41817456.000
03/20/2012	4.32	4.32	4.16	4.17	1829366	35524176.000
03/21/2012	4.19	4.23	4.04	4.17	2441983	46307468.000
03/22/2012	4.14	4.21	4.08	4.15	1635411	31251636.000
03/23/2012	4.14	4.15	3.99	4.01	2047551	38286596.000
03/26/2012	3.97	4.03	3.92	3.99	1249519	22929702.000
03/27/2012	4.01	4.10	3.99	4.00	1533640	28549782.000
03/28/2012	3.99	3.99	3.68	3.74	1703914	30168970.000
03/29/2012	3.69	3.82	3.69	3.74	1438442	24835974.000
03/30/2012	3.74	3.83	3.55	3.64	1467604	24856718.000
04/05/2012	3.61	3.76	3.49	3.72	1513068	25604980.000
04/06/2012	3.70	3.80	3.66	3.76	1945972	33627936.000
04/09/2012	3.70	3.77	3.64	3.64	1232884	21127512.000
04/10/2012	3.61	3.67	3.46	3.66	1582368	26140618.000
04/11/2012	3.60	3.78	3.56	3.75	1726739	29636488.000
04/12/2012	3.75	3.98	3.68	3.90	2892187	51287160.000
04/13/2012	3.90	3.95	3.83	3.86	2120069	37918636.000
04/16/2012	3.82	3.88	3.79	3.80	1613909	28455454.000
04/17/2012	3.75	3.84	3.72	3.75	1079884	18801874.000
