300173 智慧松德 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	2.96	2.98	2.84	2.85	206233	2440770.500
01/05/2012	2.82	2.82	2.65	2.68	319327	3534619.000
01/06/2012	2.64	2.68	2.52	2.64	364220	3866992.500
01/09/2012	2.64	2.73	2.60	2.73	434553	4749300.000
01/10/2012	2.74	2.84	2.73	2.83	519801	5911030.000
01/11/2012	2.83	2.88	2.80	2.83	330280	3815035.500
01/12/2012	2.82	2.86	2.78	2.79	389401	4462260.500
01/13/2012	2.83	2.84	2.57	2.62	355592	3912381.250
01/16/2012	2.65	2.65	2.54	2.54	174093	1834414.000
01/17/2012	2.54	2.73	2.54	2.71	212442	2296443.250
01/18/2012	2.74	2.76	2.57	2.59	323440	3540031.750
01/19/2012	2.58	2.68	2.58	2.68	237931	2556854.000
01/20/2012	2.71	2.72	2.66	2.69	252071	2767577.500
01/30/2012	2.69	2.71	2.63	2.64	329208	3591258.250
01/31/2012	2.64	2.65	2.59	2.65	156989	1681474.875
02/01/2012	2.64	2.70	2.63	2.64	211287	2295471.750
02/02/2012	2.65	2.71	2.64	2.71	185009	2024966.000
02/03/2012	2.74	2.79	2.70	2.78	506819	5695552.500
02/06/2012	2.78	2.80	2.76	2.78	403145	4566160.000
02/07/2012	2.78	2.78	2.69	2.71	345446	3831553.500
02/08/2012	2.73	2.79	2.69	2.78	418818	4722533.000
02/09/2012	2.78	2.85	2.78	2.80	615768	7069782.500
02/10/2012	2.80	2.84	2.79	2.80	618095	7067516.500
02/13/2012	2.80	2.90	2.77	2.86	1039906	12055726.000
02/14/2012	2.87	2.88	2.83	2.86	363602	4226973.000
02/15/2012	2.89	2.92	2.85	2.91	629279	7404133.000
02/16/2012	2.91	2.94	2.86	2.90	699590	8255715.500
02/17/2012	2.90	2.91	2.84	2.86	498971	5833750.500
02/20/2012	2.89	2.93	2.88	2.89	512941	6049769.000
02/21/2012	2.89	2.92	2.84	2.91	464438	5444892.000
02/22/2012	2.90	3.00	2.90	2.99	749540	9030603.000
02/23/2012	2.99	3.07	2.99	3.04	1319660	16198120.000
02/24/2012	3.06	3.10	3.03	3.06	884744	10966644.000
02/27/2012	3.08	3.09	3.03	3.03	955067	11850188.000
02/28/2012	3.01	3.02	2.95	2.98	879029	10656194.000
