300175 朗源股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	4.11	4.13	3.94	3.94	1079537	8819919.000
01/05/2012	3.90	3.91	3.66	3.67	1593639	12221002.000
01/06/2012	3.59	3.72	3.43	3.68	1892284	13688876.000
01/09/2012	3.62	3.85	3.58	3.85	1999164	15292741.000
01/10/2012	3.85	4.07	3.84	4.02	2836047	22922726.000
01/11/2012	4.03	4.13	3.96	4.03	2247769	18392138.000
01/12/2012	4.02	4.08	3.96	3.99	1549687	12571713.000
01/13/2012	3.98	4.02	3.66	3.68	2588826	19908586.000
01/16/2012	3.62	3.67	3.50	3.50	1143920	8312318.000
01/17/2012	3.52	3.73	3.45	3.72	1850529	13617892.000
01/18/2012	3.70	3.77	3.50	3.53	2384842	17460974.000
01/19/2012	3.52	3.62	3.48	3.58	1120682	8094064.000
01/20/2012	3.59	3.69	3.56	3.68	1379272	10208361.000
01/30/2012	3.70	3.73	3.64	3.66	1299948	9705468.000
01/31/2012	3.65	3.68	3.57	3.61	934617	6822310.000
02/01/2012	3.61	3.71	3.61	3.64	1575767	11656251.000
02/02/2012	3.69	3.74	3.64	3.74	1801640	13500504.000
02/03/2012	3.74	3.94	3.71	3.88	2954300	22811034.000
02/06/2012	3.86	3.95	3.80	3.91	2473222	19431512.000
02/07/2012	3.89	3.90	3.73	3.76	2231174	17135622.000
02/08/2012	3.76	3.87	3.73	3.86	1898113	14685668.000
02/09/2012	3.86	4.03	3.84	3.93	3898888	31199998.000
02/10/2012	3.93	3.98	3.87	3.94	2855264	22665798.000
02/13/2012	3.88	4.02	3.87	3.98	2729095	21890150.000
02/14/2012	3.95	4.13	3.90	3.92	2248177	17922762.000
02/15/2012	3.90	4.01	3.90	4.01	2929230	23530102.000
02/16/2012	4.00	4.25	3.99	4.21	6209446	51990880.000
02/17/2012	4.17	4.32	4.01	4.22	6570972	55502968.000
02/20/2012	4.34	4.45	4.18	4.35	5856591	50967712.000
02/21/2012	4.33	4.43	4.23	4.38	4808063	42139864.000
02/22/2012	4.42	4.45	4.31	4.43	4114330	36561060.000
02/23/2012	4.43	4.54	4.38	4.47	3950396	35623640.000
02/24/2012	4.42	4.47	4.34	4.41	4509632	40049708.000
02/27/2012	4.41	4.44	4.34	4.43	5347729	47437552.000
02/28/2012	4.42	4.42	4.19	4.26	4299683	37420248.000
02/29/2012	4.22	4.30	4.11	4.12	2871991	24256396.000
03/01/2012	4.10	4.17	4.08	4.13	1569393	13124396.000
03/02/2012	4.14	4.20	4.13	4.19	2807235	23671280.000
03/05/2012	4.19	4.28	4.18	4.23	3294517	28165922.000
03/06/2012	4.28	4.28	4.17	4.21	3002421	25677394.000
03/07/2012	4.16	4.25	4.12	4.18	2370519	19982936.000
03/08/2012	4.16	4.24	4.13	4.24	2514888	21319340.000
03/09/2012	4.23	4.33	4.21	4.32	3671787	31812266.000
03/12/2012	4.33	4.33	4.22	4.28	3011639	26021444.000
03/13/2012	4.30	4.40	4.27	4.39	3998053	35239192.000
03/14/2012	4.41	4.60	4.28	4.34	10428196	93765032.000
03/15/2012	4.34	4.44	4.13	4.43	5381481	46689684.000
03/16/2012	4.40	4.79	4.40	4.79	11589459	107909056.000
03/19/2012	4.75	4.91	4.64	4.90	9546569	91527360.000
03/20/2012	4.84	4.84	4.59	4.59	5738006	54627640.000
03/21/2012	4.62	4.64	4.40	4.57	4457073	40690232.000
03/22/2012	4.55	4.69	4.44	4.56	3917245	36084096.000
03/23/2012	4.55	4.55	4.26	4.33	3171336	28258078.000
03/26/2012	4.30	4.31	4.17	4.24	2894687	24835596.000
03/27/2012	4.31	4.32	4.20	4.22	1320877	11386270.000
03/28/2012	4.20	4.20	3.86	3.88	2687384	21802496.000
03/29/2012	3.86	3.89	3.74	3.77	1448220	11169930.000
03/30/2012	3.79	3.83	3.68	3.74	1150958	8760655.000
04/05/2012	3.74	3.86	3.74	3.83	2186199	16941140.000
04/06/2012	3.84	3.95	3.81	3.94	2405697	18962490.000
04/09/2012	3.95	4.07	3.91	3.92	3024061	24498564.000
04/10/2012	3.78	3.91	3.70	3.90	3133900	24164204.000
04/11/2012	3.84	3.89	3.77	3.86	1881908	14632435.000
04/12/2012	3.86	3.99	3.83	3.98	2316061	18330034.000
04/13/2012	3.99	4.05	3.95	3.99	2457199	19860192.000
04/16/2012	3.95	4.13	3.89	4.08	3663951	29728094.000
04/17/2012	4.05	4.25	4.04	4.13	4131424	34685736.000
04/18/2012	4.24	4.34	4.15	4.29	4576830	39422396.000
04/19/2012	4.30	4.37	4.22	4.35	4179138	36362916.000
04/20/2012	4.35	4.39	4.31	4.36	4475414	39436096.000
04/23/2012	4.33	4.38	4.11	4.34	4726717	40431536.000
04/24/2012	4.25	4.32	4.11	4.26	2299368	19631540.000
04/25/2012	4.24	4.32	4.15	4.23	2721112	23262680.000
04/26/2012	4.25	4.32	4.06	4.28	4832948	41156144.000
04/27/2012	4.27	4.30	4.15	4.20	2612605	22327482.000
05/02/2012	4.24	4.25	4.11	4.18	3848296	32587402.000
05/03/2012	4.14	4.22	4.14	4.18	1989453	16855942.000
05/04/2012	4.17	4.60	4.17	4.60	9908804	90245096.000
05/07/2012	4.70	5.05	4.70	4.96	14877457	146797968.000
05/08/2012	4.89	5.06	4.88	5.06	8380472	84363928.000
05/09/2012	5.05	5.25	4.99	5.08	9762699	100497864.000
05/10/2012	5.00	5.20	5.00	5.18	4954344	51041700.000
05/11/2012	5.14	5.50	5.11	5.45	5268752	56439712.000
05/14/2012	5.46	5.51	5.30	5.30	6468784	70326248.000
05/15/2012	5.19	5.34	5.04	5.31	6079608	64038212.000
05/16/2012	5.27	5.34	5.15	5.25	2493699	26332020.000
05/17/2012	5.25	5.34	5.13	5.25	2861992	30395814.000
05/18/2012	5.22	5.35	5.18	5.28	2535454	26961888.000
05/21/2012	5.22	5.54	5.22	5.40	3338337	36587612.000
05/22/2012	5.48	5.48	5.22	5.25	7300745	78220088.000
05/23/2012	5.23	5.38	5.10	5.24	8446609	89590768.000
05/24/2012	5.30	5.31	5.17	5.25	3659886	38560896.000
05/25/2012	5.45	5.45	4.95	5.26	17764305	186166576.000
05/28/2012	5.15	5.31	5.05	5.24	7487452	78949952.000
05/29/2012	5.19	5.28	5.14	5.22	5611050	59021500.000
05/30/2012	5.19	5.34	5.16	5.32	4152379	44113320.000
05/31/2012	5.35	5.35	5.14	5.25	4169790	43965104.000
06/01/2012	5.24	5.39	5.21	5.37	6503216	69565024.000
06/04/2012	5.33	5.44	5.13	5.13	4426790	47170688.000
06/05/2012	5.05	5.14	4.89	4.92	3477159	35024656.000
06/06/2012	4.90	4.99	4.80	4.87	2452480	24216550.000
06/07/2012	5.04	5.04	4.81	4.94	2546606	25275418.000
06/08/2012	4.93	5.10	4.90	5.05	2435335	24646148.000
06/11/2012	5.01	5.13	4.94	5.05	1566828	15973175.000
06/12/2012	5.06	5.13	5.00	5.00	1274901	13007769.000
06/13/2012	4.99	5.03	4.85	5.00	2533552	25349676.000
06/14/2012	5.00	5.27	4.95	5.17	2444107	25371668.000
06/15/2012	5.20	5.23	5.03	5.18	1681145	17402234.000
06/18/2012	5.18	5.22	5.05	5.15	1536494	15934662.000
06/19/2012	5.15	5.20	5.05	5.15	2158634	22353818.000
06/20/2012	5.13	5.20	5.06	5.08	998060	10288959.000
06/21/2012	5.07	5.10	4.93	4.98	1383576	13965817.000
06/25/2012	4.98	5.03	4.83	4.88	947219	9354609.000
06/26/2012	4.83	4.97	4.78	4.94	1068163	10600579.000
06/27/2012	4.96	4.96	4.84	4.89	725208	7186561.000
06/28/2012	4.89	4.91	4.82	4.86	770505	7577300.000
06/29/2012	4.78	5.35	4.70	5.35	5604709	58123492.000
07/02/2012	5.34	5.61	5.30	5.50	5374658	59257540.000
07/03/2012	5.51	5.68	5.49	5.51	3864472	43503764.000
07/04/2012	5.52	5.61	5.37	5.60	3471075	38548672.000
07/05/2012	5.60	5.60	5.45	5.60	2040749	22874478.000
07/06/2012	5.65	5.77	5.54	5.70	2763594	31516898.000
07/09/2012	5.69	5.98	5.65	5.75	3140436	37058480.000
07/10/2012	5.66	5.85	5.46	5.53	2190122	24718130.000
07/11/2012	5.53	5.68	5.48	5.63	1506021	16988170.000
07/12/2012	5.60	5.80	5.53	5.62	1660349	19036452.000
07/13/2012	5.58	5.65	5.55	5.60	1177802	13288277.000
07/16/2012	5.63	5.63	5.37	5.40	1382738	15213249.000
07/17/2012	5.31	5.51	5.31	5.47	782432	8554084.000
07/18/2012	5.45	5.62	5.41	5.47	1698032	18829318.000
07/19/2012	5.48	5.60	5.46	5.50	3177050	35389288.000
07/20/2012	5.60	6.05	5.50	6.05	18012961	209137840.000
07/23/2012	5.90	6.40	5.75	6.13	13889137	169070592.000
07/24/2012	6.00	6.19	5.90	6.00	6304012	76457256.000
07/25/2012	5.96	6.26	5.95	6.01	6845290	83999936.000
07/26/2012	5.92	6.01	5.80	5.81	5227253	61989736.000
07/27/2012	5.84	5.90	5.52	5.53	5765134	66334912.000
07/30/2012	5.46	5.53	4.97	4.97	5789351	60804812.000
07/31/2012	4.93	4.95	4.77	4.87	3591005	35044896.000
08/01/2012	4.83	5.18	4.82	5.08	6079025	61786936.000
08/02/2012	5.03	5.18	4.94	5.00	3162217	32166968.000
08/03/2012	5.00	5.18	4.96	5.17	3497773	36039936.000
08/06/2012	5.11	5.33	5.09	5.30	3707313	38873944.000
08/07/2012	5.30	5.39	5.27	5.36	3077861	33104706.000
08/08/2012	5.35	5.60	5.30	5.57	5111730	56307576.000
08/09/2012	5.55	5.58	5.41	5.57	4103640	45575256.000
08/10/2012	5.57	5.73	5.53	5.64	4720305	53673576.000
08/13/2012	5.60	5.69	5.34	5.37	3809880	42172768.000
08/14/2012	5.44	5.78	5.41	5.75	4875793	54897316.000
08/15/2012	5.71	5.79	5.61	5.63	3471005	39804160.000
08/16/2012	5.75	5.94	5.51	5.55	5158448	59798708.000
08/17/2012	5.40	5.55	5.36	5.50	2429242	26718638.000
08/20/2012	5.46	5.69	5.38	5.67	2761962	31005196.000
08/21/2012	5.70	5.83	5.56	5.63	6267619	72017072.000
08/22/2012	5.62	5.65	5.40	5.43	5225193	57958256.000
08/23/2012	5.45	5.75	5.38	5.39	8960496	49924448.000
08/24/2012	5.22	5.26	4.98	5.03	9327996	48061536.000
08/27/2012	4.95	5.09	4.93	5.07	4870493	24777808.000
08/28/2012	5.03	5.12	5.03	5.07	2944511	15064758.000
08/29/2012	5.05	5.58	5.04	5.40	18671732	103417128.000
08/30/2012	5.28	5.37	4.86	5.02	13169137	67774920.000
08/31/2012	5.00	5.29	4.91	5.20	5836924	30121580.000
09/03/2012	5.16	5.42	5.16	5.35	3274898	17605486.000
09/05/2012	5.75	5.89	5.35	5.37	13328360	75987160.000
09/06/2012	5.31	5.49	5.24	5.27	6758515	36288124.000
09/07/2012	5.33	5.60	5.26	5.45	17752184	96660184.000
09/10/2012	5.43	5.48	5.37	5.47	8802091	48209640.000
09/11/2012	5.46	5.60	5.38	5.49	7916578	43909032.000
09/12/2012	5.48	5.55	5.38	5.45	6354302	34859892.000
09/13/2012	5.40	5.61	5.37	5.48	18825461	104219896.000
09/14/2012	5.41	5.47	5.15	5.25	14180775	75731336.000
09/17/2012	5.20	5.21	4.99	5.00	8035299	41309400.000
09/18/2012	5.00	5.08	4.92	5.01	5071548	25615216.000
09/19/2012	5.07	5.15	5.01	5.10	4665254	23928378.000
09/20/2012	5.10	5.12	4.93	4.93	3418189	17328616.000
09/21/2012	4.94	5.00	4.84	4.85	2949564	14674957.000
09/24/2012	4.85	4.95	4.75	4.93	3208828	15861990.000
09/25/2012	4.89	4.92	4.85	4.87	2101022	10349972.000
09/26/2012	4.85	4.94	4.76	4.90	4953692	24217820.000
09/27/2012	4.90	5.12	4.87	4.90	17229874	86796560.000
09/28/2012	4.87	5.03	4.81	4.94	12664225	63203160.000
10/08/2012	4.94	4.97	4.78	4.85	10083429	49755212.000
10/09/2012	4.86	5.03	4.85	5.01	11320645	56514436.000
10/10/2012	4.99	5.01	4.88	4.96	8543722	42748956.000
10/11/2012	4.97	4.98	4.86	4.88	4727568	23514448.000
10/12/2012	4.88	4.93	4.81	4.86	3983751	19579584.000
10/15/2012	4.79	4.89	4.77	4.85	4082444	19983774.000
10/16/2012	4.83	4.88	4.78	4.85	4275349	20889686.000
10/17/2012	4.86	4.86	4.78	4.80	2698213	13114474.000
