300193 佳士科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	5.72	5.80	5.51	5.52	239052	3208137.750
01/05/2012	5.52	5.53	5.30	5.34	259276	3316143.000
01/06/2012	5.27	5.37	5.21	5.35	153007	1917094.750
01/09/2012	5.35	5.57	5.30	5.56	320710	4157635.000
01/10/2012	5.55	5.77	5.54	5.76	482316	6489536.500
01/11/2012	5.71	5.80	5.67	5.72	389957	5272117.500
01/12/2012	5.66	5.75	5.63	5.70	317559	4264985.000
01/13/2012	5.71	5.77	5.36	5.41	354903	4620855.500
01/16/2012	5.36	5.40	5.17	5.19	221005	2767612.000
01/17/2012	5.28	5.58	5.19	5.52	392919	5024818.000
01/18/2012	5.61	5.61	5.30	5.35	358446	4602223.000
01/19/2012	5.36	5.49	5.32	5.47	250567	3223867.000
01/20/2012	5.49	5.55	5.43	5.52	280061	3652495.750
01/30/2012	5.58	5.58	5.49	5.52	267913	3506819.750
01/31/2012	5.55	5.55	5.40	5.44	226443	2921140.750
02/01/2012	5.43	5.55	5.41	5.43	195015	2536198.250
02/02/2012	5.52	5.53	5.44	5.52	181284	2359653.000
02/03/2012	5.52	5.65	5.52	5.63	410576	5430292.000
02/06/2012	5.63	5.71	5.62	5.67	389553	5210477.500
02/07/2012	5.64	5.67	5.53	5.55	297972	3932739.750
02/08/2012	5.52	5.71	5.50	5.71	546519	7289814.000
02/09/2012	5.76	5.82	5.69	5.74	715985	9732701.000
02/10/2012	5.72	6.07	5.72	5.82	773841	10668630.000
02/13/2012	5.81	5.94	5.71	5.91	743217	10259356.000
02/14/2012	5.92	5.94	5.82	5.87	382979	5288258.000
02/15/2012	5.90	5.97	5.82	5.94	628486	8751181.000
02/16/2012	5.91	5.98	5.86	5.87	676028	9432446.000
02/17/2012	5.88	5.97	5.78	5.86	500101	6898672.500
02/20/2012	5.93	5.97	5.86	5.87	541100	7535066.500
02/21/2012	5.92	6.02	5.82	6.01	838223	11684659.000
02/22/2012	5.96	6.22	5.96	6.18	1437307	20683400.000
02/23/2012	6.22	6.24	6.12	6.19	1219533	17698824.000
02/24/2012	6.19	6.24	6.13	6.23	920273	13393853.000
02/28/2012	6.21	6.21	6.02	6.09	895322	12803829.000
02/29/2012	6.07	6.09	5.96	5.98	593331	8405107.000
03/01/2012	5.98	6.06	5.96	6.02	374772	5304945.000
03/02/2012	6.07	6.15	6.03	6.14	539970	7749163.500
03/05/2012	6.14	6.21	6.13	6.17	667861	9677891.000
03/06/2012	6.17	6.17	5.99	6.04	372049	5291343.500
03/07/2012	5.96	6.08	5.95	6.06	460378	6534027.000
03/08/2012	6.05	6.15	6.04	6.13	469239	6735229.500
03/09/2012	6.12	6.31	6.12	6.30	1245189	18264474.000
03/12/2012	6.30	6.30	6.23	6.27	619624	9108054.000
03/13/2012	6.27	6.37	6.27	6.34	825272	12244353.000
03/14/2012	6.38	6.40	6.01	6.07	1153830	17004750.000
03/15/2012	6.06	6.12	5.91	5.94	815316	11497458.000
03/16/2012	6.02	6.06	5.91	6.04	469577	6634784.500
03/19/2012	6.05	6.18	6.01	6.18	591795	8483191.000
03/20/2012	6.13	6.15	5.99	5.99	447400	6373164.500
03/21/2012	6.03	6.08	5.88	5.97	449500	6325292.500
03/22/2012	5.92	6.02	5.91	6.01	337825	4752435.000
03/23/2012	5.94	6.08	5.92	6.02	361421	5105487.000
03/26/2012	5.97	6.02	5.91	5.96	263335	3683838.250
03/27/2012	5.97	6.08	5.97	6.06	494067	7017396.000
03/28/2012	6.03	6.06	5.72	5.74	529946	7283272.000
03/29/2012	5.50	5.64	5.45	5.48	478856	6268431.000
03/30/2012	5.55	5.55	5.39	5.42	304158	3931358.000
04/05/2012	5.49	5.53	5.42	5.53	504515	6543869.500
04/06/2012	5.50	5.55	5.47	5.52	244428	3192536.750
04/09/2012	5.52	5.52	5.47	5.47	255622	3323465.250
04/10/2012	5.45	5.47	5.37	5.47	208440	2676259.250
04/11/2012	5.41	5.52	5.41	5.47	126609	1639179.625
04/12/2012	5.50	5.58	5.50	5.57	388251	5098559.000
04/13/2012	5.58	5.67	5.57	5.62	437795	5808284.000
04/16/2012	5.54	5.60	5.52	5.54	339729	4461665.500
04/17/2012	5.52	5.59	5.51	5.51	278853	3649917.250
04/19/2012	5.58	5.93	5.57	5.80	2308650	31195946.000
04/20/2012	5.77	5.82	5.66	5.77	1064486	14383306.000
04/23/2012	5.70	5.75	5.47	5.48	1252720	16522080.000
04/24/2012	5.48	5.53	5.32	5.40	531277	6820483.500
04/25/2012	5.36	5.42	5.36	5.42	353317	4526576.500
04/26/2012	5.45	5.48	5.41	5.43	255231	3282546.000
04/27/2012	5.42	5.48	5.42	5.46	212761	2747630.500
05/02/2012	5.54	5.56	5.49	5.51	461693	6039692.000
05/03/2012	5.51	5.54	5.46	5.49	411515	5347246.000
05/04/2012	5.53	5.57	5.50	5.57	634293	8325204.500
05/07/2012	5.55	5.58	5.49	5.57	773453	10143810.000
05/08/2012	5.57	5.64	5.56	5.61	1113950	14720122.000
05/09/2012	5.58	5.58	5.49	5.51	595022	7771770.000
05/10/2012	5.51	5.61	5.49	5.54	516783	6784469.500
05/11/2012	5.52	5.57	5.51	5.52	433974	5682548.000
05/14/2012	5.56	5.67	5.50	5.56	965850	12742827.000
05/15/2012	5.55	5.67	5.53	5.62	1674118	22229704.000
05/16/2012	5.62	5.65	5.54	5.58	979310	12936399.000
05/17/2012	5.62	5.65	5.47	5.65	1128755	14918834.000
05/18/2012	5.63	5.63	5.42	5.43	991900	12425416.000
05/21/2012	5.41	5.44	5.32	5.37	439322	5372226.500
05/22/2012	5.40	5.43	5.33	5.39	850084	10402548.000
05/23/2012	5.38	5.39	5.32	5.34	404493	4925936.000
05/24/2012	5.34	5.37	5.32	5.33	273685	3333083.750
05/25/2012	5.31	5.35	5.22	5.22	520300	6257245.500
05/28/2012	5.22	5.25	5.11	5.25	502713	5955966.000
05/29/2012	5.23	5.34	5.22	5.32	456249	5502080.000
05/30/2012	5.29	5.35	5.28	5.32	392079	4751779.000
05/31/2012	5.29	5.37	5.28	5.33	395371	4796100.500
06/01/2012	5.32	5.37	5.32	5.33	318228	3872531.000
06/04/2012	5.28	5.28	5.17	5.17	364900	4337810.000
06/05/2012	5.17	5.20	5.14	5.14	238369	2807989.000
06/06/2012	5.20	5.20	5.12	5.12	186271	2186097.500
06/07/2012	5.16	5.17	5.04	5.06	321764	3756418.000
06/08/2012	5.16	5.17	5.07	5.09	186820	2175067.250
06/11/2012	5.08	5.22	5.08	5.20	266081	3139910.250
06/12/2012	5.20	5.20	5.12	5.17	219782	2588081.750
06/13/2012	5.17	5.25	5.14	5.24	312285	3713433.750
06/14/2012	5.25	5.26	5.21	5.21	334797	3995170.750
06/15/2012	5.26	5.27	5.17	5.27	300316	3577384.750
06/18/2012	5.26	5.35	5.24	5.31	368970	4459097.500
06/19/2012	5.31	5.31	5.24	5.26	178089	2136031.250
06/20/2012	5.25	5.34	5.25	5.31	277381	3342349.250
06/21/2012	5.40	5.40	5.24	5.25	363579	4396371.500
06/25/2012	5.30	5.35	5.17	5.18	305133	3647700.500
06/26/2012	5.18	5.21	5.09	5.18	150280	1765470.750
06/27/2012	5.16	5.25	5.16	5.16	306980	3640091.500
06/28/2012	5.17	5.20	5.14	5.14	178130	2098199.500
06/29/2012	5.13	5.21	5.08	5.21	178341	2095698.750
07/02/2012	5.27	5.35	5.22	5.32	380373	4585254.000
07/03/2012	5.27	5.36	5.27	5.30	353752	4286495.500
07/04/2012	5.30	5.35	5.30	5.31	327378	3971875.250
07/05/2012	5.31	5.32	5.18	5.20	332911	3979366.250
07/06/2012	5.20	5.30	5.12	5.30	362291	4300604.000
07/09/2012	5.23	5.30	5.11	5.12	410519	4855281.500
07/10/2012	5.10	5.17	5.09	5.12	157700	1838516.000
07/11/2012	5.08	5.14	5.06	5.12	232212	2709565.000
07/12/2012	5.09	5.16	5.06	5.14	341761	3992616.500
07/13/2012	5.17	5.17	5.10	5.12	210381	2462670.000
07/16/2012	5.12	5.12	4.86	4.86	418951	4756014.000
07/17/2012	4.85	4.93	4.85	4.87	124361	1386419.750
07/18/2012	4.87	4.95	4.87	4.95	127681	1432600.000
07/19/2012	4.97	5.02	4.89	4.97	203800	2311661.000
07/20/2012	4.95	5.03	4.92	4.93	197400	2234204.000
07/23/2012	4.92	4.92	4.83	4.84	154980	1726753.500
07/24/2012	4.86	4.93	4.84	4.88	140109	1560896.000
07/25/2012	4.88	4.93	4.87	4.91	134200	1506941.625
07/26/2012	4.92	4.96	4.89	4.91	172566	1941395.375
07/27/2012	4.96	4.96	4.89	4.91	110700	1242676.750
07/30/2012	4.91	4.96	4.86	4.92	149076	1666935.375
07/31/2012	4.91	4.92	4.82	4.82	121794	1346095.625
08/01/2012	4.89	4.89	4.80	4.89	166001	1837964.000
08/02/2012	4.89	4.89	4.82	4.86	138872	1539346.500
08/03/2012	4.87	4.92	4.82	4.91	211271	2355062.250
08/06/2012	4.91	5.01	4.87	4.98	259089	2929923.500
