300204 舒泰神 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	8.61	8.63	7.67	7.67	2136733	130865640.000
01/05/2012	7.35	7.49	7.12	7.27	2228852	123226160.000
01/06/2012	7.21	7.93	7.18	7.89	1275125	72217056.000
01/09/2012	8.01	8.28	8.01	8.19	1383066	84784128.000
01/10/2012	8.14	8.55	8.08	8.43	1372046	85468528.000
01/11/2012	8.38	8.79	8.34	8.45	1232493	79267208.000
01/12/2012	8.34	8.65	8.30	8.61	949375	60397960.000
01/13/2012	8.60	8.75	8.06	8.13	1151204	72272072.000
01/16/2012	7.90	8.42	7.84	7.89	833844	50868028.000
01/17/2012	7.89	8.13	7.07	8.07	1502057	87164968.000
01/18/2012	7.92	8.06	7.22	7.27	1370610	78260512.000
01/19/2012	7.24	7.44	6.89	7.20	838676	45627132.000
01/20/2012	7.26	7.63	7.20	7.25	699537	39345376.000
01/30/2012	7.23	7.75	7.23	7.48	782481	44693368.000
01/31/2012	7.44	7.59	7.28	7.55	473875	26679934.000
02/01/2012	7.52	7.74	7.49	7.58	571187	32984322.000
02/02/2012	7.59	7.65	7.41	7.65	399653	22790056.000
02/03/2012	7.62	7.82	7.62	7.74	531128	31012960.000
02/06/2012	7.73	7.89	7.61	7.77	522413	30523650.000
02/07/2012	7.70	7.86	7.66	7.73	403515	23574498.000
02/08/2012	7.79	8.19	7.71	8.15	1003145	60438196.000
02/09/2012	8.15	8.31	8.04	8.24	734750	45243256.000
02/10/2012	8.27	8.33	8.02	8.16	627457	38369468.000
02/13/2012	8.12	8.35	8.05	8.26	624691	38709448.000
02/14/2012	8.19	8.43	8.16	8.23	470900	29188594.000
02/15/2012	8.19	8.28	8.11	8.23	404785	24932458.000
02/16/2012	8.16	8.33	8.02	8.05	495854	30347456.000
02/17/2012	8.09	8.21	8.02	8.17	325503	19838032.000
02/20/2012	8.27	8.58	8.12	8.51	1019706	64459516.000
02/21/2012	8.63	8.68	8.20	8.33	2304007	144582320.000
02/22/2012	8.26	8.77	8.23	8.72	2434914	155411936.000
02/23/2012	8.72	8.96	8.57	8.74	1342192	88102800.000
02/24/2012	8.73	9.33	8.67	9.24	1500109	100807704.000
02/27/2012	9.24	9.57	9.12	9.25	1528439	106445872.000
02/28/2012	9.25	9.52	9.05	9.25	1306989	90467784.000
02/29/2012	9.22	9.38	8.98	8.99	832573	56905024.000
03/01/2012	8.90	9.27	8.90	9.27	669491	45630884.000
03/02/2012	9.36	9.70	9.28	9.62	960592	68184840.000
03/05/2012	9.63	9.78	9.45	9.58	1226349	87666152.000
03/06/2012	9.53	9.62	9.16	9.30	927771	64629124.000
03/07/2012	9.21	9.49	9.20	9.30	630122	43904456.000
03/08/2012	9.33	9.62	9.29	9.52	697656	49343468.000
03/09/2012	9.62	9.72	9.44	9.60	701213	49984436.000
03/12/2012	9.63	10.00	9.63	9.84	797589	58409056.000
03/13/2012	9.82	9.96	9.72	9.88	538075	39305824.000
03/14/2012	9.93	10.07	8.90	9.07	1701623	120168544.000
03/15/2012	9.10	9.39	9.10	9.22	942093	64946488.000
03/16/2012	9.23	9.65	9.23	9.63	813947	57009996.000
03/19/2012	9.73	9.83	9.56	9.76	555973	40169384.000
03/20/2012	10.03	10.38	9.82	9.82	1700538	127265592.000
03/21/2012	9.90	10.08	9.42	9.96	1124871	82002896.000
03/22/2012	9.90	10.79	9.87	10.60	2065603	158727920.000
03/23/2012	10.50	10.92	10.43	10.53	1530153	121004472.000
03/26/2012	10.44	11.27	10.26	11.22	2031155	163787200.000
03/27/2012	11.26	11.33	10.89	11.07	1188578	97286664.000
03/28/2012	10.96	11.16	10.53	10.53	1493382	119494672.000
03/29/2012	10.48	10.72	9.93	10.09	1954762	148685152.000
03/30/2012	9.97	10.72	9.94	10.65	1828662	139814240.000
04/05/2012	10.60	11.12	10.49	10.85	1428897	114465328.000
04/06/2012	10.81	11.02	10.62	10.73	840479	67122568.000
04/09/2012	10.75	11.09	10.33	10.43	1194326	94441480.000
04/10/2012	10.34	10.97	10.25	10.97	1129531	88416160.000
04/11/2012	10.85	11.14	10.85	11.09	1048064	85235240.000
04/12/2012	11.12	12.26	11.04	12.20	2275002	197856304.000
04/13/2012	12.16	12.57	11.89	12.07	1264091	113361640.000
04/17/2012	12.23	13.30	12.03	12.88	1527105	143203200.000
04/18/2012	12.89	13.25	12.60	13.22	1009426	95813816.000
04/19/2012	13.10	13.22	12.17	12.26	1683588	156532608.000
04/20/2012	12.37	13.54	12.22	13.54	2239599	214784656.000
04/23/2012	13.65	13.77	12.84	13.38	1750820	170146800.000
04/24/2012	13.19	13.63	12.09	12.92	1870940	174754288.000
04/25/2012	12.79	13.09	12.34	13.08	1015440	95107128.000
04/26/2012	12.94	13.93	12.34	12.68	1604044	153855200.000
04/27/2012	12.36	13.48	12.24	12.80	2906128	137153152.000
05/02/2012	12.89	13.10	12.10	12.57	3595060	163955344.000
05/03/2012	12.50	13.87	12.33	13.87	4877810	238148896.000
05/04/2012	13.71	14.14	13.43	13.97	4087476	205639232.000
05/07/2012	13.98	14.70	13.82	14.20	4326308	224655520.000
05/08/2012	14.14	14.53	13.94	14.19	2197039	113567960.000
05/09/2012	13.99	14.20	13.53	14.00	3248812	164135472.000
05/10/2012	13.91	14.41	13.86	14.00	2345001	121044416.000
05/11/2012	14.04	14.23	13.53	13.53	2296651	114902528.000
05/14/2012	13.55	13.65	12.87	13.04	2230454	107179168.000
05/15/2012	12.96	13.67	12.91	13.57	2438313	119468968.000
05/16/2012	13.57	13.57	12.95	12.95	2331358	112312768.000
05/17/2012	12.95	13.09	12.50	12.87	2026616	94756768.000
05/18/2012	12.97	13.29	12.83	12.89	1368793	65064640.000
05/21/2012	12.96	13.42	12.72	13.24	1839655	88468320.000
05/22/2012	13.25	14.27	13.25	14.03	2767508	140233440.000
05/23/2012	14.00	14.42	13.77	14.17	2093462	107227080.000
05/24/2012	14.03	14.34	13.82	13.91	1634633	83779480.000
05/25/2012	13.91	14.00	12.96	13.17	2808241	136537936.000
05/28/2012	13.06	13.19	12.73	13.13	1784324	84253768.000
05/29/2012	13.09	13.25	12.73	13.20	2162163	102639624.000
05/30/2012	13.23	13.71	13.09	13.10	2073747	101264608.000
05/31/2012	12.94	13.21	12.69	13.00	1761306	83102576.000
06/01/2012	13.00	13.49	12.93	13.23	1900127	92128136.000
06/04/2012	13.02	13.32	12.84	12.84	1580611	75234496.000
06/05/2012	12.80	12.98	12.47	12.60	1860986	86080376.000
06/06/2012	12.72	12.83	12.41	12.68	869929	40274772.000
06/07/2012	12.83	12.93	12.59	12.67	1066450	49717652.000
06/08/2012	12.75	12.77	12.31	12.32	1412122	64291748.000
06/11/2012	12.31	12.81	12.15	12.70	1969549	90149008.000
06/12/2012	12.61	13.21	12.58	13.12	2510812	119109704.000
06/13/2012	13.15	13.25	13.00	13.18	1666070	79824232.000
06/14/2012	13.22	13.57	13.05	13.08	1968384	95663472.000
06/15/2012	13.09	13.45	13.04	13.12	1350750	65182228.000
06/18/2012	13.21	13.53	13.18	13.39	1701122	82906224.000
06/19/2012	13.46	14.76	13.24	14.41	4276435	217297920.000
06/20/2012	14.39	14.39	13.94	14.05	2439482	125543248.000
06/21/2012	14.08	14.13	13.57	13.69	1681333	84373224.000
06/25/2012	13.55	13.89	13.26	13.26	1475473	73213568.000
06/26/2012	13.18	13.39	12.80	13.24	2097691	99738280.000
06/27/2012	13.28	13.43	13.08	13.21	1377855	66656188.000
06/28/2012	13.17	13.29	12.95	12.98	1491556	71339688.000
06/29/2012	12.98	13.48	12.84	13.48	1689017	81704224.000
07/02/2012	13.57	13.86	13.49	13.79	1811183	90673152.000
07/03/2012	13.72	14.11	13.48	13.73	1977974	99382136.000
07/04/2012	13.61	13.77	13.46	13.54	927575	45946136.000
07/05/2012	13.47	13.57	13.02	13.04	1379108	66609008.000
