300228 富瑞特装 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	6.24	6.31	5.92	5.92	174538	7042324.000
01/05/2012	5.87	6.13	5.85	6.10	2804440	109881144.000
01/06/2012	6.01	6.02	5.83	5.93	778755	30348020.000
01/09/2012	5.94	6.16	5.92	6.14	568191	22664208.000
01/10/2012	6.12	6.41	6.08	6.33	517696	21240876.000
01/11/2012	6.25	6.48	6.25	6.38	437973	18380976.000
01/12/2012	6.28	6.38	6.05	6.24	650725	26392474.000
01/13/2012	6.22	6.22	5.60	5.92	1681428	63106504.000
01/16/2012	5.75	5.75	5.31	5.31	387800	14077478.000
01/17/2012	5.14	5.53	5.12	5.48	575093	20187654.000
01/18/2012	5.52	5.53	4.92	4.98	517287	17643430.000
01/19/2012	4.97	5.19	4.97	5.14	478942	16235637.000
01/20/2012	5.10	5.25	5.10	5.17	123306	4228489.000
01/30/2012	5.25	5.43	5.16	5.32	309565	10895569.000
01/31/2012	5.37	5.37	5.18	5.31	92591	3207073.750
02/01/2012	5.33	5.50	5.29	5.40	260324	9324161.000
02/02/2012	5.34	5.48	5.34	5.43	182040	6524800.000
02/03/2012	5.38	5.69	5.38	5.66	262297	9600932.000
02/06/2012	5.66	5.69	5.57	5.63	179066	6643691.500
02/07/2012	5.58	5.63	5.52	5.60	60721	2228679.250
02/08/2012	5.61	5.72	5.50	5.72	103381	3841105.750
02/09/2012	5.74	5.85	5.70	5.85	263045	10031783.000
02/10/2012	5.83	5.92	5.72	5.84	117936	4525415.000
02/13/2012	5.78	5.93	5.75	5.87	188775	7292952.500
02/14/2012	5.91	6.05	5.82	5.91	343175	13326561.000
02/15/2012	5.90	6.00	5.78	5.92	131048	5094669.500
02/16/2012	6.00	6.00	5.75	5.76	264815	10123690.000
02/17/2012	5.84	5.84	5.53	5.60	450496	16633166.000
02/20/2012	5.64	5.76	5.57	5.74	426575	15875808.000
02/21/2012	5.70	5.88	5.66	5.86	307526	11674942.000
02/22/2012	5.86	5.99	5.77	5.92	459832	17870420.000
02/23/2012	5.92	5.97	5.83	5.83	532073	20639642.000
02/24/2012	5.91	6.43	5.86	6.38	1199130	49221268.000
02/27/2012	6.36	6.45	6.25	6.33	925110	38633776.000
02/28/2012	6.31	6.31	6.08	6.14	683545	27665320.000
02/29/2012	6.14	6.55	6.02	6.13	362765	14649910.000
03/01/2012	6.08	6.23	6.05	6.18	252687	10228561.000
03/02/2012	6.22	6.32	6.15	6.27	271819	11143030.000
03/05/2012	6.24	6.34	6.20	6.33	439264	18146800.000
03/06/2012	6.33	6.66	6.24	6.59	771311	32530028.000
03/07/2012	6.52	6.62	6.47	6.49	362450	15556455.000
03/08/2012	6.49	6.58	6.45	6.55	362614	15551043.000
03/09/2012	6.55	6.63	6.50	6.61	2382689	102856544.000
03/12/2012	6.60	6.60	6.38	6.49	1552202	66057652.000
03/13/2012	6.43	6.57	6.39	6.52	738698	31194162.000
03/14/2012	6.55	6.55	6.16	6.22	1309964	54801088.000
03/15/2012	6.15	6.30	6.10	6.25	614576	25149094.000
03/16/2012	6.24	6.44	6.20	6.44	570110	23853094.000
03/19/2012	6.45	6.76	6.40	6.73	1963276	85648112.000
03/20/2012	6.74	6.81	6.55	6.73	1571015	68929176.000
03/21/2012	6.73	6.76	6.39	6.69	946521	41219132.000
03/22/2012	6.60	6.78	6.53	6.68	648797	28430432.000
03/23/2012	6.60	6.63	6.41	6.43	739007	31561996.000
03/26/2012	6.40	6.55	6.33	6.43	331761	14046618.000
03/27/2012	6.43	6.72	6.43	6.60	547473	23797712.000
03/28/2012	6.57	6.61	6.32	6.32	554275	23401206.000
03/29/2012	6.18	6.32	6.03	6.22	951027	38412980.000
03/30/2012	6.21	6.32	6.04	6.28	417225	17002182.000
04/05/2012	6.19	6.49	6.19	6.46	241177	10127850.000
04/06/2012	6.42	6.59	6.41	6.55	719592	30833406.000
04/09/2012	6.53	6.94	6.45	6.81	1282240	57109460.000
04/10/2012	6.71	6.89	6.40	6.85	938311	40848084.000
04/11/2012	6.72	6.85	6.60	6.64	445492	19639456.000
04/12/2012	6.64	6.83	6.62	6.76	573478	25433528.000
04/13/2012	6.78	6.81	6.60	6.75	401570	17701412.000
04/16/2012	6.74	6.76	6.58	6.63	253993	11092545.000
04/17/2012	6.60	6.67	6.41	6.43	245490	10446056.000
04/18/2012	6.52	6.70	6.43	6.61	352419	15214027.000
04/19/2012	6.61	6.83	6.55	6.71	395515	17474510.000
04/20/2012	6.70	6.83	6.68	6.74	296078	13093212.000
04/23/2012	6.65	6.70	6.44	6.60	301913	13004347.000
04/24/2012	6.53	6.62	6.41	6.54	379726	16202092.000
04/25/2012	6.55	6.58	6.46	6.56	216348	9282544.000
04/26/2012	6.49	6.58	6.34	6.46	545369	22903356.000
04/27/2012	6.38	6.47	6.27	6.35	243464	10139454.000
05/02/2012	6.39	6.58	6.34	6.54	227608	9745131.000
05/03/2012	6.51	6.63	6.50	6.58	233193	10072959.000
05/04/2012	6.57	6.83	6.57	6.77	432222	19053648.000
05/07/2012	6.75	7.46	6.71	7.30	740599	34313188.000
05/08/2012	7.30	7.61	7.25	7.31	603644	29085176.000
05/09/2012	7.32	7.32	7.05	7.13	559955	26185570.000
05/10/2012	7.17	7.28	7.10	7.24	362178	17077462.000
05/11/2012	7.25	7.25	7.02	7.07	261478	12218978.000
05/14/2012	7.08	7.08	6.91	6.95	522401	23933584.000
05/15/2012	6.95	7.05	6.83	6.97	500641	22809764.000
05/16/2012	6.93	6.97	6.79	6.80	310871	13965430.000
05/17/2012	6.84	6.84	6.10	6.52	707634	30838308.000
05/18/2012	6.49	6.49	6.27	6.37	625827	26155304.000
05/21/2012	6.36	6.52	6.32	6.35	262750	11083557.000
05/22/2012	6.28	6.43	6.28	6.40	273142	11472802.000
05/23/2012	6.38	6.58	6.33	6.57	299333	12709115.000
05/24/2012	6.53	6.56	6.42	6.43	217851	9236373.000
05/25/2012	6.40	6.47	6.24	6.29	289154	12081209.000
05/28/2012	6.35	6.40	6.20	6.39	184006	7604192.000
05/29/2012	6.44	6.57	6.35	6.55	190771	8132995.000
05/30/2012	6.55	6.55	6.45	6.49	210938	8978629.000
05/31/2012	6.39	6.57	6.39	6.49	241848	10309039.000
06/01/2012	6.45	6.67	6.45	6.61	207247	8922437.000
06/04/2012	6.40	6.59	6.40	6.49	340125	14628032.000
06/05/2012	6.45	6.57	6.45	6.50	222346	9456951.000
06/06/2012	6.50	6.65	6.50	6.58	338607	14620015.000
06/07/2012	6.58	6.60	6.36	6.43	343758	14554593.000
06/08/2012	6.39	6.48	6.34	6.42	109666	4608949.000
06/11/2012	6.52	7.08	6.52	7.08	1445962	65668116.000
06/12/2012	7.27	7.43	7.02	7.11	3118588	74126056.000
06/13/2012	7.10	7.33	7.03	7.19	1719918	40664964.000
06/14/2012	7.15	7.15	6.96	7.04	1639803	37834348.000
06/15/2012	7.04	7.10	6.91	7.09	1550388	35664888.000
06/18/2012	7.12	7.13	6.99	7.09	1717119	39750512.000
06/19/2012	7.08	7.09	6.88	6.92	1645096	37536072.000
06/20/2012	6.95	7.29	6.95	7.11	3241839	75489280.000
06/21/2012	7.02	7.05	6.86	7.00	2217669	50590312.000
06/25/2012	7.02	7.10	6.96	7.04	2558149	59096276.000
06/26/2012	6.98	7.02	6.84	6.88	2821319	63945240.000
06/27/2012	6.93	7.58	6.93	7.39	5354194	128253680.000
06/28/2012	7.22	7.38	7.12	7.28	4279859	101543608.000
06/29/2012	7.29	7.36	7.18	7.36	3193311	75964512.000
