300233 金城医药 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	5.96	6.02	5.69	5.69	312241	4041232.250
01/05/2012	5.68	5.72	5.38	5.43	429410	5273610.500
01/06/2012	5.43	5.58	5.36	5.55	241478	2908379.500
01/09/2012	5.60	5.87	5.48	5.84	607411	7672241.000
01/10/2012	5.84	6.09	5.79	6.06	923264	12142939.000
01/11/2012	6.06	6.18	5.98	6.07	833050	11104518.000
01/12/2012	6.03	6.12	5.93	6.01	702511	9280809.000
01/13/2012	5.95	6.01	5.64	5.68	963650	12255762.000
01/16/2012	5.67	5.68	5.44	5.46	345729	4235192.500
01/17/2012	5.47	5.81	5.43	5.77	645104	8002543.500
01/18/2012	5.68	5.73	5.23	5.24	2699189	32846114.000
01/19/2012	5.17	5.39	5.08	5.37	1235798	14380249.000
01/20/2012	5.39	5.49	5.35	5.41	986718	11841880.000
01/30/2012	5.43	5.50	5.34	5.40	608490	7307061.500
01/31/2012	5.35	5.41	5.24	5.36	394388	4636549.500
02/01/2012	5.36	5.51	5.29	5.29	650945	7766906.000
02/02/2012	5.30	5.43	5.30	5.43	680421	8093955.000
02/03/2012	5.43	5.62	5.41	5.60	1152844	14091635.000
02/06/2012	5.60	5.69	5.53	5.68	1271964	15742986.000
02/07/2012	5.65	5.65	5.48	5.51	705587	8639029.000
02/08/2012	5.56	5.73	5.48	5.72	1053460	13099085.000
02/09/2012	5.73	5.87	5.68	5.77	1614192	20570288.000
02/10/2012	5.77	5.90	5.76	5.81	1271082	16266948.000
02/13/2012	5.78	6.06	5.73	5.98	1887275	24516692.000
02/14/2012	5.95	5.97	5.83	5.92	1120027	14499258.000
02/15/2012	5.91	6.03	5.88	6.00	1130786	14791914.000
02/17/2012	5.99	6.00	5.81	5.88	1759217	22782218.000
02/20/2012	5.95	6.03	5.88	5.88	1570324	20527940.000
02/21/2012	5.88	5.99	5.79	5.99	1073696	13919491.000
02/22/2012	5.99	6.22	5.96	6.18	2207064	29556770.000
02/23/2012	6.21	6.42	6.18	6.32	2492070	34361704.000
02/24/2012	6.32	6.45	6.27	6.39	1875175	26003976.000
02/27/2012	6.39	6.46	6.29	6.35	2038348	28367250.000
02/28/2012	6.33	6.33	6.08	6.17	1831183	24774042.000
02/29/2012	6.18	6.32	6.12	6.16	1304672	17701772.000
03/01/2012	6.13	6.25	6.08	6.20	1002513	13512425.000
03/02/2012	6.24	6.32	6.18	6.32	1204907	16503193.000
03/05/2012	6.35	6.39	6.26	6.32	1240892	17114998.000
03/06/2012	6.29	6.29	6.08	6.16	1249214	16837602.000
03/07/2012	6.12	6.20	6.08	6.12	876077	11769607.000
03/08/2012	6.12	6.30	6.12	6.26	1105774	15056566.000
03/09/2012	6.26	6.47	6.26	6.47	1870776	26095590.000
03/12/2012	6.49	6.57	6.43	6.54	1738496	24590072.000
03/13/2012	6.52	6.57	6.47	6.55	1119443	15869636.000
03/14/2012	6.57	6.76	6.08	6.19	2416710	34135524.000
