300239 东宝生物 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	3.04	3.10	2.86	2.86	866092	14142785.000
01/05/2012	2.86	2.87	2.56	2.56	1301631	18887006.000
01/06/2012	2.56	2.63	2.44	2.61	1373536	18918312.000
01/09/2012	2.61	2.75	2.54	2.74	1503754	21802138.000
01/10/2012	2.74	2.90	2.70	2.86	1527108	23345360.000
01/11/2012	2.85	3.09	2.82	2.94	1994546	31876216.000
01/12/2012	2.88	2.95	2.84	2.88	1463392	23002064.000
01/13/2012	2.88	2.89	2.61	2.61	1397389	20632050.000
01/16/2012	2.55	2.60	2.45	2.45	773027	10587065.000
01/17/2012	2.45	2.65	2.45	2.64	1177192	16456263.000
01/18/2012	2.64	2.76	2.50	2.54	1164189	16714742.000
01/19/2012	2.51	2.78	2.51	2.75	2099199	30773142.000
01/20/2012	2.69	2.75	2.67	2.73	1316300	19435952.000
01/30/2012	2.74	2.84	2.68	2.75	1188141	17834234.000
01/31/2012	2.74	2.76	2.66	2.72	718889	10574986.000
02/01/2012	2.72	2.82	2.67	2.74	1152644	17218332.000
02/02/2012	2.74	2.81	2.72	2.81	1069656	16137381.000
02/03/2012	2.83	2.93	2.78	2.88	1892078	29473532.000
02/06/2012	2.88	2.90	2.82	2.88	1361256	21090564.000
02/07/2012	2.88	2.89	2.74	2.79	1264244	19307066.000
02/08/2012	2.81	2.87	2.75	2.87	1270848	19491490.000
02/09/2012	2.86	3.02	2.85	2.95	2387377	38182976.000
02/13/2012	2.90	3.04	2.88	3.01	2265918	36534732.000
02/14/2012	3.00	3.14	2.98	3.05	2189406	36378780.000
02/15/2012	3.03	3.12	2.99	3.11	1811931	29960156.000
02/16/2012	3.11	3.11	2.99	3.08	1459194	24166670.000
02/17/2012	3.08	3.09	3.00	3.06	1148682	18916624.000
02/20/2012	3.09	3.13	3.05	3.06	1483644	24812712.000
02/21/2012	3.05	3.11	3.00	3.11	1645482	27318344.000
02/22/2012	3.11	3.22	3.10	3.20	2408882	41230496.000
02/23/2012	3.19	3.27	3.15	3.19	2234813	38825416.000
02/24/2012	3.19	3.49	3.17	3.41	3382457	60426272.000
02/27/2012	3.37	3.52	3.32	3.36	3304771	60754808.000
02/28/2012	3.34	3.43	3.25	3.29	2016659	36200564.000
02/29/2012	3.29	3.32	3.17	3.19	1318475	23130898.000
03/01/2012	3.18	3.28	3.15	3.20	877155	15214327.000
03/02/2012	3.19	3.29	3.19	3.28	932500	16344876.000
03/05/2012	3.28	3.36	3.25	3.29	1140833	20314402.000
03/06/2012	3.26	3.29	3.18	3.22	1033485	17930654.000
