300243 瑞丰高材 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	5.93	5.99	5.30	5.30	777854	17093262.000
01/05/2012	5.21	5.29	4.97	5.00	850911	16943490.000
01/06/2012	5.01	5.23	4.96	5.19	578407	11470988.000
01/09/2012	5.10	5.45	5.05	5.42	928649	19219032.000
01/10/2012	5.42	5.72	5.38	5.63	1071461	23258490.000
01/11/2012	5.63	5.84	5.55	5.66	943848	20913820.000
01/12/2012	5.66	5.76	5.50	5.53	668556	14655527.000
01/13/2012	5.53	5.57	5.05	5.09	927727	18955236.000
01/16/2012	4.87	5.03	4.84	4.84	584688	11265476.000
01/17/2012	4.84	5.20	4.84	5.18	590740	11674370.000
01/18/2012	5.18	5.23	4.74	4.76	728533	14240145.000
01/19/2012	4.82	5.25	4.74	5.25	1621173	32786522.000
01/20/2012	5.08	5.13	4.85	5.06	2082843	40891500.000
01/30/2012	5.02	5.20	4.93	5.08	1513919	30151018.000
01/31/2012	5.05	5.12	4.91	4.98	876352	17142332.000
02/01/2012	4.93	5.07	4.86	4.95	815376	15945937.000
02/02/2012	4.93	5.08	4.93	5.08	736520	14416323.000
02/03/2012	5.06	5.25	5.05	5.21	1390170	28147246.000
02/06/2012	5.19	5.25	5.11	5.20	1022828	20783134.000
02/07/2012	5.18	5.18	4.98	5.01	852316	16877932.000
02/08/2012	4.96	5.38	4.96	5.35	1418094	28915896.000
02/09/2012	5.34	5.58	5.24	5.34	1612345	34136932.000
02/10/2012	5.32	5.50	5.29	5.50	1266310	26701576.000
02/13/2012	5.42	5.65	5.38	5.57	1364961	29491860.000
02/14/2012	5.57	5.57	5.46	5.49	811103	17461366.000
02/15/2012	5.45	5.55	5.41	5.55	952305	20491280.000
02/16/2012	5.53	5.60	5.41	5.46	971031	20853212.000
02/17/2012	5.47	5.50	5.34	5.43	529952	11251600.000
02/20/2012	5.48	5.59	5.44	5.45	839903	18070916.000
02/21/2012	5.45	5.69	5.37	5.68	1462349	31780830.000
02/22/2012	5.68	5.84	5.68	5.79	1677986	37754600.000
02/23/2012	5.79	6.13	5.79	5.89	2123487	49318436.000
02/24/2012	5.89	5.96	5.79	5.94	1199680	27471782.000
02/27/2012	5.95	6.01	5.84	5.87	1361392	31421724.000
02/28/2012	5.83	5.84	5.68	5.77	1210300	27167944.000
02/29/2012	5.71	5.77	5.53	5.62	727926	16140534.000
03/01/2012	5.59	5.70	5.55	5.64	578771	12780076.000
03/02/2012	5.67	5.84	5.65	5.84	1066260	24015796.000
03/05/2012	5.86	5.88	5.76	5.78	1060300	24140186.000
03/06/2012	5.75	5.78	5.60	5.61	804789	17796754.000
03/07/2012	5.57	5.83	5.55	5.73	904110	20195666.000
03/08/2012	5.73	5.84	5.73	5.84	1014002	22931648.000
03/09/2012	5.86	5.99	5.82	5.97	1707883	39453924.000
03/12/2012	5.96	5.99	5.85	5.95	1063618	24588844.000
03/13/2012	5.94	6.03	5.94	6.03	1225983	28653376.000
03/14/2012	6.08	6.23	5.64	5.68	2169162	50676648.000
03/15/2012	5.64	5.78	5.45	5.58	987918	21596076.000
03/16/2012	5.58	5.86	5.58	5.86	1024508	22990402.000
03/19/2012	5.81	5.97	5.81	5.94	678224	15601151.000
03/20/2012	5.87	5.91	5.66	5.67	682136	15312364.000
03/21/2012	5.71	5.73	5.39	5.56	700316	15180411.000
03/22/2012	5.56	5.61	5.43	5.55	514040	11092633.000
03/23/2012	5.55	5.55	5.37	5.37	494846	10534423.000
03/26/2012	5.37	5.45	5.26	5.39	320455	6729435.000
03/27/2012	5.47	5.47	5.33	5.37	277273	5858542.000
03/28/2012	5.33	5.33	4.92	4.95	589203	11751711.000
03/29/2012	4.95	4.95	4.72	4.74	487444	9206644.000
03/30/2012	4.73	4.79	4.50	4.55	725687	13111758.000
04/05/2012	4.62	4.74	4.55	4.73	696396	12706653.000
04/06/2012	4.71	4.84	4.71	4.76	542571	10152491.000
04/09/2012	4.77	4.77	4.61	4.63	433362	7920987.000
04/10/2012	4.62	4.68	4.46	4.68	504372	9028464.000
04/11/2012	4.67	4.73	4.59	4.71	489131	8961390.000
04/12/2012	4.74	4.88	4.67	4.84	665696	12448720.000
04/13/2012	4.86	4.92	4.81	4.89	488595	9328567.000
04/16/2012	4.86	4.88	4.79	4.82	410670	7774990.500
04/17/2012	4.82	4.82	4.69	4.72	432519	8041519.500
04/18/2012	4.72	4.94	4.72	4.92	612624	11696407.000
04/19/2012	4.92	4.97	4.88	4.97	489297	9421651.000
04/20/2012	4.97	5.06	4.91	5.05	565937	11110101.000
04/23/2012	5.08	5.08	4.64	4.74	927559	17377498.000
04/24/2012	4.69	4.90	4.55	4.89	709582	13091883.000
04/25/2012	4.85	4.85	4.67	4.78	706746	13124012.000
04/26/2012	4.78	4.78	4.64	4.65	414017	7613592.500
04/27/2012	4.67	4.74	4.64	4.69	347962	6398241.500
05/02/2012	4.73	4.81	4.71	4.74	434102	8098414.000
05/03/2012	4.75	4.80	4.72	4.80	403059	7514486.500
05/04/2012	4.81	4.94	4.76	4.89	612822	11704547.000
05/07/2012	4.85	5.18	4.84	5.14	1213648	23957206.000
05/08/2012	5.14	5.15	5.04	5.07	723144	14377443.000
05/09/2012	5.02	5.27	4.99	5.16	1524664	30841962.000
05/10/2012	5.11	5.29	5.10	5.18	882659	18001192.000
05/11/2012	5.11	5.18	5.00	5.00	785683	15587375.000
05/14/2012	5.04	5.08	4.97	4.99	430691	8462276.000
05/15/2012	4.97	4.97	4.88	4.93	321888	6192423.000
05/16/2012	4.93	5.08	4.93	4.97	413738	8118660.500
05/17/2012	4.95	5.03	4.88	5.00	400682	7785517.000
05/18/2012	4.95	4.98	4.85	4.86	527869	10162340.000
05/21/2012	4.85	4.89	4.70	4.73	398193	7432033.000
05/22/2012	4.78	4.80	4.72	4.79	347622	6485878.500
05/23/2012	4.76	4.78	4.67	4.69	389899	7219240.000
05/24/2012	4.69	4.74	4.67	4.70	271286	4998607.500
05/25/2012	4.73	4.73	4.54	4.56	323567	5877113.000
05/28/2012	4.52	4.65	4.47	4.62	283749	5049908.500
05/29/2012	4.63	4.79	4.60	4.73	472360	8727603.000
05/30/2012	4.72	4.77	4.70	4.73	218656	4058450.000
05/31/2012	4.70	5.22	4.69	5.06	2488573	49878108.000
06/01/2012	4.97	5.00	4.89	4.91	1197481	23183240.000
06/04/2012	4.85	4.85	4.69	4.69	718953	13480455.000
06/05/2012	4.69	4.76	4.67	4.72	321724	5942541.000
06/06/2012	4.72	4.76	4.67	4.69	245791	4544325.500
06/07/2012	4.75	4.75	4.60	4.62	301336	5527404.000
06/08/2012	4.68	4.69	4.62	4.63	207557	3785994.000
06/11/2012	4.61	4.85	4.61	4.82	558549	10466973.000
06/12/2012	4.76	4.89	4.72	4.81	428631	8112583.000
06/13/2012	4.80	4.97	4.74	4.95	635483	12238019.000
06/14/2012	4.92	4.95	4.86	4.90	475327	9138064.000
06/15/2012	4.91	5.00	4.87	4.98	393583	7622205.000
06/18/2012	4.99	5.05	4.94	4.98	561723	10996995.000
06/19/2012	4.98	4.98	4.90	4.91	413744	8004606.500
06/20/2012	4.93	5.18	4.93	5.06	1393240	27690616.000
06/21/2012	5.05	5.17	4.95	5.11	1118955	22258596.000
06/25/2012	5.09	5.09	4.95	4.97	635484	12518156.000
06/26/2012	4.95	5.00	4.76	4.94	679755	13011697.000
06/27/2012	4.97	5.10	4.90	5.03	681086	13388180.000
06/28/2012	5.03	5.06	4.92	4.94	602645	11766711.000
06/29/2012	4.95	5.07	4.87	5.06	671209	13144798.000
07/02/2012	5.12	5.16	5.01	5.16	799486	15932506.000
07/03/2012	5.16	5.24	5.08	5.19	969349	19624382.000
07/04/2012	5.16	5.23	5.08	5.11	645905	13022506.000
07/05/2012	5.12	5.12	4.89	4.99	633350	12337220.000
07/06/2012	4.98	5.45	4.88	5.34	2491520	51251524.000
07/09/2012	5.24	5.25	4.95	4.98	1820677	36387932.000
07/10/2012	4.85	4.85	4.52	4.52	1091953	20003930.000
07/11/2012	4.51	4.61	4.47	4.53	441269	7873379.500
07/12/2012	4.53	4.72	4.53	4.66	434087	7912422.500
07/13/2012	4.60	4.61	4.32	4.35	986356	17198940.000
07/16/2012	4.34	4.35	4.01	4.01	791799	7962198.000
07/17/2012	3.98	4.10	3.91	4.04	499189	4885699.500
07/18/2012	4.00	4.05	3.85	3.99	651449	6258091.000
07/19/2012	3.98	4.29	3.95	4.23	1585346	16063815.000
07/20/2012	4.18	4.23	4.09	4.11	693686	6981207.500
07/23/2012	3.99	4.19	3.99	4.11	387539	3860015.500
07/24/2012	4.10	4.14	4.01	4.08	567731	5638697.000
07/25/2012	4.11	4.11	4.02	4.02	507206	5016091.500
07/26/2012	4.01	4.07	3.97	3.98	476832	4669046.000
07/27/2012	4.02	4.02	3.94	3.96	467071	4517022.000
07/30/2012	3.93	3.96	3.74	3.78	599321	5626206.500
07/31/2012	3.77	3.77	3.61	3.66	547779	4901946.500
08/01/2012	3.66	3.74	3.66	3.71	581598	5253551.000
08/02/2012	3.69	3.71	3.65	3.67	376459	3375949.000
08/03/2012	3.69	3.77	3.65	3.76	465299	4228276.500
08/06/2012	3.69	3.88	3.68	3.86	672661	6242573.000
08/07/2012	3.87	4.04	3.84	3.90	995635	9524276.000
08/08/2012	3.86	3.93	3.83	3.88	618412	5848580.500
08/09/2012	3.90	4.01	3.87	3.98	670845	6448327.500
08/10/2012	3.98	4.04	3.96	3.99	757867	7380233.000
08/13/2012	3.99	4.14	3.94	3.94	861095	8458749.000
08/14/2012	3.92	3.97	3.82	3.96	517384	4911904.000
08/15/2012	3.96	4.02	3.83	3.91	365572	3486138.250
08/16/2012	3.91	3.91	3.81	3.81	291696	2745872.500
08/17/2012	3.81	3.87	3.80	3.84	199140	1857567.750
08/20/2012	3.81	3.89	3.74	3.87	243000	2268019.250
08/21/2012	3.84	4.09	3.84	4.01	903145	8819638.000
08/22/2012	4.00	4.05	3.96	4.00	475452	4648872.000
08/23/2012	4.04	4.41	4.00	4.41	4505436	47448268.000
08/24/2012	4.39	4.71	4.34	4.54	7327813	80683888.000
08/27/2012	4.46	4.50	4.23	4.25	3134761	32918524.000
08/28/2012	4.26	4.52	4.21	4.49	3572115	38113448.000
08/29/2012	4.49	4.68	4.38	4.49	4077039	45034912.000
08/30/2012	4.40	4.51	4.22	4.32	2667237	28371264.000
08/31/2012	4.31	4.73	4.29	4.53	3710278	41296228.000
09/03/2012	4.48	4.94	4.43	4.84	4749030	54104056.000
09/04/2012	4.79	4.89	4.70	4.78	4010246	46610076.000
09/05/2012	4.73	4.87	4.69	4.74	2512605	29130432.000
09/06/2012	4.74	4.90	4.72	4.87	2611516	30538950.000
09/07/2012	4.90	5.09	4.80	4.94	4003011	47947384.000
09/10/2012	4.90	4.94	4.81	4.89	2728322	32283042.000
09/11/2012	4.86	4.87	4.69	4.75	2225210	25733156.000
09/12/2012	4.77	4.80	4.67	4.78	1445311	16637775.000
09/13/2012	4.75	4.86	4.64	4.64	1696440	19680286.000
09/14/2012	4.69	4.76	4.60	4.71	1237104	14102129.000
09/17/2012	4.67	4.73	4.25	4.29	1816779	19744806.000
09/18/2012	4.25	4.36	4.24	4.32	842155	8823590.000
09/19/2012	4.36	4.36	4.28	4.36	632467	6652504.500
