300249 依米康 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	3.46	3.54	3.20	3.20	1523531	26139096.000
01/05/2012	3.15	3.15	2.87	2.88	1899390	28757930.000
01/06/2012	2.86	2.97	2.80	2.94	793750	11693888.000
01/09/2012	2.96	3.07	2.89	3.07	1065626	16419565.000
01/10/2012	3.06	3.20	3.06	3.16	1623888	25974460.000
01/11/2012	3.14	3.28	3.10	3.16	1407403	22808172.000
01/12/2012	3.12	3.19	3.09	3.12	1135885	18134732.000
01/13/2012	3.12	3.12	2.82	2.84	1395636	20821012.000
01/16/2012	2.83	2.83	2.63	2.64	779214	10844120.000
01/17/2012	2.66	2.84	2.65	2.81	910963	12807194.000
01/18/2012	2.78	2.85	2.59	2.62	1088732	15193302.000
01/19/2012	2.60	2.76	2.60	2.72	853991	11821839.000
01/20/2012	2.72	2.85	2.72	2.79	879550	12624371.000
01/30/2012	2.82	2.90	2.76	2.81	838413	12177398.000
02/01/2012	2.81	2.94	2.79	2.84	1066651	15640373.000
02/02/2012	2.87	2.89	2.81	2.88	784938	11447581.000
02/03/2012	2.88	2.97	2.86	2.95	1451554	21625946.000
02/06/2012	2.96	2.97	2.91	2.97	1326515	19904644.000
02/07/2012	2.95	2.95	2.83	2.86	1180180	17367306.000
02/08/2012	2.84	2.96	2.84	2.96	1107680	16435951.000
02/09/2012	2.94	3.26	2.92	3.26	2428750	38960844.000
02/10/2012	3.26	3.37	3.20	3.30	3932553	65127252.000
02/13/2012	3.26	3.36	3.23	3.36	2060115	34672444.000
02/14/2012	3.34	3.37	3.28	3.30	1381142	23275116.000
02/15/2012	3.30	3.37	3.24	3.36	1743968	29491594.000
02/16/2012	3.36	3.46	3.32	3.34	2038192	35092476.000
02/17/2012	3.32	3.37	3.23	3.29	1525803	25662470.000
02/20/2012	3.34	3.43	3.29	3.35	2333189	39826604.000
02/21/2012	3.33	3.62	3.31	3.54	3767436	66823304.000
02/22/2012	3.52	3.60	3.48	3.57	2580508	46459832.000
02/23/2012	3.54	3.66	3.52	3.55	3595188	65333308.000
02/24/2012	3.54	3.55	3.46	3.54	2152926	38408552.000
02/27/2012	3.54	3.61	3.50	3.51	2138550	38568996.000
02/28/2012	3.50	3.52	3.32	3.42	1815026	31588820.000
02/29/2012	3.40	3.43	3.34	3.38	1053416	18167712.000
03/01/2012	3.34	3.46	3.34	3.41	1070737	18613736.000
03/02/2012	3.42	3.51	3.42	3.50	1313658	23186030.000
03/05/2012	3.52	3.54	3.44	3.44	1406265	24819958.000
03/06/2012	3.44	3.73	3.42	3.61	3640139	66283672.000
03/07/2012	3.56	3.67	3.50	3.57	2141161	38960064.000
03/08/2012	3.57	3.64	3.54	3.57	1607183	29319252.000
03/09/2012	3.60	3.72	3.57	3.69	2296969	42775528.000
03/12/2012	3.70	3.78	3.64	3.71	1834842	34373988.000
03/13/2012	3.71	3.78	3.67	3.76	1872268	35533476.000
03/14/2012	3.76	3.87	3.44	3.52	3417020	64265688.000
03/15/2012	3.52	3.57	3.38	3.40	1839359	32270444.000
03/16/2012	3.42	3.52	3.42	3.50	1429223	25284060.000
03/19/2012	3.52	3.59	3.47	3.57	1084496	19506866.000
03/20/2012	3.58	3.58	3.39	3.42	1063988	18748814.000
03/21/2012	3.43	3.45	3.28	3.39	1109243	18986102.000
03/22/2012	3.40	3.44	3.36	3.38	669140	11577441.000
03/23/2012	3.34	3.46	3.29	3.39	975196	16710608.000
03/26/2012	3.42	3.42	3.29	3.33	573700	9727703.000
03/27/2012	3.34	3.39	3.31	3.32	637646	10875419.000
03/28/2012	3.33	3.33	2.98	2.98	1786080	28087274.000
03/29/2012	2.94	3.04	2.92	2.96	1073901	16304379.000
03/30/2012	2.84	2.86	2.70	2.75	1882983	26516678.000
04/05/2012	2.75	2.84	2.70	2.82	1142932	16222709.000
04/06/2012	2.82	2.87	2.79	2.87	900928	13055828.000
04/09/2012	2.82	2.85	2.78	2.78	661837	9519030.000
04/10/2012	2.77	2.81	2.65	2.80	985974	13713738.000
04/11/2012	2.77	2.84	2.74	2.83	798410	11415821.000
04/12/2012	2.81	2.99	2.81	2.98	1618670	23991452.000
04/13/2012	3.01	3.03	2.95	2.99	1339030	20395206.000
04/16/2012	2.96	2.99	2.90	2.92	883562	13225646.000
04/17/2012	2.92	2.93	2.86	2.86	652568	9620933.000
04/18/2012	2.87	2.98	2.86	2.97	854372	12791249.000
04/19/2012	2.96	2.99	2.94	2.98	680937	10313034.000
04/20/2012	2.97	3.03	2.96	3.02	759809	11605874.000
04/23/2012	2.98	3.01	2.71	2.71	1770438	25133696.000
04/24/2012	2.65	2.69	2.53	2.66	1517547	20329118.000
04/26/2012	2.66	2.70	2.56	2.59	1077625	14353877.000
04/27/2012	2.60	2.72	2.58	2.67	1207131	16427695.000
05/02/2012	2.70	2.73	2.65	2.68	666534	9152060.000
05/03/2012	2.66	2.69	2.62	2.69	985960	13381790.000
05/04/2012	2.69	2.79	2.67	2.77	1109854	15600249.000
05/07/2012	2.74	2.83	2.70	2.82	990574	14093159.000
05/08/2012	2.83	2.83	2.76	2.79	1116526	15979575.000
