300255 常山药业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	2.29	2.31	2.15	2.15	728868	13089227.000
01/05/2012	2.09	2.16	2.02	2.02	754981	12575140.000
01/06/2012	2.01	2.08	1.99	2.07	790644	12829599.000
01/09/2012	2.06	2.19	2.03	2.18	1124627	19126906.000
01/10/2012	2.18	2.28	2.17	2.27	1707032	30359278.000
01/11/2012	2.27	2.32	2.25	2.27	1229118	22354174.000
01/12/2012	2.26	2.31	2.23	2.24	1039275	18807876.000
01/13/2012	2.24	2.25	2.08	2.08	1177210	20081776.000
01/16/2012	2.06	2.06	1.94	1.96	780999	12553481.000
01/17/2012	1.96	2.10	1.94	2.10	1279030	20762152.000
01/18/2012	2.14	2.14	1.98	1.99	1160737	19195938.000
01/19/2012	1.99	2.12	1.96	2.11	1029398	17034330.000
01/20/2012	2.12	2.18	2.09	2.18	995204	17051246.000
01/30/2012	2.19	2.22	2.13	2.21	1008834	17568868.000
01/31/2012	2.19	2.20	2.12	2.16	564677	9694017.000
02/01/2012	2.15	2.20	2.13	2.14	653830	11314310.000
02/02/2012	2.15	2.21	2.13	2.20	937206	16239031.000
02/03/2012	2.21	2.31	2.19	2.27	1381887	24878568.000
02/06/2012	2.27	2.29	2.24	2.29	1029749	18632470.000
02/07/2012	2.26	2.29	2.21	2.21	709084	12681848.000
02/08/2012	2.21	2.29	2.21	2.29	881762	15891304.000
02/09/2012	2.29	2.34	2.28	2.30	1837731	33799964.000
02/10/2012	2.31	2.31	2.27	2.28	1114278	20338946.000
02/13/2012	2.27	2.36	2.25	2.34	1679456	31047692.000
02/14/2012	2.34	2.35	2.31	2.34	885734	16413183.000
02/15/2012	2.35	2.38	2.32	2.37	1221661	22876794.000
02/16/2012	2.36	2.40	2.31	2.34	1106397	20700796.000
02/17/2012	2.35	2.35	2.27	2.30	1036099	19052140.000
02/20/2012	2.33	2.33	2.28	2.28	1445778	26603010.000
02/21/2012	2.28	2.34	2.27	2.34	1071154	19669336.000
02/22/2012	2.33	2.45	2.33	2.44	2235839	42647784.000
02/23/2012	2.43	2.50	2.43	2.47	2162734	42442464.000
02/24/2012	2.49	2.55	2.48	2.53	1998385	39902052.000
02/27/2012	2.57	2.58	2.49	2.50	1854000	37151368.000
02/28/2012	2.49	2.49	2.43	2.45	1712214	33371908.000
02/29/2012	2.45	2.49	2.42	2.43	1183762	23111682.000
03/01/2012	2.42	2.46	2.42	2.44	762491	14795761.000
03/02/2012	2.44	2.49	2.44	2.49	1106592	21723556.000
03/05/2012	2.50	2.54	2.47	2.50	1496288	29773332.000
03/06/2012	2.49	2.49	2.42	2.44	1130926	21991198.000
03/07/2012	2.40	2.48	2.39	2.42	900610	17490690.000
03/08/2012	2.45	2.48	2.43	2.46	937971	18293346.000
03/09/2012	2.47	2.55	2.47	2.55	1542133	30930318.000
03/13/2012	2.60	2.71	2.57	2.62	2876888	60270272.000
03/14/2012	2.66	2.69	2.45	2.46	2480893	51192440.000
03/15/2012	2.48	2.59	2.42	2.57	2555441	51137340.000
03/16/2012	2.57	2.75	2.56	2.74	3051907	64256228.000
03/19/2012	2.76	2.76	2.69	2.75	2078144	44889452.000
03/20/2012	2.73	2.83	2.72	2.74	2269062	49766560.000
03/21/2012	2.77	2.77	2.59	2.69	1805229	38219704.000
03/22/2012	2.68	2.71	2.64	2.66	957341	20301518.000
03/23/2012	2.62	2.71	2.61	2.64	1001722	21121024.000
03/26/2012	2.64	2.80	2.64	2.66	2114597	45442400.000
03/27/2012	2.71	2.71	2.50	2.51	2794333	57651864.000
03/28/2012	2.49	2.49	2.33	2.35	1536329	29342010.000
03/29/2012	2.33	2.38	2.29	2.31	961579	17896630.000
03/30/2012	2.34	2.35	2.25	2.27	844369	15434985.000
04/05/2012	2.31	2.36	2.28	2.36	629847	11695415.000
04/06/2012	2.36	2.40	2.32	2.36	801593	15074275.000
04/09/2012	2.36	2.38	2.32	2.32	551276	10309437.000
04/10/2012	2.30	2.33	2.21	2.32	1012858	18313548.000
04/11/2012	2.29	2.33	2.26	2.29	1058111	19320936.000
04/12/2012	2.30	2.39	2.29	2.38	1007109	18777750.000
04/13/2012	2.39	2.41	2.36	2.38	994813	18916588.000
04/16/2012	2.36	2.38	2.33	2.36	729741	13665683.000
04/17/2012	2.36	2.39	2.33	2.35	701091	13174096.000
04/18/2012	2.37	2.42	2.35	2.42	943141	17990876.000
04/19/2012	2.42	2.48	2.40	2.44	1105038	21464380.000
04/20/2012	2.44	2.50	2.43	2.47	821680	16110139.000
04/23/2012	2.45	2.45	2.29	2.32	2137275	40102220.000
04/24/2012	2.32	2.35	2.21	2.27	1017107	18451698.000
04/25/2012	2.29	2.31	2.25	2.29	613096	11202222.000
04/26/2012	2.30	2.31	2.24	2.27	609301	11046306.000
04/27/2012	2.31	2.32	2.26	2.30	473773	8695866.000
05/02/2012	2.33	2.36	2.31	2.34	576555	10729751.000
05/03/2012	2.34	2.38	2.34	2.37	548691	10305198.000
05/04/2012	2.38	2.42	2.36	2.41	648011	12334855.000
05/07/2012	2.39	2.50	2.37	2.49	1005944	19680620.000
05/08/2012	2.50	2.51	2.44	2.46	968274	18986040.000
05/09/2012	2.44	2.44	2.38	2.38	1215442	23233676.000
05/10/2012	2.37	2.47	2.37	2.41	1120552	21578552.000
05/11/2012	2.42	2.45	2.39	2.41	918433	17690186.000
05/14/2012	2.43	2.49	2.41	2.44	1078961	21056202.000
05/15/2012	2.43	2.43	2.37	2.41	793161	15109504.000
05/16/2012	2.40	2.42	2.38	2.38	518472	9878346.000
05/17/2012	2.39	2.41	2.37	2.40	614529	11713820.000
05/18/2012	2.39	2.40	2.31	2.32	801333	15001520.000
05/21/2012	2.33	2.34	2.29	2.32	338867	6257194.000
05/22/2012	2.33	2.36	2.32	2.36	423545	7917478.000
05/23/2012	2.36	2.36	2.30	2.32	515126	9538318.000
05/24/2012	2.32	2.33	2.30	2.31	573297	10536137.000
05/25/2012	2.32	2.32	2.26	2.27	535796	9742893.000
05/28/2012	2.25	2.27	2.21	2.26	596896	10660975.000
05/29/2012	2.26	2.32	2.25	2.32	580577	10593782.000
05/30/2012	2.30	2.34	2.30	2.32	452858	8394575.000
