300257 开山股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/04/2012	9.24	9.33	8.24	8.24	1028640	58410488.000
01/05/2012	8.08	8.08	7.34	7.46	1817839	90756640.000
01/06/2012	7.46	7.58	7.08	7.44	623775	30289332.000
01/09/2012	7.49	7.74	7.26	7.71	730353	36391256.000
01/10/2012	7.69	8.10	7.61	8.07	836774	43443472.000
01/11/2012	8.07	8.17	7.86	7.94	958214	50518632.000
01/12/2012	7.94	8.02	7.31	7.31	1125620	56397040.000
01/13/2012	7.31	7.47	6.83	6.91	1446574	68103056.000
01/16/2012	6.68	6.93	6.59	6.69	813828	36696008.000
01/17/2012	6.77	7.14	6.60	7.09	646442	29800498.000
01/18/2012	7.05	7.19	6.67	6.73	760284	34950076.000
01/19/2012	6.73	6.97	6.68	6.93	481719	22006120.000
01/20/2012	7.06	7.28	6.94	7.23	548033	26148878.000
01/30/2012	7.26	7.46	7.23	7.33	541346	26335950.000
01/31/2012	7.30	7.34	7.04	7.22	320204	15199825.000
02/01/2012	7.09	7.59	7.09	7.34	604493	29689260.000
02/02/2012	7.34	7.49	7.29	7.49	377703	18425624.000
02/03/2012	7.47	7.73	7.41	7.65	594871	29869654.000
02/06/2012	7.64	7.85	7.50	7.81	814056	41137300.000
02/07/2012	7.76	7.76	7.52	7.54	372675	18657116.000
02/08/2012	7.52	7.66	7.46	7.65	461884	23113930.000
02/09/2012	7.66	7.81	7.58	7.67	536257	27179626.000
02/10/2012	7.66	7.93	7.59	7.83	869313	44594964.000
02/13/2012	7.71	8.22	7.66	8.18	1002520	53252408.000
02/14/2012	8.13	8.24	8.03	8.13	468581	24997450.000
02/15/2012	8.13	8.39	8.08	8.30	769547	41675472.000
02/16/2012	8.26	8.49	8.26	8.39	768010	42202112.000
02/17/2012	8.36	8.54	8.13	8.35	571410	31051992.000
02/20/2012	8.41	8.43	8.21	8.22	349088	19030212.000
02/21/2012	8.14	8.33	8.11	8.25	845661	45515536.000
02/22/2012	8.25	8.55	8.24	8.44	815423	44885480.000
02/23/2012	8.49	8.54	8.31	8.39	748653	41145956.000
02/24/2012	8.39	8.61	8.34	8.61	831241	45959976.000
02/27/2012	8.63	8.83	8.60	8.61	1310643	74487192.000
02/28/2012	8.58	8.58	8.21	8.32	1225935	67247720.000
02/29/2012	8.28	8.33	8.15	8.19	1255788	67508880.000
03/01/2012	8.16	8.40	8.16	8.33	733161	39767428.000
03/02/2012	8.33	8.79	8.33	8.77	1015983	57073704.000
03/05/2012	8.77	9.17	8.77	9.11	1140643	67187864.000
03/06/2012	9.10	9.18	8.96	9.09	1048969	61715884.000
03/07/2012	9.03	9.25	8.91	9.08	699419	41392504.000
03/08/2012	9.09	9.20	8.99	9.09	399225	23609112.000
03/09/2012	9.09	9.28	9.09	9.19	624630	37384212.000
03/12/2012	9.15	9.43	8.99	9.13	543541	32476454.000
03/13/2012	9.13	9.24	9.05	9.24	996071	59040396.000
03/14/2012	9.22	9.66	8.76	8.91	1182598	71260064.000
03/15/2012	8.91	9.11	8.78	8.92	625878	36337312.000
03/16/2012	8.99	9.17	8.86	9.03	572161	33450162.000
03/19/2012	9.07	9.39	8.96	9.31	481836	28867108.000
03/20/2012	9.31	9.47	9.10	9.18	625483	37456200.000
03/21/2012	9.31	9.31	8.64	9.06	928843	53994788.000
03/22/2012	9.01	9.18	8.88	9.08	653489	38312112.000
03/23/2012	9.06	9.06	8.72	8.87	846851	48812424.000
03/26/2012	8.75	8.91	8.60	8.82	607855	34580236.000
03/27/2012	8.84	9.08	8.82	8.93	800292	46568052.000
03/28/2012	8.99	9.11	8.61	8.73	673358	38884796.000
03/29/2012	8.59	8.97	8.38	8.41	712174	40185776.000
03/30/2012	8.29	8.56	8.29	8.54	428226	23603252.000
04/05/2012	8.91	8.92	8.58	8.91	830925	47268312.000
04/06/2012	8.91	8.91	8.66	8.82	502309	28802862.000
04/09/2012	8.82	8.83	8.66	8.79	271912	15518549.000
04/10/2012	8.80	8.80	8.34	8.67	660135	36704928.000
04/11/2012	8.58	8.63	8.41	8.55	280320	15648491.000
04/12/2012	8.57	8.82	8.56	8.79	287987	16337815.000
04/13/2012	8.82	9.03	8.81	8.94	451217	26233078.000
04/16/2012	8.84	9.18	8.83	9.14	488410	28682812.000
04/17/2012	9.16	9.24	8.96	9.06	391264	23150370.000
04/18/2012	9.03	9.34	9.03	9.31	619170	37024548.000
04/19/2012	9.25	9.40	9.21	9.27	329354	19891726.000
04/20/2012	9.16	9.35	9.16	9.28	242669	14588762.000
