300289 利德曼 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
02/16/2012	6.13	6.57	5.98	6.34	28037446	451555168.000
02/17/2012	6.20	6.27	5.84	5.97	15602178	246062576.000
02/20/2012	5.96	6.07	5.90	6.00	10832204	169691792.000
02/21/2012	6.00	6.33	5.96	6.21	11908056	190625696.000
02/22/2012	6.11	6.33	6.09	6.33	10138122	164142336.000
02/23/2012	6.33	6.44	6.18	6.33	9914200	162461472.000
02/24/2012	6.35	6.59	6.32	6.41	10704768	179759664.000
02/27/2012	6.45	6.47	6.24	6.29	8397740	138790512.000
02/28/2012	6.23	6.28	6.00	6.11	7283437	116213352.000
02/29/2012	6.07	6.20	6.04	6.11	3823477	60938036.000
03/01/2012	6.12	6.27	6.04	6.20	4268980	68624688.000
03/02/2012	6.23	6.83	6.17	6.60	10001005	169132976.000
03/05/2012	6.54	6.85	6.54	6.68	7930836	137725232.000
03/06/2012	6.65	6.77	6.54	6.73	6121791	106255360.000
03/07/2012	6.62	7.08	6.62	6.85	6841800	121881168.000
03/08/2012	6.80	6.91	6.72	6.81	4252774	75071192.000
03/09/2012	6.90	7.00	6.75	6.85	4414771	78550312.000
03/12/2012	6.86	6.88	6.71	6.87	4418465	78047056.000
03/13/2012	6.83	7.14	6.79	6.95	5373113	97328776.000
03/14/2012	6.96	6.96	6.25	6.36	6864274	119070616.000
03/15/2012	6.38	6.52	6.26	6.44	3675148	61266704.000
03/16/2012	6.44	6.48	6.16	6.48	3772773	62544828.000
03/19/2012	6.48	6.52	6.35	6.49	2824426	47384248.000
03/20/2012	6.45	6.48	6.23	6.28	2194481	36142172.000
03/21/2012	6.33	6.33	6.04	6.12	2122913	34209256.000
03/22/2012	6.12	6.31	6.10	6.22	1451200	23595656.000
03/23/2012	6.21	6.26	6.13	6.15	1041050	16791624.000
03/26/2012	6.15	6.30	6.15	6.29	1259084	20515644.000
03/27/2012	6.31	6.33	6.07	6.08	1516348	24495600.000
03/28/2012	6.04	6.09	5.77	5.84	1733094	26711970.000
03/29/2012	5.79	5.92	5.41	5.69	2583256	38136024.000
03/30/2012	5.67	5.82	5.53	5.61	1778063	26215138.000
04/05/2012	5.53	5.77	5.53	5.73	1360552	20250908.000
04/06/2012	5.73	5.83	5.62	5.76	1092327	16366382.000
04/09/2012	5.76	5.76	5.50	5.52	1178260	17328110.000
04/10/2012	5.51	5.66	5.25	5.65	2886874	41308608.000
04/11/2012	5.55	5.61	5.48	5.58	1440173	20921214.000
04/12/2012	5.64	5.69	5.55	5.68	1323742	19561608.000
04/13/2012	5.66	5.86	5.65	5.79	2047824	31005134.000
04/16/2012	5.73	5.77	5.66	5.68	1195871	17854432.000
04/17/2012	5.66	5.79	5.66	5.69	1551616	23233480.000
04/18/2012	5.75	5.89	5.70	5.89	1814088	27551444.000
04/20/2012	5.91	5.91	5.77	5.86	1971206	30121806.000
04/23/2012	5.84	5.84	5.37	5.42	2740713	39665324.000
04/24/2012	5.42	5.50	5.25	5.48	2070004	29335860.000
04/25/2012	5.47	5.59	5.45	5.57	1252201	18193082.000
04/26/2012	5.57	5.63	5.42	5.44	1385096	19925796.000
