300291 华录百纳 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
02/09/2012	6.41	6.88	6.36	6.72	10702608	584263808.000
02/10/2012	6.69	6.92	6.65	6.74	5572601	310692800.000
02/13/2012	6.53	6.92	6.48	6.92	4109099	227039872.000
02/14/2012	6.89	6.90	6.63	6.70	3428971	190833952.000
02/15/2012	6.83	6.99	6.69	6.91	3645090	204909520.000
02/16/2012	6.84	7.16	6.83	6.91	3344678	192458448.000
02/17/2012	7.12	7.42	7.08	7.27	3270366	195265376.000
02/20/2012	7.17	7.34	7.12	7.15	2208835	130729544.000
02/21/2012	7.12	7.35	7.09	7.23	2303618	136756608.000
02/22/2012	7.21	7.32	7.07	7.28	2080664	123270808.000
02/23/2012	7.28	7.48	7.12	7.16	1968330	117567392.000
02/24/2012	7.09	7.21	7.01	7.05	2101003	122430792.000
02/27/2012	7.06	7.22	7.01	7.08	2099036	122978240.000
02/28/2012	7.01	7.07	6.91	7.02	1697833	97673296.000
02/29/2012	7.02	7.19	6.79	6.79	1696284	97912000.000
03/01/2012	6.73	6.91	6.69	6.81	1216275	67947392.000
03/02/2012	6.84	6.96	6.79	6.94	914865	51893568.000
03/05/2012	6.99	7.08	6.88	7.01	1156951	66366212.000
03/06/2012	6.97	7.23	6.96	7.12	1564815	91875040.000
03/07/2012	7.06	7.13	6.88	7.02	1108339	63904424.000
03/08/2012	6.99	7.12	6.99	7.02	1022897	59347320.000
03/09/2012	7.05	7.34	6.97	7.27	1689880	100210568.000
03/12/2012	7.31	7.47	7.17	7.34	1323503	79619824.000
03/13/2012	7.33	7.42	7.21	7.36	1180650	70959416.000
03/14/2012	7.34	7.39	6.61	6.73	1793308	104727368.000
03/15/2012	6.74	6.98	6.70	6.79	1260425	70956048.000
03/16/2012	6.78	6.88	6.66	6.85	932684	52252488.000
03/19/2012	6.85	7.04	6.75	6.99	778800	44364404.000
03/20/2012	6.98	6.98	6.74	6.75	721706	40720060.000
03/21/2012	6.76	6.81	6.24	6.44	1469977	78838520.000
03/22/2012	6.43	6.53	6.30	6.46	571452	30408634.000
03/23/2012	6.45	6.73	6.44	6.67	993134	54262788.000
03/26/2012	6.67	6.77	6.58	6.66	476450	26176070.000
03/27/2012	6.69	6.73	6.59	6.71	724313	39870880.000
03/28/2012	6.54	7.03	6.54	6.71	1854773	104101112.000
03/29/2012	6.57	6.61	6.16	6.25	890337	46730912.000
03/30/2012	6.26	6.46	6.26	6.42	792309	41771584.000
04/05/2012	6.34	6.82	6.34	6.82	735091	40623544.000
04/06/2012	6.75	7.07	6.75	6.84	949623	54187156.000
04/09/2012	6.82	7.08	6.82	6.88	1020857	58813716.000
04/10/2012	6.82	7.19	6.75	7.11	941097	54010444.000
04/11/2012	7.02	7.11	6.97	7.06	877605	50794912.000
04/12/2012	7.02	7.11	6.86	7.01	1150874	66213652.000
