300301 长方集团 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
03/21/2012	3.85	3.93	3.75	3.81	11983523	258466336.000
03/22/2012	3.95	3.99	3.86	3.95	12940458	284888000.000
03/23/2012	3.97	4.07	3.91	3.99	8685167	194156736.000
03/26/2012	4.01	4.09	3.90	3.95	6546755	145663264.000
03/27/2012	3.89	3.93	3.81	3.86	5146203	111348056.000
03/28/2012	3.84	3.85	3.46	3.50	6072546	121954480.000
03/29/2012	3.48	3.62	3.45	3.59	4508288	89952200.000
03/30/2012	3.57	3.62	3.39	3.48	3378885	66550744.000
04/05/2012	3.57	3.65	3.48	3.61	2666600	53385708.000
04/06/2012	3.59	3.71	3.57	3.67	2753277	56466404.000
04/09/2012	3.65	3.71	3.53	3.53	2273417	46076576.000
04/10/2012	3.48	3.64	3.40	3.64	2821176	55600520.000
04/11/2012	3.56	3.66	3.54	3.58	1916638	38719652.000
04/12/2012	3.59	3.64	3.56	3.63	1543601	31236320.000
04/13/2012	3.64	3.66	3.55	3.62	2014559	40733360.000
04/16/2012	3.56	3.59	3.53	3.55	1412503	28255932.000
04/17/2012	3.51	3.65	3.48	3.60	2391574	47756600.000
04/18/2012	3.61	3.84	3.55	3.80	4807812	100424024.000
04/19/2012	3.92	4.09	3.92	4.00	5965963	133507448.000
04/20/2012	4.11	4.37	4.04	4.31	5302135	124165064.000
04/23/2012	4.17	4.33	4.11	4.24	4682340	109909736.000
04/24/2012	4.33	4.45	3.95	4.22	4446600	105300552.000
04/25/2012	4.19	4.38	4.18	4.33	2844703	68275392.000
04/26/2012	4.28	4.37	4.13	4.13	1649442	39022616.000
04/27/2012	4.14	4.43	4.13	4.26	2032753	48650960.000
05/02/2012	4.26	4.42	4.12	4.36	1920944	45900064.000
05/03/2012	4.32	4.53	4.31	4.48	2059797	51223544.000
05/04/2012	4.46	4.49	4.37	4.38	1144867	28225596.000
05/07/2012	4.39	4.47	4.31	4.41	1305147	31968142.000
05/08/2012	4.40	4.53	4.32	4.32	1219365	30059084.000
05/09/2012	4.23	4.23	4.09	4.12	1797566	41656172.000
05/10/2012	4.17	4.20	4.08	4.14	650489	15055202.000
05/11/2012	4.11	4.14	4.03	4.06	801509	18288742.000
05/14/2012	4.06	4.23	4.03	4.07	1116062	25818226.000
05/15/2012	4.06	4.20	4.04	4.18	1185789	27388396.000
05/16/2012	4.17	4.20	4.15	4.17	921895	21492410.000
05/17/2012	4.19	4.27	4.19	4.23	877494	20731266.000
05/18/2012	4.21	4.24	4.09	4.13	818679	18944030.000
05/21/2012	4.13	4.13	4.04	4.10	482315	11038203.000
05/22/2012	4.12	4.22	4.09	4.18	556144	12936021.000
05/23/2012	4.19	4.26	4.15	4.23	735328	17318262.000
05/24/2012	4.21	4.39	4.12	4.12	1511098	36125608.000
05/25/2012	4.04	4.08	3.96	3.99	848121	19015590.000
05/28/2012	3.95	4.12	3.92	4.10	552427	12456335.000
05/29/2012	4.16	4.35	4.15	4.29	1618999	38469612.000
05/30/2012	4.30	4.50	4.25	4.32	1612186	39380760.000
05/31/2012	4.33	4.41	4.26	4.36	968431	23506636.000
06/01/2012	4.30	4.38	4.27	4.30	471720	11363294.000
06/04/2012	4.19	4.22	4.11	4.15	817997	19048656.000
06/05/2012	4.16	4.21	4.10	4.14	376297	8737187.000
06/06/2012	4.15	4.15	3.93	3.96	801674	18193918.000
06/07/2012	3.99	4.05	3.94	3.97	452137	10118340.000
06/08/2012	4.00	4.03	3.57	3.80	498155	10777609.000
06/11/2012	3.80	3.87	3.71	3.85	274719	5873493.000
06/12/2012	3.83	3.85	3.77	3.82	232101	4948693.000
06/13/2012	3.84	3.96	3.81	3.96	614030	13411457.000
06/14/2012	3.91	4.01	3.91	3.96	439599	9772032.000
06/15/2012	4.00	4.02	3.90	4.02	571006	12615524.000
06/18/2012	4.02	4.07	3.98	4.04	622897	14060578.000
06/19/2012	4.04	4.04	3.91	3.95	442950	9812229.000
06/20/2012	3.95	4.07	3.89	4.06	747468	16675969.000
06/21/2012	3.99	4.14	3.89	4.09	2325031	52210588.000
06/25/2012	4.07	4.11	3.92	3.97	978696	21843494.000
06/26/2012	3.93	4.01	3.93	3.95	510610	11333215.000
06/27/2012	3.93	4.03	3.93	3.95	558472	12444787.000
06/28/2012	3.98	4.01	3.87	3.92	491412	10787108.000
06/29/2012	3.93	3.96	3.82	3.96	449405	9810691.000
07/02/2012	3.96	4.07	3.82	4.03	674314	15030664.000
07/03/2012	4.03	4.13	3.97	4.06	720065	16363677.000
07/04/2012	4.04	4.14	3.99	4.00	1559767	35394252.000
07/05/2012	3.93	3.97	3.80	3.82	924086	19954418.000
07/06/2012	3.82	3.88	3.59	3.86	2027468	41959736.000
07/09/2012	3.79	3.79	3.66	3.71	1112506	23208422.000
07/10/2012	3.55	3.55	3.33	3.33	1865549	35098888.000
07/11/2012	3.28	3.28	3.15	3.20	1666960	29896274.000
07/12/2012	3.22	3.31	3.19	3.29	2150147	39311500.000
07/13/2012	3.29	3.29	3.09	3.14	1084430	19386670.000
07/16/2012	3.16	3.16	2.98	2.99	882130	15010721.000
07/17/2012	2.95	3.02	2.91	3.02	642082	10746509.000
07/18/2012	3.02	3.02	2.96	3.01	966270	16286386.000
07/19/2012	3.32	3.32	3.32	3.32	407320	7596518.000
07/20/2012	3.66	3.66	3.66	3.66	556201	11413245.000
07/23/2012	3.97	4.03	3.87	4.03	11869327	264549552.000
07/24/2012	4.10	4.25	3.95	4.05	13854521	317025984.000
07/25/2012	4.11	4.47	4.06	4.24	13289249	317378944.000
07/26/2012	4.17	4.59	4.14	4.42	11214651	272855680.000
07/27/2012	4.37	4.47	4.34	4.40	6584509	161909008.000
07/30/2012	4.38	4.53	4.29	4.33	6570016	161700896.000
07/31/2012	4.26	4.43	4.15	4.29	5797434	139276208.000
08/01/2012	4.27	4.72	4.24	4.24	10847831	270637696.000
08/02/2012	4.12	4.39	4.06	4.39	9215342	218015216.000
08/03/2012	4.34	4.67	4.34	4.56	9070265	227067232.000
08/06/2012	4.44	4.63	4.40	4.55	7388147	186899280.000
08/07/2012	4.54	4.72	4.35	4.37	8447725	212108000.000
08/08/2012	4.33	4.81	4.29	4.81	9664015	246984672.000
08/09/2012	4.91	5.01	4.77	4.90	10064234	273898784.000
08/10/2012	4.80	4.87	4.71	4.77	5640883	150410816.000
08/13/2012	4.77	4.86	4.60	4.60	3881128	102415744.000
08/14/2012	4.60	4.78	4.54	4.74	4529056	117575464.000
08/15/2012	4.68	4.72	4.46	4.47	4466249	113869256.000
08/16/2012	4.48	4.59	4.35	4.40	2666029	66551820.000
08/17/2012	4.39	4.56	4.35	4.47	2808225	70121264.000
08/20/2012	4.43	4.59	4.39	4.55	2703300	68223256.000
08/21/2012	4.53	4.82	4.51	4.61	4597918	119849112.000
08/22/2012	4.62	4.74	4.57	4.64	3647240	94721624.000
08/23/2012	4.61	4.68	4.40	4.44	4638032	116802112.000
08/24/2012	4.45	4.55	4.40	4.49	2491666	62234952.000
08/27/2012	4.45	4.50	4.18	4.27	2886619	69262008.000
08/28/2012	4.27	4.35	4.18	4.27	2732375	65223348.000
08/29/2012	4.24	4.70	4.24	4.50	7477474	190507952.000
08/30/2012	4.44	4.49	4.05	4.20	6687017	159553376.000
08/31/2012	4.20	4.28	4.15	4.22	2561897	60541708.000
09/03/2012	4.22	4.41	4.21	4.34	3300284	79963288.000
09/04/2012	4.33	4.49	4.31	4.36	3313164	81353816.000
09/05/2012	4.34	4.81	4.33	4.81	10092589	264166864.000
09/06/2012	4.84	4.98	4.73	4.75	7689747	207889152.000
09/07/2012	4.77	5.09	4.77	4.97	8090930	221733488.000
09/10/2012	4.93	5.44	4.89	5.19	7582392	218704896.000
09/11/2012	5.15	5.29	5.09	5.27	4733865	136829312.000
09/12/2012	5.25	5.29	4.98	5.17	4990497	142513904.000
09/13/2012	5.14	5.22	5.02	5.03	3161335	90314504.000
09/14/2012	5.08	5.15	4.87	4.98	4391002	122254144.000
