300304 云意电气 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
03/21/2012	10.61	10.99	10.35	10.40	10628671	242891424.000
03/22/2012	10.20	10.24	9.77	9.88	5746885	123986088.000
03/23/2012	9.75	9.94	9.66	9.89	2994692	63747404.000
03/26/2012	9.88	9.89	9.67	9.77	1890463	40093136.000
03/27/2012	9.73	9.81	9.66	9.66	1695725	35819084.000
03/28/2012	9.56	9.58	8.95	8.96	2460264	49620296.000
03/29/2012	9.03	9.03	8.61	8.71	1334466	25881890.000
03/30/2012	8.72	8.83	8.48	8.52	1200338	22789922.000
04/05/2012	8.49	8.73	8.48	8.73	1148119	21835228.000
04/06/2012	8.74	8.75	8.62	8.74	1044256	19929816.000
04/09/2012	8.73	8.74	8.55	8.56	678697	12911250.000
04/10/2012	8.55	8.94	8.48	8.93	1547035	29636058.000
04/11/2012	8.80	8.87	8.76	8.83	1121490	21668418.000
04/12/2012	8.82	8.96	8.75	8.95	1307903	25407960.000
04/13/2012	8.95	8.99	8.85	8.92	1114445	21797448.000
04/16/2012	8.87	8.98	8.80	8.80	857539	16615724.000
04/17/2012	8.80	8.83	8.71	8.79	651940	12543730.000
04/18/2012	8.78	8.93	8.76	8.90	853015	16558644.000
04/19/2012	8.86	9.07	8.85	8.99	1561285	30728798.000
04/20/2012	8.95	9.10	8.89	9.07	1273240	25094636.000
04/23/2012	9.03	9.04	8.55	8.56	1690327	32320832.000
04/24/2012	8.45	8.65	8.33	8.47	810658	15101862.000
04/25/2012	8.47	8.54	8.43	8.53	558920	10427677.000
04/26/2012	8.53	8.59	8.48	8.48	418500	7847250.000
04/27/2012	8.48	8.64	8.46	8.57	503179	9480190.000
05/02/2012	8.68	8.70	8.57	8.63	640205	12142088.000
05/03/2012	8.58	8.66	8.57	8.64	529682	10014007.000
05/04/2012	8.60	8.73	8.60	8.73	642281	12258377.000
05/07/2012	8.68	8.74	8.64	8.74	774553	14770008.000
05/08/2012	8.75	8.85	8.71	8.77	859473	16542901.000
05/09/2012	8.74	8.74	8.60	8.60	730747	13875232.000
05/10/2012	8.59	8.68	8.58	8.60	351317	6650329.000
05/11/2012	8.60	8.73	8.58	8.60	485105	9219839.000
05/14/2012	8.69	8.69	8.56	8.57	397454	7507809.000
05/15/2012	8.47	8.56	8.45	8.53	378127	7060057.000
05/16/2012	8.58	8.58	8.45	8.45	249748	4663432.000
05/17/2012	8.52	8.61	8.43	8.59	508710	9524764.000
05/18/2012	8.54	8.95	8.52	8.70	1520903	29315564.000
05/21/2012	8.69	8.83	8.59	8.67	567034	10819442.000
05/22/2012	8.69	8.75	8.65	8.75	551970	10561836.000
05/23/2012	8.70	8.78	8.54	8.57	565738	10740044.000
05/24/2012	8.57	8.61	8.53	8.55	368021	6923405.000
05/25/2012	8.53	8.57	8.30	8.32	663670	12294827.000
05/28/2012	8.26	8.40	8.20	8.37	326797	5969635.500
05/29/2012	8.31	8.47	8.31	8.44	390044	7229125.000
05/30/2012	8.41	8.45	8.39	8.41	316046	5857636.000
05/31/2012	8.38	8.51	8.37	8.47	311988	5802908.000
06/01/2012	8.51	8.51	8.38	8.42	338297	6289322.000
