300307 慈星股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
03/29/2012	14.54	15.25	14.46	14.56	14957020	458796384.000
03/30/2012	14.85	15.45	14.76	15.10	9388808	293873824.000
04/05/2012	15.08	15.33	14.51	15.20	6033353	186367024.000
04/06/2012	15.07	15.27	14.80	15.12	4026527	125529424.000
04/09/2012	15.04	15.04	14.70	14.70	3063433	94377024.000
04/10/2012	14.57	16.05	14.50	15.66	6020515	189579440.000
04/11/2012	15.46	15.83	15.30	15.42	4567973	146860848.000
04/12/2012	15.45	15.58	15.26	15.55	3356503	107472280.000
04/13/2012	15.55	15.68	15.36	15.51	3109906	99869864.000
04/16/2012	15.35	15.35	14.90	14.95	4156574	130086048.000
04/17/2012	15.09	15.14	14.84	14.97	2379193	73843328.000
04/18/2012	15.05	15.26	14.89	15.19	2512191	78755928.000
04/19/2012	15.11	15.64	15.11	15.33	3268940	104545024.000
04/20/2012	15.35	15.51	15.17	15.39	2385281	75803120.000
04/23/2012	15.47	15.55	14.81	14.88	3409570	106516056.000
04/24/2012	14.84	15.35	14.60	15.33	3680507	114488312.000
04/25/2012	15.20	15.54	15.13	15.35	2892440	92057968.000
04/26/2012	15.28	15.45	15.17	15.17	1966654	62379628.000
04/27/2012	15.16	15.39	14.96	15.16	1932056	60726652.000
05/02/2012	15.38	15.56	15.20	15.45	2853475	91051696.000
05/03/2012	15.44	15.59	15.32	15.52	2659471	85275096.000
05/04/2012	15.49	15.68	15.38	15.54	2620470	84280704.000
05/07/2012	15.47	15.48	15.20	15.40	3040697	96512304.000
05/08/2012	15.39	15.90	15.29	15.77	4873685	157722880.000
05/09/2012	15.65	16.04	15.51	15.58	3759758	122848280.000
05/10/2012	15.58	15.70	15.49	15.54	2212848	71339392.000
05/11/2012	15.62	15.62	15.19	15.19	2518271	80151048.000
05/14/2012	15.33	15.34	15.10	15.11	1546003	48706300.000
05/15/2012	14.97	15.18	14.96	15.12	973446	30385900.000
05/16/2012	15.10	15.17	14.85	14.87	1174716	36574176.000
05/17/2012	14.95	15.04	14.83	15.00	1155809	35831100.000
05/18/2012	14.94	14.94	14.68	14.70	1737124	53310096.000
05/21/2012	14.73	14.83	14.63	14.75	827166	25290684.000
05/22/2012	14.81	14.92	14.80	14.87	911893	28095816.000
05/23/2012	14.80	14.87	14.70	14.78	849386	26018192.000
05/24/2012	14.80	15.07	14.76	14.78	1104586	34145724.000
05/25/2012	14.81	14.87	14.60	14.63	957210	29194564.000
05/28/2012	14.63	14.78	14.49	14.74	1000180	30389002.000
05/29/2012	14.70	14.94	14.70	14.90	980950	30228164.000
05/30/2012	14.91	14.91	14.77	14.79	899123	27640904.000
05/31/2012	14.76	14.82	14.58	14.79	1218892	37179092.000
06/01/2012	14.78	14.84	14.61	14.65	1075456	32860272.000
06/04/2012	14.50	14.58	13.97	13.97	2361037	70364152.000
06/05/2012	13.98	14.10	13.84	13.84	1513362	43804132.000
06/06/2012	13.85	13.96	13.84	13.90	719026	20759590.000
06/07/2012	14.02	14.08	13.66	13.70	1167847	33718868.000
06/08/2012	13.85	13.85	13.53	13.61	1095991	31150668.000
06/11/2012	13.66	13.85	13.58	13.78	855428	24431236.000
06/12/2012	13.74	13.88	13.57	13.82	944468	26937188.000
06/13/2012	13.89	14.00	13.76	13.96	978234	28283240.000
06/14/2012	13.96	14.10	13.83	13.86	994046	28892214.000
06/15/2012	13.87	14.01	13.72	13.91	601111	17350848.000
06/18/2012	13.95	14.09	13.85	14.09	1008469	29416452.000
06/19/2012	14.08	14.08	13.90	13.94	640299	18592170.000
06/20/2012	13.98	14.05	13.85	13.91	846534	24505554.000
06/21/2012	13.90	13.90	13.65	13.72	711627	20330546.000
06/25/2012	13.71	13.75	13.26	13.33	841550	23640000.000
06/26/2012	13.25	13.45	13.25	13.38	639653	17808756.000
06/27/2012	13.38	13.76	13.33	13.54	1052552	29745050.000
06/28/2012	13.58	13.63	13.28	13.28	712711	19971994.000
06/29/2012	13.26	13.32	12.83	12.90	2515619	68134624.000
07/02/2012	12.97	13.19	12.95	13.04	1689228	45948548.000
07/03/2012	13.08	13.54	13.01	13.45	1990751	55395632.000
07/04/2012	13.40	13.59	13.18	13.30	1469156	40870728.000
07/05/2012	14.69	14.69	14.66	14.69	11882626	362061120.000
07/06/2012	14.69	15.14	14.58	14.91	14822240	455798688.000
07/09/2012	14.70	15.04	14.58	14.67	7991880	245016384.000
07/10/2012	14.50	14.54	13.63	13.66	6448359	187257536.000
07/11/2012	13.46	13.84	13.33	13.59	3785281	106721120.000
07/12/2012	13.59	13.59	13.23	13.47	5824054	162588160.000
07/13/2012	12.45	12.45	12.07	12.07	6537114	165779872.000
07/16/2012	11.46	11.63	10.83	10.85	5500553	128956096.000
07/17/2012	10.83	11.11	10.66	10.99	2349925	54131076.000
07/18/2012	10.95	10.98	10.71	10.95	2131028	48539128.000
07/19/2012	11.08	11.55	11.01	11.24	3907796	92642008.000
07/20/2012	11.33	11.50	11.13	11.15	2543982	60259032.000
07/23/2012	11.02	11.05	10.70	10.90	1632555	37344216.000
07/24/2012	10.81	11.10	10.78	11.00	1338523	30825756.000
07/25/2012	10.90	11.34	10.80	11.06	2211851	51681348.000
07/26/2012	11.01	11.09	10.83	10.86	1709605	39335684.000
07/27/2012	10.92	11.05	10.89	10.94	1313728	30214046.000
07/30/2012	11.00	11.22	10.95	11.03	2034731	47358224.000
07/31/2012	11.04	11.05	10.05	10.25	2357421	51884920.000
08/01/2012	10.28	10.60	10.21	10.43	1285510	28251460.000
08/02/2012	10.39	10.48	10.26	10.30	959895	20914354.000
08/03/2012	10.31	10.80	10.31	10.72	2056380	45982660.000
08/06/2012	10.65	10.97	10.55	10.92	2004436	45427536.000
08/07/2012	10.95	11.04	10.85	10.97	1776713	40826140.000
08/08/2012	10.96	11.34	10.88	11.19	2825580	66233972.000
08/09/2012	11.16	11.44	11.05	11.44	3064659	72276192.000
08/10/2012	11.44	11.60	11.30	11.56	2911145	70034176.000
08/14/2012	11.69	12.45	11.49	11.89	7504268	188201680.000
08/15/2012	11.64	11.66	11.08	11.11	4431924	104986200.000
08/16/2012	11.09	11.35	10.98	10.98	1653884	38630504.000
08/17/2012	10.97	11.09	10.88	10.97	1103923	25431214.000
08/20/2012	10.95	10.99	10.76	10.94	1107735	25258072.000
08/21/2012	10.88	11.18	10.87	11.12	1725469	40178628.000
