300314 戴维医疗 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
05/08/2012	7.50	8.05	7.50	8.03	10704452	311365824.000
05/09/2012	7.68	7.83	7.45	7.65	8328973	238347248.000
05/10/2012	7.60	7.83	7.50	7.58	6507303	186219264.000
05/11/2012	7.22	7.28	6.95	6.97	6038401	160083488.000
05/14/2012	6.89	7.18	6.85	6.98	3765370	99057712.000
05/15/2012	6.89	7.12	6.89	7.05	2544301	66811336.000
05/16/2012	7.05	7.20	7.01	7.06	2737486	72705680.000
05/17/2012	7.07	7.16	6.92	7.08	2404057	63412084.000
05/18/2012	7.05	7.08	6.93	6.97	2180427	57165656.000
05/21/2012	6.99	7.00	6.55	6.64	2715740	68427456.000
05/22/2012	6.71	6.89	6.65	6.83	2666057	67747680.000
05/23/2012	6.78	6.82	6.54	6.65	2301347	57642736.000
05/24/2012	6.57	6.89	6.57	6.75	2076674	52489664.000
05/25/2012	6.77	6.77	6.49	6.55	1530850	37948068.000
05/28/2012	6.50	6.54	6.31	6.53	1182688	28567940.000
05/29/2012	6.54	6.71	6.49	6.62	1182616	29475316.000
05/30/2012	6.58	6.76	6.58	6.62	1101647	27576266.000
05/31/2012	6.57	6.80	6.50	6.73	1466017	36608408.000
06/01/2012	6.73	6.87	6.70	6.83	1453181	36947460.000
06/04/2012	6.70	6.84	6.64	6.69	1665187	42041760.000
06/05/2012	6.72	6.80	6.64	6.77	1516429	38348700.000
06/06/2012	6.75	6.87	6.70	6.79	1347767	34276996.000
06/07/2012	6.85	6.94	6.73	6.73	1276940	32648902.000
06/08/2012	6.75	6.78	6.45	6.47	1698886	41954896.000
06/11/2012	6.41	6.61	6.40	6.56	1107497	27082350.000
06/12/2012	6.52	7.25	6.47	7.04	5859440	155073072.000
06/13/2012	7.01	7.49	6.99	7.49	5927359	161727104.000
06/14/2012	7.74	8.25	7.64	7.93	5345057	157543168.000
06/15/2012	7.84	8.10	7.80	8.05	3783784	112373664.000
06/18/2012	8.05	8.58	7.84	8.19	4853504	146114000.000
06/19/2012	8.08	8.28	7.96	8.03	3029213	90980224.000
06/20/2012	8.08	8.53	7.88	8.38	4697309	142145184.000
06/21/2012	8.24	8.28	8.00	8.10	2585239	78366096.000
06/25/2012	8.08	8.75	8.00	8.25	4200942	130728560.000
06/26/2012	8.09	8.33	7.79	8.33	2954683	88794096.000
06/27/2012	8.33	9.19	8.28	8.94	6824120	225482688.000
06/28/2012	8.88	9.00	8.65	8.66	3153622	103051944.000
06/29/2012	8.74	8.93	8.58	8.75	2785589	90548600.000
07/02/2012	8.83	9.16	8.57	9.00	3036397	99816712.000
07/03/2012	8.90	9.08	8.65	8.71	2881807	94612592.000
07/04/2012	8.81	9.25	8.34	8.50	3708107	121321696.000
07/05/2012	8.53	8.73	8.34	8.64	2322970	73990848.000
07/06/2012	8.69	8.97	8.25	8.85	2788711	88951672.000
07/09/2012	8.82	8.97	8.67	8.71	1912898	62708040.000
07/10/2012	8.65	8.65	7.81	8.00	3496138	105529272.000
07/11/2012	7.97	8.12	7.83	8.07	1344908	40088264.000
07/12/2012	8.11	8.47	7.97	8.47	2185296	67197352.000
07/13/2012	8.69	8.89	8.09	8.11	3470772	109590272.000
07/16/2012	7.80	7.83	7.31	7.36	3399280	95912936.000
07/17/2012	7.44	7.68	7.39	7.54	1683422	47357744.000
07/18/2012	7.50	7.64	7.30	7.62	1777608	49719616.000
07/19/2012	7.55	7.99	7.47	7.79	2197137	63778836.000
07/20/2012	7.72	7.88	7.65	7.74	1251035	36304772.000
07/23/2012	7.72	7.93	7.43	7.83	1394845	40101632.000
07/24/2012	7.76	7.89	7.64	7.79	1131476	32855646.000
07/25/2012	7.79	8.10	7.74	7.81	2104134	62259184.000
07/26/2012	7.79	8.01	7.66	7.82	2062204	60431192.000
07/27/2012	7.92	8.10	7.67	8.03	2276576	67225064.000
07/30/2012	7.84	8.03	7.68	7.70	1533177	44833472.000
07/31/2012	7.69	7.75	7.42	7.62	1368459	38726836.000
08/01/2012	7.62	8.41	7.55	7.96	1895647	55716332.000
08/02/2012	7.94	8.16	7.86	8.12	1997122	59715476.000
08/03/2012	8.13	8.41	8.07	8.38	2209348	67721480.000
08/06/2012	8.39	8.54	8.21	8.40	2104305	65411712.000
08/07/2012	8.30	8.47	8.23	8.45	2102648	65131308.000
08/08/2012	8.46	8.49	8.10	8.27	3042212	93339120.000
08/09/2012	8.32	8.74	8.23	8.58	3177479	101090712.000
08/10/2012	8.51	8.66	8.36	8.46	2513002	79435808.000
08/13/2012	8.47	8.55	8.28	8.35	1533506	47919804.000
08/14/2012	8.35	8.44	8.03	8.40	2363998	72674496.000
08/15/2012	8.40	8.42	8.22	8.25	1213344	37409740.000
08/16/2012	8.28	8.39	8.08	8.18	1727766	53087300.000
08/17/2012	8.10	8.17	7.83	7.94	1853061	54841880.000
08/20/2012	7.99	8.09	7.80	8.04	1096814	32725336.000
08/21/2012	7.97	8.42	7.97	8.30	2596147	79818296.000
08/22/2012	8.29	8.66	8.25	8.47	2875138	90422192.000
08/23/2012	8.44	8.50	8.25	8.47	2025835	63169468.000
08/24/2012	8.44	8.44	8.08	8.27	2164129	66098808.000
08/27/2012	8.22	8.35	8.10	8.25	1439603	44037084.000
08/28/2012	8.25	8.83	8.17	8.75	4442259	141576048.000
08/29/2012	8.88	9.15	8.75	8.89	4789859	158857408.000
08/30/2012	8.84	8.98	8.20	8.55	3617513	115558344.000
08/31/2012	8.53	8.97	8.34	8.93	2982081	96591184.000
09/03/2012	8.89	9.24	8.84	9.06	3032502	101707032.000
09/04/2012	9.10	9.14	8.75	8.88	2557765	85057264.000
09/05/2012	8.85	9.05	8.74	8.90	1748279	57490008.000
09/06/2012	8.87	9.30	8.81	9.17	2715913	91054448.000
09/07/2012	9.20	9.30	9.07	9.17	3329069	113239056.000
09/10/2012	9.14	9.22	8.99	9.17	1664982	56177240.000
09/11/2012	9.09	9.19	8.75	8.78	2691189	88740144.000
09/12/2012	8.80	8.87	8.67	8.85	1480488	48253912.000
09/13/2012	8.83	8.84	8.54	8.54	1698027	54715724.000
09/14/2012	8.55	8.68	8.47	8.55	1284612	40974452.000
09/17/2012	8.56	8.59	8.28	8.32	1439664	44978348.000
09/18/2012	8.30	8.46	8.06	8.20	1227370	37829004.000
09/19/2012	8.20	8.30	8.14	8.26	997525	30613888.000
09/20/2012	8.24	8.26	7.87	7.94	1140318	34219928.000
09/21/2012	7.94	7.99	7.50	7.50	1047146	30119432.000
09/24/2012	7.40	7.63	7.35	7.54	738211	20771378.000
09/25/2012	7.54	7.62	7.22	7.25	1105606	30409402.000
09/26/2012	7.27	7.29	7.00	7.12	1174674	31211722.000
09/27/2012	7.07	7.44	7.07	7.36	1025834	27904152.000
09/28/2012	7.28	8.11	7.22	7.54	1087402	30632958.000
10/08/2012	7.50	7.61	7.44	7.53	641886	18040630.000
10/09/2012	7.52	7.93	7.52	7.84	1242012	36051644.000
10/10/2012	7.91	8.07	7.89	7.91	1710370	50755796.000
10/11/2012	7.80	7.89	7.72	7.73	989022	28736074.000
10/12/2012	7.74	7.83	7.64	7.75	1060174	30603246.000
10/15/2012	7.76	7.82	7.60	7.73	742546	21408528.000
10/16/2012	7.75	7.87	7.70	7.72	1501014	43572824.000
10/17/2012	7.79	8.00	7.74	7.84	1488071	43634180.000
10/18/2012	7.85	8.05	7.85	8.00	1694415	50449764.000
10/19/2012	8.03	8.08	7.92	7.92	902845	26690300.000
10/22/2012	7.92	8.01	7.86	8.01	708626	20926174.000
10/23/2012	8.01	8.03	7.67	7.68	1152052	33444960.000
10/24/2012	7.59	7.68	7.52	7.65	686558	19379158.000
10/25/2012	7.65	7.76	7.33	7.34	1169558	32615028.000
10/26/2012	7.34	7.45	7.22	7.29	694486	18904400.000
10/29/2012	7.24	7.56	7.24	7.47	722182	19971358.000
10/30/2012	7.48	7.61	7.40	7.56	850909	23838004.000
10/31/2012	7.56	7.74	7.45	7.60	981759	27643052.000
11/01/2012	7.65	7.78	7.58	7.74	997326	28430930.000
11/02/2012	7.75	8.45	7.73	7.89	1177067	34605312.000
11/05/2012	7.90	7.96	7.85	7.90	803510	23533986.000
11/06/2012	7.88	7.90	7.59	7.76	1045730	29852582.000
11/07/2012	7.74	7.92	7.68	7.82	1091019	31671270.000
11/08/2012	7.73	7.76	7.47	7.47	619275	17581592.000
11/09/2012	7.46	7.54	7.37	7.40	708655	19581898.000
11/12/2012	7.39	7.51	7.30	7.42	836116	23061874.000
11/13/2012	7.43	7.43	7.25	7.25	671729	18341242.000
11/14/2012	7.26	7.38	7.23	7.34	688070	18673098.000
11/15/2012	7.26	7.31	7.13	7.15	704887	18946826.000
11/16/2012	7.12	7.24	7.00	7.11	503056	13349314.000
11/19/2012	7.13	7.23	7.06	7.21	377810	10028466.000
11/20/2012	7.26	7.28	7.05	7.06	590540	15696072.000
11/21/2012	7.10	7.14	6.84	7.02	1076425	27926672.000
11/22/2012	6.98	6.98	6.86	6.89	366770	9430230.000
11/23/2012	6.87	6.99	6.87	6.90	345257	8918869.000
11/26/2012	6.93	6.94	6.75	6.76	376035	9596765.000
11/27/2012	6.71	6.75	6.40	6.40	792894	19328876.000
11/28/2012	6.40	6.51	6.35	6.43	450698	10827243.000
11/29/2012	6.46	6.49	6.21	6.26	463774	11045435.000
11/30/2012	6.26	6.42	6.24	6.31	374383	8847611.000
12/03/2012	6.32	6.37	5.99	6.02	605908	14005734.000
12/04/2012	5.98	6.14	5.89	6.12	575763	12897036.000
12/05/2012	6.06	6.47	6.06	6.39	1015269	24121832.000
12/06/2012	6.36	6.45	6.30	6.35	452171	10756594.000
12/07/2012	6.36	6.62	6.35	6.55	751297	18182796.000
12/10/2012	6.60	6.65	6.47	6.63	930196	22820638.000
12/11/2012	6.63	6.63	6.43	6.46	1086550	26439808.000
12/12/2012	6.44	6.60	6.40	6.59	1072565	26024448.000
12/13/2012	6.55	6.59	6.46	6.49	763929	18574560.000
12/14/2012	6.49	6.81	6.46	6.77	1115901	27937894.000
12/17/2012	6.78	6.84	6.65	6.77	958415	24050914.000
12/18/2012	6.76	6.92	6.72	6.77	940568	23929058.000
12/19/2012	6.74	6.91	6.74	6.85	664365	16961766.000
12/20/2012	6.82	7.34	6.77	7.20	2531145	67274144.000
12/21/2012	7.25	7.61	7.14	7.55	2759811	75938512.000
12/24/2012	7.49	7.68	7.45	7.55	1892336	53207660.000
12/25/2012	7.54	7.94	7.50	7.90	2608180	75101488.000
12/26/2012	7.87	8.35	7.80	8.33	2938673	88002872.000
12/27/2012	8.32	8.36	7.78	7.78	3283193	97680264.000
12/28/2012	7.74	8.04	7.74	7.89	1994885	58400088.000
12/31/2012	7.96	7.99	7.77	7.90	1121368	32740396.000
01/04/2013	7.90	8.19	7.76	8.08	2384056	70849368.000
01/07/2013	8.08	8.20	7.99	8.12	2081739	62433660.000
01/08/2013	8.09	8.42	7.99	8.21	2056977	62546744.000
01/09/2013	8.04	8.16	7.74	7.86	2285029	67383160.000
01/10/2013	7.86	8.04	7.79	7.92	1326204	38905980.000
01/11/2013	7.99	8.51	7.99	8.47	3967998	122488552.000
01/14/2013	8.47	8.85	8.32	8.72	2596336	82681096.000
01/15/2013	9.21	9.27	8.76	8.85	5701266	189618176.000
01/16/2013	8.78	8.78	8.46	8.67	2616545	83409712.000
01/17/2013	8.58	8.69	8.44	8.50	1393537	44063304.000
01/18/2013	8.49	8.62	8.43	8.60	1237210	39168524.000
01/21/2013	8.65	8.98	8.65	8.92	2272027	74454552.000
01/22/2013	8.87	8.92	8.44	8.58	1791883	57393172.000
01/23/2013	8.39	9.46	8.38	9.46	6013277	206071312.000
01/24/2013	9.78	9.90	9.31	9.82	4826277	171844000.000
01/25/2013	9.73	9.95	9.64	9.90	2497168	90424872.000
01/28/2013	9.85	10.10	9.73	10.04	2071854	75754088.000
01/29/2013	9.94	10.25	9.84	10.02	2419292	90002472.000
01/30/2013	9.90	9.98	9.52	9.79	2269174	81494688.000
01/31/2013	9.74	9.85	9.55	9.76	983064	35068584.000
02/01/2013	9.65	9.85	9.54	9.61	1309367	46690564.000
02/04/2013	9.61	9.69	9.24	9.40	1707893	59155924.000
02/05/2013	9.40	9.65	9.32	9.50	963620	33819896.000
02/06/2013	9.41	9.73	9.37	9.57	1148857	40523560.000
02/07/2013	9.59	9.67	9.48	9.61	811679	28677774.000
02/08/2013	9.62	10.10	9.57	9.90	1523322	55511124.000
02/18/2013	9.95	9.98	9.65	9.72	1014647	36561360.000
02/19/2013	9.72	9.78	9.15	9.22	1168822	40724736.000
02/20/2013	9.19	10.16	9.19	10.16	3220836	116735080.000
02/21/2013	10.26	10.32	9.74	9.86	2571110	94508696.000
02/22/2013	9.79	9.86	9.68	9.70	1049863	37760504.000
02/25/2013	9.72	10.04	9.72	10.01	1472037	53954892.000
02/26/2013	9.97	10.17	9.83	10.07	1413119	52206748.000
02/27/2013	10.04	10.09	9.37	9.74	1634739	58321920.000
02/28/2013	9.62	9.78	9.48	9.77	966747	34440524.000
03/01/2013	9.72	9.98	9.68	9.96	1129030	41060432.000
03/04/2013	9.82	10.30	9.76	9.87	2176223	80718104.000
03/05/2013	9.81	10.68	9.71	10.60	2563880	96231160.000
03/06/2013	10.54	10.69	10.46	10.55	1510098	58663836.000
03/07/2013	10.55	10.90	9.90	10.05	2354037	89962920.000
03/08/2013	10.09	10.20	9.71	9.81	1384393	50487032.000
03/11/2013	9.89	9.96	9.75	9.86	585479	21257944.000
03/12/2013	9.82	9.90	8.85	9.00	2786084	94626576.000
03/13/2013	8.96	9.08	8.82	8.99	933896	31010814.000
03/14/2013	8.90	9.04	8.71	8.75	1194876	39163880.000
03/15/2013	8.73	9.06	8.43	8.71	1726307	55935992.000
03/18/2013	8.65	8.87	8.60	8.68	1050740	33920472.000
03/19/2013	8.68	8.86	8.57	8.69	1113324	35864468.000
03/20/2013	8.70	9.02	8.70	8.99	1641431	53986024.000
03/21/2013	8.97	9.34	8.96	9.14	1714782	57979572.000
03/22/2013	9.15	9.35	9.12	9.29	1118889	38211916.000
03/25/2013	9.37	9.37	9.09	9.10	901072	30473480.000
03/26/2013	9.00	9.08	8.80	8.95	988473	32544810.000
03/27/2013	8.97	9.10	8.82	8.92	748183	24842064.000
03/28/2013	8.87	8.87	8.59	8.60	993966	31883926.000
03/29/2013	8.57	8.70	8.53	8.56	623347	19825384.000
04/01/2013	8.56	8.82	8.52	8.75	769936	24884728.000
04/02/2013	8.82	8.85	8.29	8.32	1356319	42895204.000
04/03/2013	8.29	8.35	8.16	8.34	603858	18497740.000
04/08/2013	8.24	8.65	8.16	8.57	775058	24366274.000
04/09/2013	8.58	8.64	8.50	8.62	495029	15721965.000
04/10/2013	8.62	8.64	8.34	8.43	705901	22180168.000
04/11/2013	8.48	8.56	8.39	8.42	383981	12048983.000
04/12/2013	8.46	8.47	8.21	8.35	320669	9910575.000
04/15/2013	8.26	8.41	8.24	8.33	397191	12252656.000
04/16/2013	8.26	8.59	8.24	8.52	561549	17563490.000
04/17/2013	8.58	8.76	8.49	8.74	769233	24491592.000
04/18/2013	8.65	8.79	8.65	8.74	667250	21491100.000
04/19/2013	8.73	9.12	8.72	9.04	1268551	42106384.000
04/22/2013	9.01	9.21	8.97	9.13	1139482	38354260.000
04/23/2013	9.18	9.18	8.65	8.74	1332195	43965248.000
04/24/2013	8.70	9.39	8.67	9.39	2276985	76743888.000
04/25/2013	9.35	9.85	9.23	9.33	3039075	106565808.000
04/26/2013	9.29	9.34	8.95	9.01	1452826	48884788.000
05/02/2013	8.93	9.27	8.88	9.20	721716	24288186.000
05/03/2013	9.21	9.61	9.21	9.59	1463689	51127868.000
05/06/2013	9.60	9.85	9.52	9.55	1896524	67899376.000
05/07/2013	9.49	9.54	9.32	9.50	1422853	49549600.000
05/08/2013	9.53	9.75	9.51	9.74	1757672	62616536.000
05/09/2013	9.76	9.76	9.40	9.51	1749309	61770608.000
05/10/2013	9.49	9.60	9.22	9.43	1444933	50189580.000
05/13/2013	9.44	9.86	9.44	9.86	1806122	64533104.000
05/14/2013	9.93	9.93	9.45	9.53	1447283	51416608.000
05/15/2013	9.62	9.80	9.53	9.74	1573980	56213464.000
05/16/2013	9.77	9.99	9.35	9.40	3578535	128256976.000
05/17/2013	9.29	9.54	9.10	9.43	1848526	63571916.000
05/20/2013	9.46	9.79	9.46	9.76	2229838	79268264.000
05/21/2013	9.89	10.00	9.60	9.90	3044533	110281808.000
05/22/2013	9.86	9.97	9.48	9.49	4700827	83540888.000
05/23/2013	9.39	9.89	9.28	9.62	4577488	80141856.000
05/24/2013	9.69	10.22	9.69	10.17	7416692	135967680.000
05/27/2013	10.19	10.73	9.97	10.64	8636926	163304448.000
05/28/2013	10.58	10.58	10.03	10.10	6699085	125287072.000
05/29/2013	9.89	10.21	9.89	10.00	3530355	64490044.000
05/30/2013	9.94	11.02	9.92	11.02	6738011	130967368.000
05/31/2013	11.25	11.71	11.02	11.19	14688924	304456512.000
06/03/2013	10.95	11.20	10.79	10.88	5873765	117332792.000
06/04/2013	10.72	10.81	9.78	9.86	7352698	135936544.000
06/05/2013	9.83	10.02	9.52	9.80	4483353	79913992.000
06/06/2013	9.69	9.73	9.44	9.55	2433396	42568132.000
06/07/2013	9.55	9.75	9.50	9.64	2876182	50639196.000
06/13/2013	9.50	9.50	8.75	9.30	2741980	45864336.000
06/14/2013	9.30	9.68	9.25	9.67	3951451	68960712.000
06/17/2013	9.68	9.89	9.40	9.58	3653256	64544604.000
06/18/2013	9.48	9.59	9.13	9.27	3092263	52530348.000
06/19/2013	9.14	9.14	8.82	9.06	2270251	37275036.000
06/20/2013	8.97	9.29	8.77	8.79	2613755	43274960.000
06/21/2013	8.53	8.71	8.19	8.57	2269581	35218008.000
06/24/2013	8.50	8.72	7.92	7.95	2718996	41218024.000
06/25/2013	7.80	8.13	7.25	8.04	2927383	41794148.000
06/26/2013	8.05	8.69	7.97	8.60	4191935	64449020.000
06/27/2013	8.59	8.75	8.12	8.35	4050296	63042640.000
06/28/2013	8.24	8.49	8.06	8.14	2052350	30977022.000
07/01/2013	8.13	8.53	8.10	8.49	1985428	30413678.000
07/02/2013	8.61	8.74	8.44	8.73	3289656	52090708.000
07/03/2013	8.72	8.78	8.30	8.58	3053074	47899868.000
07/04/2013	8.48	8.80	8.39	8.59	3365551	53294924.000
07/05/2013	8.53	8.67	8.20	8.20	3353308	51763884.000
07/08/2013	8.02	8.02	7.64	7.73	2577869	36849236.000
07/09/2013	7.72	7.87	7.65	7.85	1333692	19053422.000
07/10/2013	7.85	8.02	7.79	8.00	1977035	28763816.000
07/11/2013	7.98	8.24	7.86	8.19	2874321	42625204.000
07/12/2013	8.19	8.40	8.13	8.19	3238422	49088352.000
07/15/2013	8.24	8.67	8.19	8.64	3976972	61761644.000
07/16/2013	8.64	9.02	8.64	8.90	4430001	71606528.000
07/17/2013	8.93	8.94	8.50	8.63	3555069	56711980.000
07/18/2013	9.24	9.24	8.74	8.85	3823124	62224800.000
07/19/2013	8.77	9.12	8.47	8.47	4308159	69990216.000
07/22/2013	8.36	9.03	8.24	8.99	3597018	57510820.000
07/23/2013	8.96	9.90	8.87	9.78	7788218	133989032.000
07/24/2013	9.74	9.79	9.52	9.73	5247903	92670840.000
07/25/2013	9.69	10.12	9.30	9.41	6102589	108955936.000
07/26/2013	9.26	9.54	8.94	9.36	3637300	61480560.000
07/29/2013	9.24	9.52	8.98	9.09	2929156	49375500.000
07/30/2013	9.08	9.22	8.56	8.98	2710907	44194852.000
07/31/2013	9.03	9.24	8.97	9.00	1696061	28182524.000
08/01/2013	9.02	9.44	8.92	9.44	3318434	56416284.000
08/02/2013	9.80	10.02	9.54	9.72	6386747	113750768.000
08/05/2013	9.78	10.71	9.64	10.71	11402870	215840832.000
08/06/2013	10.97	10.97	10.48	10.67	9332540	182351984.000
08/07/2013	10.67	11.30	10.52	10.68	9661645	192914112.000
08/08/2013	10.48	10.67	10.18	10.59	6073621	115873712.000
08/09/2013	10.53	10.64	10.07	10.27	4582300	86232688.000
08/12/2013	10.27	10.48	9.90	10.14	3767816	69992552.000
08/13/2013	10.22	10.50	10.12	10.45	3633382	68478120.000
08/14/2013	10.50	10.50	10.14	10.17	2937659	55004524.000
08/15/2013	10.05	10.29	10.00	10.08	2649910	48789308.000
08/16/2013	9.93	10.36	9.91	9.92	3916497	72665176.000
08/19/2013	9.80	10.34	9.75	10.30	2561674	47136924.000
08/20/2013	10.50	10.57	10.09	10.14	5164344	97336888.000
08/21/2013	10.30	11.17	10.28	10.95	12625751	249080944.000
08/22/2013	10.71	10.89	10.62	10.74	6967678	136287568.000
08/23/2013	10.69	11.11	10.57	10.89	6841072	135116592.000
08/26/2013	10.96	11.41	10.89	11.27	7349021	149964432.000
08/27/2013	11.19	11.25	10.98	11.09	4570814	92266936.000
08/28/2013	10.96	10.96	10.55	10.60	4609766	90353320.000
08/29/2013	10.69	11.05	10.68	10.90	4317875	85870920.000
08/30/2013	10.76	10.87	10.02	10.11	4582565	87089080.000
09/02/2013	10.08	10.92	9.76	10.87	5071990	96843216.000
09/03/2013	10.78	11.25	10.78	11.03	5495291	111056384.000
09/04/2013	10.92	12.14	10.92	11.75	11535137	245916736.000
09/05/2013	12.08	12.94	11.91	12.94	10844063	248223616.000
09/06/2013	13.42	14.14	13.03	13.14	15220290	370140000.000
09/09/2013	12.68	13.12	12.59	12.92	9232895	215438768.000
09/10/2013	12.87	14.19	12.62	13.89	10962595	264553120.000
09/11/2013	13.64	13.64	12.64	12.73	7539533	179515584.000
09/12/2013	12.53	13.09	12.44	12.64	4115219	95647200.000
09/13/2013	12.49	13.08	12.15	12.97	4458179	103269344.000
09/16/2013	12.85	13.57	12.75	13.28	5529099	133626648.000
09/17/2013	13.06	13.20	12.64	12.71	3395936	79177592.000
09/18/2013	12.74	13.64	12.49	13.55	5855419	140703728.000
09/23/2013	13.56	14.07	13.23	13.70	5965254	148716352.000
09/24/2013	13.68	14.61	13.38	14.56	7727418	197334208.000
09/25/2013	14.31	14.67	14.03	14.14	5411919	140882944.000
09/26/2013	14.03	14.64	13.87	13.90	4325316	111524624.000
09/27/2013	13.93	15.13	13.90	14.92	6582242	174875248.000
09/30/2013	14.86	16.04	14.63	15.94	6223151	175710816.000
10/08/2013	15.96	16.42	15.25	16.17	5333173	154797024.000
10/09/2013	16.01	17.21	15.75	16.26	4978112	149995968.000
10/10/2013	15.75	16.24	15.19	15.29	6483305	183973664.000
10/11/2013	15.36	15.75	15.13	15.40	4119738	115400728.000
10/14/2013	15.40	15.67	15.04	15.58	3352350	93679352.000
10/15/2013	15.85	16.29	15.04	15.11	6136735	174559072.000
10/16/2013	14.86	14.86	13.59	13.59	5728440	145172752.000
10/17/2013	13.44	13.99	12.98	13.58	4411559	108572440.000
10/18/2013	13.64	13.99	13.56	13.86	2609256	65308836.000
10/21/2013	14.06	14.35	13.57	14.21	3393165	87204528.000
10/22/2013	14.25	14.30	12.89	12.94	5810467	142009408.000
10/23/2013	12.97	13.13	12.30	12.56	2918087	66608616.000
10/24/2013	12.40	12.89	12.36	12.60	2662872	61462516.000
10/25/2013	12.39	12.63	11.41	11.90	4471408	96964544.000
10/28/2013	11.89	12.12	11.71	11.98	2050456	44651000.000
10/29/2013	12.47	12.97	11.80	12.72	7154595	161997328.000
10/30/2013	12.26	13.07	12.26	12.97	6111075	141646816.000
10/31/2013	12.75	12.86	12.18	12.24	3385201	76770424.000
11/01/2013	12.18	12.23	11.42	11.78	2882020	61545356.000
11/04/2013	11.75	12.01	11.53	11.68	2283303	48978844.000
11/05/2013	11.75	12.39	11.59	12.39	3685914	80728672.000
11/06/2013	12.28	12.57	12.19	12.20	3214679	72165280.000
11/07/2013	11.89	12.05	11.43	11.77	2820318	60283020.000
11/08/2013	11.75	11.75	11.08	11.47	2675784	55522700.000
11/11/2013	11.39	11.89	11.20	11.82	2008356	42458508.000
11/12/2013	12.08	13.02	11.90	13.02	6154926	139646608.000
