300328 宜安科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
06/19/2012	3.79	3.94	3.73	3.82	17854499	256268624.000
06/20/2012	3.87	4.22	3.79	4.22	14827528	220396592.000
06/21/2012	4.30	4.55	4.26	4.49	16825156	276292928.000
06/25/2012	4.42	4.47	4.10	4.24	11870305	190193488.000
06/26/2012	4.18	4.22	3.92	4.07	8367951	126885104.000
06/27/2012	4.03	4.48	4.03	4.28	11150220	177049408.000
06/28/2012	4.19	4.23	3.83	3.86	8856037	134039200.000
06/29/2012	3.79	3.99	3.76	3.96	6230692	91025880.000
07/02/2012	3.99	4.11	3.89	4.05	6579148	98789088.000
07/03/2012	4.11	4.43	4.11	4.19	9041782	143773824.000
07/04/2012	4.14	4.35	4.04	4.08	6604214	103325984.000
07/05/2012	4.05	4.46	3.92	4.32	8650624	135505152.000
07/06/2012	4.26	4.32	4.09	4.25	7038164	110837216.000
07/09/2012	4.15	4.44	4.15	4.19	7946074	127596168.000
07/10/2012	4.15	4.22	3.87	3.92	6129184	92731736.000
07/11/2012	3.86	3.94	3.63	3.73	4878608	69140672.000
07/12/2012	3.68	3.89	3.68	3.85	4262995	60741372.000
07/13/2012	3.78	3.82	3.52	3.56	5228998	72058840.000
07/16/2012	3.54	3.56	3.33	3.37	4308556	55271112.000
07/17/2012	3.33	3.43	3.30	3.38	2844475	36158684.000
07/18/2012	3.35	3.39	3.17	3.33	3932034	48499112.000
07/19/2012	3.29	3.43	3.26	3.35	3785714	48075404.000
07/20/2012	3.32	3.41	3.30	3.35	2201124	27855156.000
07/23/2012	3.30	3.30	3.18	3.22	2476182	30252820.000
07/24/2012	3.17	3.30	3.12	3.29	1891650	23268754.000
07/25/2012	3.24	3.45	3.23	3.34	4086354	52026372.000
07/26/2012	3.31	3.43	3.25	3.31	2773503	35081924.000
07/27/2012	3.34	3.43	3.28	3.38	3132378	39730880.000
07/30/2012	3.35	3.40	3.23	3.25	2449389	30533946.000
07/31/2012	3.23	3.26	2.99	2.99	2924064	34263428.000
08/01/2012	2.97	3.10	2.97	3.08	2132053	24680432.000
08/02/2012	3.03	3.11	2.99	3.02	1440723	16579868.000
08/03/2012	3.03	3.14	2.99	3.13	1903500	22323018.000
08/06/2012	3.08	3.29	3.07	3.26	2817493	34030200.000
08/07/2012	3.22	3.28	3.20	3.24	1978802	24225062.000
08/08/2012	3.24	3.38	3.17	3.32	3214291	39833820.000
08/09/2012	3.30	3.38	3.25	3.33	2739763	34274916.000
08/10/2012	3.32	3.34	3.26	3.28	1760542	21945454.000
08/13/2012	3.23	3.32	3.22	3.23	1572621	19484360.000
08/14/2012	3.20	3.34	3.19	3.34	1890214	23312348.000
08/15/2012	3.34	3.34	3.25	3.26	1273568	15832043.000
08/16/2012	3.28	3.32	3.21	3.24	1197138	14830834.000
08/17/2012	3.28	3.28	3.13	3.18	1357658	16411958.000
08/20/2012	3.12	3.18	3.09	3.16	1002410	11892775.000
08/21/2012	3.14	3.28	3.14	3.27	1391594	17033872.000
08/22/2012	3.27	3.33	3.25	3.30	1619115	20137434.000
08/23/2012	3.30	3.46	3.29	3.43	3041842	38720028.000
08/24/2012	3.41	3.41	3.30	3.31	2023218	25502278.000
08/27/2012	3.28	3.28	3.16	3.17	1202593	14548320.000
08/28/2012	3.17	3.26	3.15	3.21	917488	11141336.000
08/29/2012	3.20	3.49	3.19	3.37	4207203	53790040.000
08/30/2012	3.33	3.66	3.32	3.55	6855592	90691304.000
08/31/2012	3.49	3.60	3.46	3.59	3478350	46390604.000
09/03/2012	3.58	3.65	3.52	3.59	3498208	47324448.000
09/04/2012	3.56	3.88	3.55	3.72	5342444	74903896.000
09/05/2012	3.66	3.99	3.63	3.93	5198834	75424984.000
09/06/2012	3.94	3.99	3.81	3.92	3951607	57879168.000
09/07/2012	3.94	4.03	3.88	3.94	4307242	64031216.000
09/10/2012	3.93	4.24	3.88	4.23	4129670	63093420.000
09/11/2012	4.17	4.27	4.11	4.24	2199550	34477344.000
09/12/2012	4.26	4.27	4.10	4.14	2742435	42799420.000
09/13/2012	4.20	4.20	3.98	4.03	3398432	51509228.000
09/14/2012	4.02	4.04	3.90	3.94	3566009	53126036.000
09/17/2012	3.91	4.01	3.81	3.85	1401264	20656030.000
09/18/2012	3.86	4.01	3.85	3.93	1652142	24507016.000
09/19/2012	3.93	4.29	3.93	4.16	3500597	54279720.000
09/20/2012	4.14	4.22	4.07	4.18	3249911	50447524.000
09/21/2012	4.11	4.34	3.93	4.12	2730032	42476388.000
09/24/2012	4.00	4.22	3.86	4.22	1407190	21367864.000
09/25/2012	4.13	4.36	4.09	4.21	1954602	31003586.000
09/26/2012	4.13	4.33	4.00	4.14	1729894	27123924.000
09/27/2012	4.14	4.53	4.06	4.36	2441443	39227944.000
09/28/2012	4.33	4.63	4.24	4.55	2935922	49268076.000
10/08/2012	4.56	4.57	4.37	4.56	1704048	28506078.000
10/09/2012	4.50	4.66	4.46	4.52	2415792	40797964.000
10/10/2012	4.50	4.50	4.32	4.36	2309750	37808100.000
10/11/2012	4.33	4.33	4.11	4.11	2580526	40904000.000
10/12/2012	4.06	4.16	3.96	4.08	1892973	28773764.000
10/15/2012	3.97	3.98	3.68	3.82	2787131	39819352.000
10/16/2012	3.78	3.85	3.72	3.79	1225799	17482268.000
10/17/2012	3.79	3.93	3.78	3.85	1098044	15858903.000
10/18/2012	3.84	3.89	3.81	3.88	1015175	14708854.000
10/19/2012	3.86	3.89	3.76	3.79	1177659	16865712.000
10/22/2012	3.75	3.89	3.69	3.88	838007	12106865.000
10/23/2012	3.89	3.91	3.83	3.84	676199	9828114.000
10/24/2012	3.83	3.84	3.69	3.71	954199	13452371.000
10/25/2012	3.69	3.79	3.62	3.72	1037371	14458327.000
10/26/2012	3.76	3.90	3.74	3.86	1857594	26728522.000
10/29/2012	3.85	3.93	3.79	3.91	1231038	17821086.000
10/30/2012	3.90	3.92	3.83	3.84	763124	11089603.000
10/31/2012	3.86	3.86	3.69	3.77	818437	11505316.000
11/01/2012	3.79	4.01	3.75	4.01	1779393	26077868.000
11/02/2012	4.04	4.19	4.00	4.05	2664481	40842860.000
11/05/2012	4.01	4.18	3.95	4.11	1509710	23033818.000
11/06/2012	4.11	4.12	3.97	4.11	728878	11021020.000
11/07/2012	4.11	4.18	4.00	4.03	686969	10499578.000
11/08/2012	3.98	4.03	3.81	3.83	806946	11891059.000
11/09/2012	3.86	3.86	3.73	3.79	861407	12255469.000
11/12/2012	3.79	3.84	3.77	3.83	550376	7848911.000
11/13/2012	3.88	3.88	3.47	3.65	1361311	18660284.000
11/14/2012	3.58	3.65	3.55	3.64	351325	4781622.500
11/15/2012	3.54	3.78	3.54	3.71	888324	12402309.000
11/16/2012	3.70	3.74	3.57	3.61	291918	3997297.750
11/19/2012	3.54	3.69	3.54	3.69	411181	5593752.500
11/20/2012	3.70	3.71	3.64	3.64	208231	2886377.250
11/21/2012	3.64	3.72	3.56	3.71	217633	2983494.500
11/22/2012	3.71	3.71	3.56	3.59	343046	4654346.000
11/23/2012	3.69	3.69	3.59	3.60	205556	2805511.250
11/26/2012	3.64	3.75	3.61	3.66	572743	7930663.000
11/27/2012	3.59	3.60	3.36	3.49	477583	6285320.000
11/28/2012	3.45	3.45	3.32	3.34	287850	3681657.000
11/29/2012	3.30	3.40	3.19	3.25	332293	4160128.500
11/30/2012	3.25	3.33	3.24	3.33	261689	3244264.000
12/03/2012	3.31	3.35	3.25	3.33	210701	2632611.000
12/04/2012	3.34	3.43	3.27	3.41	322774	4076027.000
12/05/2012	3.40	3.69	3.33	3.59	816154	10962995.000
12/06/2012	3.56	3.66	3.56	3.62	503101	6840500.000
12/07/2012	3.58	3.74	3.58	3.72	645613	8956816.000
