300348 长亮科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
08/17/2012	5.00	5.10	4.27	4.53	9945681	237766432.000
08/20/2012	4.45	4.45	4.16	4.24	4566533	101086552.000
08/21/2012	4.26	4.45	4.25	4.36	4499303	100783752.000
08/22/2012	4.41	4.71	4.39	4.52	5999853	140519632.000
08/23/2012	4.41	4.49	4.34	4.40	3577907	81638840.000
08/24/2012	4.36	4.55	4.31	4.48	3747404	86556904.000
08/27/2012	4.38	4.45	4.18	4.26	2283545	50452028.000
08/28/2012	4.26	4.48	4.22	4.43	2612628	58995072.000
08/29/2012	4.41	4.64	4.37	4.43	3857949	89961720.000
08/30/2012	4.37	4.81	4.28	4.77	4941303	116051744.000
08/31/2012	4.61	4.87	4.57	4.72	4044957	98565496.000
09/03/2012	4.71	4.95	4.67	4.92	3852642	95991144.000
09/04/2012	4.97	4.97	4.76	4.82	3482061	86987080.000
09/05/2012	4.77	4.84	4.65	4.74	2985068	72984840.000
09/06/2012	4.75	4.89	4.73	4.80	2682807	66455768.000
09/07/2012	4.87	4.91	4.75	4.81	3390553	84395152.000
09/10/2012	4.78	5.07	4.76	5.00	3557893	90524288.000
09/11/2012	4.99	4.99	4.76	4.79	3015009	75517528.000
09/12/2012	4.78	4.94	4.61	4.71	2408093	58721800.000
09/13/2012	4.71	4.74	4.59	4.59	1399385	33673556.000
09/14/2012	4.65	4.68	4.55	4.62	1410832	33661260.000
09/17/2012	4.57	4.62	4.40	4.41	1321914	30759170.000
09/18/2012	4.37	4.50	4.37	4.44	1121062	25766864.000
09/19/2012	4.45	4.50	4.42	4.44	956994	22045496.000
09/20/2012	4.44	4.45	4.25	4.38	1723108	38597648.000
09/21/2012	4.34	4.49	4.31	4.32	1502323	34206680.000
09/24/2012	4.25	4.32	4.18	4.32	1197482	26309016.000
09/25/2012	4.28	4.34	4.17	4.17	1001360	21971078.000
09/26/2012	4.18	4.20	3.92	3.94	1461284	30495316.000
09/27/2012	3.94	4.08	3.93	4.05	979307	20362002.000
09/28/2012	4.01	4.09	3.98	4.08	742395	15584816.000
10/08/2012	4.06	4.10	4.02	4.05	526816	11048246.000
10/09/2012	4.05	4.20	4.05	4.18	1220595	26200072.000
10/10/2012	4.19	4.23	4.15	4.22	917309	19943062.000
10/11/2012	4.21	4.24	4.07	4.07	1066508	22977156.000
10/12/2012	4.08	4.11	3.96	3.99	1000020	20876190.000
10/15/2012	3.97	3.98	3.78	3.83	1110280	22216516.000
10/16/2012	3.92	4.23	3.91	4.09	2253989	47782812.000
10/17/2012	4.01	4.16	3.99	4.08	1419480	29970256.000
10/18/2012	4.08	4.20	4.07	4.17	1107186	23854034.000
10/19/2012	4.18	4.35	4.18	4.27	1692763	37552728.000
10/22/2012	4.26	4.30	4.19	4.28	708360	15590169.000
10/23/2012	4.25	4.27	4.12	4.13	1120158	24183710.000
10/24/2012	4.09	4.17	4.08	4.14	501653	10731083.000
10/25/2012	4.12	4.18	3.99	4.02	522130	11013658.000
10/26/2012	4.01	4.04	3.93	3.98	573332	11845250.000
10/29/2012	3.95	4.17	3.95	4.16	872720	18468706.000
10/30/2012	4.15	4.20	4.11	4.15	426172	9181532.000
10/31/2012	4.15	4.25	4.12	4.25	737277	16102905.000
11/01/2012	4.25	4.28	4.19	4.26	648623	14268231.000
11/02/2012	4.25	4.27	4.17	4.21	652233	14238165.000
11/05/2012	4.19	4.22	4.14	4.15	396635	8573189.000
11/06/2012	4.15	4.29	4.13	4.28	955799	20813520.000
11/07/2012	4.28	4.30	4.21	4.21	693012	15248518.000
11/08/2012	4.17	4.18	3.99	3.99	895697	18797606.000
11/09/2012	3.98	4.05	3.96	4.02	452537	9423397.000
11/12/2012	4.02	4.09	4.01	4.06	285031	5980709.500
11/13/2012	4.04	4.05	3.96	3.99	347383	7203909.000
11/14/2012	4.04	4.08	3.99	4.07	469761	9863616.000
11/15/2012	4.05	4.05	3.84	3.85	1177317	23934330.000
11/16/2012	3.84	3.88	3.80	3.87	423554	8450788.000
11/19/2012	3.86	3.89	3.80	3.88	402231	8018375.000
11/20/2012	3.89	3.99	3.88	3.90	430384	8765367.000
11/21/2012	3.90	4.00	3.84	3.98	526238	10721636.000
11/22/2012	3.94	4.00	3.92	3.96	461430	9489257.000
11/23/2012	3.97	4.04	3.96	3.97	449708	9331137.000
11/26/2012	3.97	3.98	3.87	3.89	304834	6228240.000
11/27/2012	3.86	3.96	3.84	3.85	823912	16659198.000
