300381 溢多利 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/28/2014	16.28	19.63	16.28	19.63	546665	21234098.000
01/29/2014	21.64	21.64	21.10	21.64	6455719	284470848.000
01/30/2014	20.45	20.53	19.66	20.15	3448907	141688928.000
02/07/2014	19.66	20.89	19.66	20.50	2723312	112972536.000
02/10/2014	20.62	22.53	20.57	21.83	4300205	188109136.000
02/11/2014	21.56	23.04	21.00	22.55	3808570	170640672.000
02/12/2014	22.35	24.75	22.16	24.53	3534276	170551136.000
02/13/2014	24.27	24.32	23.19	23.43	2450932	118762328.000
02/14/2014	23.39	25.53	23.33	25.51	2603713	130689248.000
02/17/2014	26.00	28.11	25.66	28.11	3129364	174034432.000
02/18/2014	28.55	28.99	27.25	27.78	3458598	197839168.000
02/19/2014	28.03	28.20	25.50	26.65	2693503	146151104.000
02/20/2014	26.56	28.43	25.63	26.68	2517727	138077152.000
02/21/2014	26.30	27.05	25.98	26.56	1543937	83078656.000
02/24/2014	26.55	27.20	26.31	27.05	1492974	81221600.000
02/25/2014	27.19	28.54	24.30	25.05	2941951	161117056.000
02/26/2014	24.55	24.79	23.24	24.19	1707576	83505576.000
02/27/2014	24.18	24.70	22.55	22.65	1569963	75563024.000
02/28/2014	22.59	24.00	22.25	23.90	1687212	79595944.000
03/03/2014	23.88	25.80	23.88	25.42	1876177	95149560.000
03/04/2014	25.06	26.30	24.19	25.42	2014650	103140424.000
03/05/2014	25.39	25.39	24.35	24.61	1385300	70012272.000
03/06/2014	24.55	26.02	23.81	25.65	2111147	107502248.000
03/07/2014	25.49	25.75	24.21	24.29	1526567	77688136.000
03/10/2014	23.91	24.24	23.33	23.73	887772	43013432.000
03/11/2014	23.70	24.95	23.70	24.67	1165101	57934900.000
03/12/2014	24.45	26.94	23.79	26.69	2917406	151315392.000
03/13/2014	26.07	26.29	25.71	26.21	1498965	79385784.000
03/14/2014	26.03	27.28	25.59	26.61	1898493	102952504.000
03/17/2014	26.49	26.63	26.05	26.55	1217220	65135980.000
03/18/2014	26.54	27.35	26.16	26.80	1738888	94575392.000
03/19/2014	26.70	27.01	25.82	26.73	1310731	70257568.000
03/20/2014	26.55	27.69	26.41	26.60	1756070	96569056.000
03/21/2014	25.95	26.60	25.05	26.20	1392112	73313104.000
03/24/2014	26.00	26.04	23.53	23.53	1684396	84700328.000
03/25/2014	23.13	23.58	22.45	23.28	1224498	57441004.000
03/26/2014	23.07	23.70	22.96	23.25	550978	26208144.000
03/27/2014	23.29	23.50	21.75	22.00	860582	39581216.000
03/28/2014	21.99	23.01	20.87	23.01	1357484	61320724.000
03/31/2014	22.55	23.05	22.12	22.40	617705	28509720.000
04/01/2014	22.35	23.21	22.32	23.21	546462	25605520.000
04/02/2014	23.11	23.70	22.85	23.70	650253	30855280.000
04/03/2014	23.70	23.88	23.38	23.55	505750	24350938.000
04/04/2014	23.51	23.88	23.25	23.87	388274	18745582.000
04/08/2014	23.71	24.28	23.56	23.89	516191	25235886.000
04/09/2014	23.05	23.38	22.73	23.15	1339886	63013760.000
04/10/2014	23.15	23.63	23.06	23.08	991538	47135684.000
04/11/2014	22.61	22.66	21.99	22.24	837730	38173324.000
04/14/2014	22.25	22.43	21.96	22.06	323380	14623120.000
04/15/2014	22.13	22.66	22.06	22.49	516606	23685272.000
04/16/2014	22.38	22.65	22.21	22.43	257267	11758740.000
04/17/2014	22.55	22.92	22.25	22.60	704745	32402668.000
04/18/2014	22.27	22.84	22.19	22.66	503006	23148396.000
04/21/2014	22.50	23.14	22.30	22.90	772436	36067116.000
04/22/2014	22.70	22.88	21.96	22.60	562762	25658052.000
04/23/2014	22.47	22.66	22.23	22.47	332642	15227194.000
04/24/2014	22.55	22.55	21.75	21.91	464279	20905090.000
04/25/2014	20.85	21.75	19.90	20.06	1107221	46745392.000
04/28/2014	20.01	20.01	18.64	18.66	555162	21808622.000
04/29/2014	18.65	18.90	18.30	18.89	689452	26358948.000
04/30/2014	18.87	19.04	18.69	18.85	390240	15058774.000
05/05/2014	18.84	19.19	18.69	19.18	503726	19619340.000
05/06/2014	19.15	19.99	19.05	19.85	733548	29547234.000
05/07/2014	19.67	20.11	19.40	19.75	672862	27194336.000
05/08/2014	19.68	19.68	19.30	19.35	380111	15141362.000
05/09/2014	19.28	19.40	18.70	19.21	369074	14393513.000
05/12/2014	19.33	19.65	19.05	19.60	339622	13477750.000
05/13/2014	19.60	19.95	19.45	19.52	336671	13590289.000
05/14/2014	19.36	19.86	19.36	19.81	310907	12535042.000
05/15/2014	19.71	20.30	19.71	19.80	552155	22554052.000
05/16/2014	19.70	19.83	19.10	19.44	335074	13345746.000
05/19/2014	19.34	19.58	19.15	19.46	211396	8377066.500
05/20/2014	19.90	21.34	19.90	20.25	965037	40586364.000
05/21/2014	19.96	20.94	19.96	20.90	680702	28641384.000
08/18/2014	23.01	23.01	23.01	23.01	33466	1553157.000
08/19/2014	25.33	25.33	24.81	25.33	1713986	87327096.000
08/20/2014	25.75	27.55	24.90	26.44	2426486	127564576.000
08/21/2014	26.30	26.40	25.64	25.90	1060204	55447352.000
08/22/2014	25.78	27.30	25.55	26.90	1341638	71510536.000
08/25/2014	26.80	28.29	26.66	27.44	1334876	74167944.000
08/26/2014	27.30	27.40	25.93	26.20	1190794	63540200.000
08/27/2014	26.00	27.28	25.96	26.45	610629	32765642.000
08/28/2014	26.35	26.64	26.10	26.28	559878	29707324.000
08/29/2014	26.28	27.43	26.11	27.30	815689	44172704.000
09/01/2014	27.21	28.05	27.21	27.66	919581	51513820.000
09/02/2014	27.80	28.25	27.55	28.25	1130354	63364640.000
09/03/2014	29.15	31.09	29.10	30.78	2896601	177151568.000
09/04/2014	30.15	30.30	29.42	29.96	1827308	109877416.000
09/05/2014	29.92	31.99	29.81	31.85	2155384	135241600.000
09/09/2014	32.10	32.10	30.74	31.25	1732968	108629000.000
09/10/2014	30.99	32.60	30.57	32.27	4848619	153435456.000
09/11/2014	31.80	32.78	31.60	31.91	4124266	133381696.000
09/12/2014	32.40	35.10	32.40	34.22	6060819	206468656.000
09/15/2014	34.30	34.30	32.90	34.02	3563261	120476504.000
09/16/2014	33.86	33.89	31.89	31.97	3475847	114576744.000
09/17/2014	31.99	32.29	31.20	31.85	1715374	54793152.000
09/18/2014	31.79	32.50	31.29	32.26	1444274	46535220.000
09/19/2014	32.20	32.20	31.70	31.95	1037559	33289956.000
09/22/2014	32.14	32.67	31.83	31.94	1283552	41453276.000
09/23/2014	31.68	32.03	31.40	31.88	1046891	33430310.000
09/24/2014	31.93	32.03	31.60	31.89	1246301	39799952.000
09/25/2014	31.97	31.99	31.30	31.47	1700552	54259852.000
09/26/2014	31.22	31.50	30.60	31.14	1714436	53580208.000
09/29/2014	31.13	31.70	31.10	31.33	1115355	35329264.000
