300385 雪浪环境 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
06/26/2014	11.62	13.97	11.62	13.97	252267	5337369.000
06/27/2014	15.39	15.39	15.39	15.39	61100	1425463.000
06/30/2014	16.94	16.94	16.94	16.94	116977	3001629.750
07/01/2014	18.65	18.65	18.65	18.65	212195	5990265.000
07/02/2014	20.53	20.53	20.53	20.53	362316	11249912.000
07/03/2014	22.61	22.61	22.61	22.61	404762	13826670.000
07/04/2014	24.89	24.89	24.89	24.89	908479	34140640.000
07/07/2014	27.39	27.39	27.39	27.39	1488859	61549432.000
07/08/2014	30.15	30.15	29.84	30.15	11590990	526945408.000
07/09/2014	30.69	33.18	30.54	33.18	16032624	770002304.000
07/10/2014	31.84	36.51	31.31	36.51	12604930	651804800.000
07/11/2014	35.83	39.47	35.51	35.97	13339365	749869824.000
07/14/2014	34.43	35.97	32.77	33.12	9197100	469166976.000
07/15/2014	33.30	34.02	31.87	32.67	6756864	333638528.000
07/16/2014	32.43	35.95	32.24	35.95	10709016	554973632.000
07/17/2014	35.55	36.05	32.34	33.16	7897094	400822144.000
07/18/2014	32.48	32.89	30.53	30.65	5953218	281895392.000
07/21/2014	30.11	32.42	29.89	31.61	5896844	278132704.000
07/22/2014	30.99	31.83	30.43	31.59	4935119	231582864.000
07/23/2014	31.29	31.37	29.83	29.83	5394819	249031616.000
07/24/2014	29.50	32.83	29.09	32.83	6577453	312408736.000
07/25/2014	32.28	32.43	30.63	31.58	6548536	311534912.000
07/28/2014	31.37	34.07	30.96	32.60	6690477	326307168.000
07/29/2014	32.37	35.17	32.33	33.76	7189088	366556288.000
07/30/2014	33.57	37.15	33.19	36.30	10468889	562628288.000
07/31/2014	35.51	35.83	34.43	35.09	6081613	320401792.000
08/01/2014	34.82	35.37	33.39	33.82	5268708	272557984.000
08/04/2014	34.15	34.69	33.62	34.09	3184310	163458800.000
08/05/2014	33.91	34.49	33.10	33.75	4094043	208476192.000
08/06/2014	33.42	34.27	32.50	32.81	4364282	217982992.000
08/07/2014	32.50	33.17	32.37	32.63	3239975	159780656.000
08/08/2014	32.45	32.85	32.16	32.25	2754951	134698000.000
08/11/2014	32.17	32.83	32.17	32.67	2272737	111713280.000
08/12/2014	32.54	32.79	32.22	32.38	2233538	109185424.000
08/13/2014	32.10	32.10	30.23	30.71	4337982	201911808.000
08/14/2014	30.50	31.20	30.41	30.60	2690241	124798776.000
08/15/2014	30.50	30.82	30.43	30.67	1484965	68591632.000
08/18/2014	30.63	31.30	30.62	31.30	2128030	99597648.000
08/19/2014	31.37	31.97	31.05	31.30	2425904	114861848.000
08/20/2014	31.30	32.48	30.92	31.97	3540828	169655936.000
08/21/2014	31.77	32.03	30.50	30.89	2962807	138983904.000
08/22/2014	30.93	32.10	30.60	31.57	3087255	146063008.000
08/25/2014	31.20	32.19	31.20	31.81	2895866	138883744.000
08/26/2014	31.47	31.63	30.17	30.21	3214686	148071888.000
08/27/2014	30.24	30.83	30.23	30.33	1314146	60472900.000
08/28/2014	30.37	30.77	30.23	30.70	1672621	77068704.000
08/29/2014	30.63	31.50	30.23	31.12	2650537	123893112.000
09/01/2014	31.08	31.72	30.83	31.50	1956352	92627640.000
09/02/2014	31.67	32.93	31.53	32.51	4386260	213714096.000
09/03/2014	32.60	32.67	31.69	32.33	2923223	141654992.000
09/04/2014	32.27	33.49	32.03	32.93	3606997	179087888.000
09/05/2014	32.82	33.01	32.30	32.52	2073859	101797976.000
09/09/2014	32.90	32.91	32.10	32.19	1890038	92251512.000
09/10/2014	32.25	34.87	32.25	34.37	5692648	290819232.000
09/11/2014	33.97	34.03	33.11	33.63	3638341	184454704.000
09/12/2014	33.62	33.62	32.77	33.33	2201896	109969640.000
09/15/2014	33.33	33.37	32.69	33.16	1807270	89752328.000
09/16/2014	33.11	33.49	31.83	31.83	2149912	105631544.000
09/17/2014	32.11	32.30	31.55	32.13	1385768	66870848.000
09/18/2014	32.17	32.27	31.64	31.70	1303859	62641608.000
09/19/2014	32.07	32.40	31.89	32.07	1279012	61941172.000
09/22/2014	31.97	31.97	30.85	30.90	1465202	69018312.000
09/23/2014	31.02	31.60	31.02	31.48	935370	44277036.000
09/24/2014	31.49	31.75	31.31	31.57	1012741	48254060.000
09/25/2014	31.78	31.83	31.17	31.29	1265088	60267312.000
09/26/2014	31.17	31.35	30.97	31.24	874534	41092288.000
09/29/2014	31.35	32.03	31.35	31.91	1197983	57379984.000
09/30/2014	32.12	32.35	31.84	32.35	1157326	55917640.000
10/08/2014	32.35	32.89	32.19	32.77	1622678	79781568.000
10/09/2014	33.00	35.93	33.00	34.55	4853527	252473888.000
10/10/2014	34.50	34.89	33.90	34.03	2682904	138580960.000
10/20/2014	35.01	35.61	33.93	34.17	3500253	183092560.000
10/21/2014	33.57	35.17	33.53	34.93	3150552	164700976.000
10/22/2014	35.05	38.22	34.63	36.43	4715036	258778176.000
10/23/2014	36.02	36.69	35.31	35.63	2512351	136001632.000
10/24/2014	35.70	36.17	33.97	34.02	2273555	120012632.000
10/27/2014	33.83	33.83	32.89	32.93	2013848	100877688.000
10/28/2014	33.11	34.13	33.10	34.07	1750461	88910280.000
10/29/2014	34.48	35.30	34.24	34.61	2374637	124259272.000
10/30/2014	34.57	35.03	34.15	34.19	1618293	84078336.000
10/31/2014	34.19	35.74	34.00	35.74	2637426	138932048.000
11/03/2014	35.90	36.83	35.57	36.83	2718837	148454880.000
11/04/2014	36.63	37.02	35.43	35.43	1975102	107003176.000
11/05/2014	35.23	35.66	34.51	34.76	1450035	76584904.000
11/06/2014	34.78	36.72	34.77	36.63	2771187	151056416.000
11/07/2014	36.90	37.75	35.69	35.81	3012148	166353504.000
11/10/2014	35.53	36.70	35.17	36.49	2336485	126626184.000
11/11/2014	36.43	37.27	35.30	37.00	3326294	181751184.000
11/12/2014	36.70	40.61	36.54	39.81	6543840	386881024.000
11/13/2014	38.35	39.49	37.62	37.67	3917055	227184656.000
11/14/2014	37.20	38.13	34.83	35.42	3344851	183459424.000
11/17/2014	34.85	36.75	34.85	35.75	1731149	94018096.000
11/18/2014	35.89	36.43	35.17	36.13	1363340	73736304.000
11/19/2014	35.94	36.43	35.55	35.85	1084752	58822036.000
11/20/2014	35.32	35.82	35.20	35.35	1237556	66079516.000
11/21/2014	35.33	36.27	35.23	35.90	1368149	74071480.000
11/24/2014	36.45	36.47	35.83	36.33	1385694	75620280.000
11/25/2014	36.29	37.15	35.50	35.91	1784518	97315848.000
11/26/2014	35.93	36.92	35.92	36.57	1614345	88733784.000
11/27/2014	37.23	37.50	36.43	36.76	2208992	123304752.000
11/28/2014	36.63	37.29	36.37	36.57	1687993	93527560.000
12/01/2014	36.60	36.82	35.78	36.39	1549092	84057520.000
12/02/2014	36.57	38.50	36.49	37.70	2968141	168813968.000
12/03/2014	37.50	38.09	36.65	37.91	2642702	148406704.000
12/04/2014	38.03	38.49	37.50	37.59	1868198	106479216.000
12/05/2014	37.29	37.47	34.63	34.90	2966148	159299248.000
12/08/2014	34.91	34.91	33.90	33.98	1460221	75540896.000
12/09/2014	33.95	33.95	31.51	31.53	2308963	113625920.000
12/10/2014	31.71	33.48	31.71	33.13	1658630	81956336.000
12/11/2014	33.07	34.31	32.55	33.62	1324795	67200648.000
12/12/2014	33.73	33.97	33.10	33.62	854865	43084320.000
12/15/2014	33.29	34.32	33.29	34.22	943617	48466880.000
12/16/2014	34.49	34.61	33.53	33.57	931145	47681756.000
12/17/2014	33.43	33.45	32.40	32.53	989428	48873148.000
12/18/2014	32.43	33.47	32.37	32.60	703442	34992192.000
12/19/2014	32.57	32.75	30.90	31.30	1305926	62094520.000
12/22/2014	31.17	31.17	28.15	28.15	1548771	66878888.000
