300407 凯发电气 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
12/03/2014	6.62	7.96	6.62	7.96	19900	635622.000
12/04/2014	8.76	8.76	8.76	8.76	3000	106170.000
12/05/2014	9.65	9.65	9.65	9.65	7800	303654.000
12/08/2014	10.62	10.62	10.62	10.62	13300	569506.000
12/09/2014	11.69	11.69	11.69	11.69	19600	923160.000
12/10/2014	12.87	12.87	12.87	12.87	86200	4466022.000
12/11/2014	14.16	14.16	13.66	14.16	5354768	302437344.000
12/12/2014	14.16	15.24	13.94	14.38	6284016	370486432.000
12/15/2014	13.85	15.56	13.70	14.75	5132395	299806624.000
12/16/2014	14.59	15.30	14.27	14.90	4552241	271259296.000
12/17/2014	14.91	16.01	14.67	15.78	5242199	326486752.000
12/18/2014	15.84	16.09	14.43	14.48	5175621	319528224.000
12/19/2014	14.59	15.57	14.37	15.16	5141585	310251392.000
12/22/2014	14.37	14.56	13.64	13.64	1500845	83756432.000
12/23/2014	12.27	13.81	12.27	12.91	4359043	226368112.000
12/24/2014	13.16	14.21	13.11	14.21	3700842	206236704.000
12/25/2014	14.38	15.38	14.10	14.91	4829437	284644736.000
12/26/2014	14.79	15.83	14.72	15.15	3322332	204947488.000
12/29/2014	14.71	16.68	14.47	16.68	4282198	273518400.000
12/30/2014	16.43	16.66	15.00	15.00	4883202	306859648.000
12/31/2014	15.38	15.91	14.48	15.20	4021133	246673552.000
01/05/2015	15.60	16.00	14.94	15.19	3427287	212915376.000
01/06/2015	13.71	15.29	13.66	14.91	4420626	252154672.000
01/07/2015	14.66	15.14	13.91	14.07	2713528	157724544.000
01/08/2015	13.87	14.70	13.69	13.70	2429299	138281232.000
01/09/2015	13.54	14.03	13.41	13.61	2050044	112892248.000
01/12/2015	13.41	13.52	12.66	12.81	1963573	102895184.000
01/13/2015	12.79	13.26	12.68	13.09	1385026	72558904.000
01/14/2015	12.93	13.09	12.50	12.69	1572562	80612720.000
01/15/2015	12.74	13.57	12.61	13.21	2008142	106415144.000
01/16/2015	13.19	13.52	13.03	13.33	1707994	91567104.000
01/19/2015	12.98	13.80	12.79	13.08	2232347	120754016.000
01/20/2015	13.14	13.91	13.14	13.88	2496285	137347856.000
01/21/2015	13.97	14.03	13.56	13.87	2306141	128024680.000
01/22/2015	13.88	14.16	13.67	13.98	2045295	114661416.000
01/23/2015	14.17	14.54	13.66	13.75	2348105	133593560.000
01/26/2015	13.56	13.81	13.46	13.76	1270598	69727984.000
01/27/2015	13.74	13.91	13.44	13.53	1449715	79414488.000
01/28/2015	13.49	13.65	13.20	13.28	1157391	62349128.000
01/29/2015	13.22	13.39	13.16	13.26	816278	43689676.000
01/30/2015	13.27	13.80	13.27	13.41	978697	53097036.000
02/02/2015	13.13	13.39	12.93	12.96	959902	50418296.000
02/03/2015	12.96	13.55	12.93	13.21	1709695	91269544.000
02/04/2015	13.21	13.49	13.11	13.29	1358407	72569464.000
02/05/2015	13.31	13.44	13.16	13.16	1136766	60800968.000
02/06/2015	13.16	13.17	12.39	12.41	1548565	78731232.000
02/09/2015	12.32	12.46	12.12	12.14	721345	35635236.000
02/10/2015	12.16	12.25	12.11	12.19	670628	32883418.000
02/11/2015	12.22	12.38	12.16	12.37	853533	42151916.000
02/12/2015	12.41	12.88	12.37	12.71	1002540	51306692.000
02/13/2015	12.78	13.00	12.76	12.94	899709	46815592.000
