300425 环能科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
02/16/2015	8.91	9.74	8.91	9.74	29000	634190.000
02/17/2015	10.74	10.74	10.74	10.74	4600	110814.000
02/25/2015	11.83	11.83	11.83	11.83	5100	135150.000
02/26/2015	13.04	13.04	13.04	13.04	6600	192390.000
02/27/2015	14.36	14.36	14.36	14.36	16600	532362.000
03/02/2015	15.82	15.82	15.82	15.82	33100	1167768.000
03/03/2015	17.43	17.43	17.43	17.43	85208	3306922.500
03/04/2015	19.19	19.19	19.19	19.19	130000	5549700.000
03/05/2015	21.13	21.13	21.13	21.13	80700	3789672.000
03/06/2015	23.27	23.27	23.27	23.27	252978	13068843.000
03/09/2015	25.62	25.62	24.47	25.62	11558021	653437312.000
03/10/2015	26.15	26.15	23.27	23.65	8622320	465066432.000
03/11/2015	22.97	24.01	22.56	23.28	5465529	281094368.000
03/12/2015	23.06	23.22	21.10	21.95	5272720	258232560.000
03/13/2015	21.92	22.82	21.92	22.61	2840583	141284800.000
03/16/2015	22.90	23.69	22.75	23.17	4254959	218919728.000
03/17/2015	22.99	23.46	22.79	23.17	3263496	167456256.000
03/18/2015	23.21	24.15	22.98	23.55	4135797	216851872.000
03/19/2015	23.38	24.70	23.20	24.70	3962295	210270352.000
03/20/2015	24.56	24.79	23.98	24.31	3085508	166602624.000
03/23/2015	24.47	24.64	24.00	24.58	3049531	164308064.000
03/24/2015	24.75	27.03	24.37	26.54	4578489	262125152.000
03/25/2015	26.12	27.15	25.85	26.67	3306450	192983424.000
03/26/2015	26.14	26.14	24.56	24.75	3308117	186037760.000
03/27/2015	24.65	25.23	24.64	24.86	1433332	79144328.000
03/30/2015	24.81	25.40	23.88	24.17	2217008	120705832.000
03/31/2015	24.17	24.49	24.01	24.22	1465626	79031568.000
04/01/2015	24.28	25.24	24.23	25.14	1724026	94818568.000
04/02/2015	25.14	26.19	24.79	25.88	2264105	128666192.000
04/03/2015	25.24	26.55	25.10	26.21	2869495	164258224.000
04/07/2015	26.31	27.91	26.02	27.77	3010338	181625104.000
06/15/2015	30.55	30.55	30.55	30.55	11600	782304.000
06/16/2015	33.62	33.62	33.62	33.62	42100	3122978.000
06/17/2015	36.99	36.99	36.99	36.99	141600	11554560.000
06/18/2015	39.34	40.70	38.51	40.40	2868512	254490512.000
06/19/2015	38.08	39.79	36.35	36.35	3615170	296919168.000
06/23/2015	35.03	39.45	34.54	38.51	3031279	245433808.000
06/24/2015	39.13	40.35	38.09	39.36	2314424	198850000.000
06/25/2015	39.63	42.22	35.81	36.81	2461596	215998528.000
06/26/2015	34.91	35.81	33.12	33.12	2241686	169115280.000
06/29/2015	33.40	33.99	29.80	29.80	2256293	153513968.000
06/30/2015	29.44	31.65	26.80	29.94	3157977	202340928.000
07/01/2015	29.48	31.70	28.45	28.45	2295745	154798768.000
07/02/2015	27.68	29.80	26.08	26.08	2106044	129002384.000
07/03/2015	26.06	27.17	23.46	23.56	2719370	147185952.000
07/06/2015	25.93	25.93	23.56	25.93	4402239	248351280.000
07/07/2015	23.99	25.30	23.32	23.32	1654392	87175160.000
07/08/2015	20.98	22.38	20.98	20.98	3614217	170083424.000
07/14/2015	23.09	23.09	23.09	23.09	8000	408160.000
07/15/2015	25.41	25.41	25.41	25.41	136300	7649156.000
07/16/2015	24.22	27.96	23.13	27.26	3967466	231634992.000
07/17/2015	27.18	30.00	27.18	30.00	2412244	155211600.000
07/20/2015	31.49	32.39	30.20	30.61	2656783	183262160.000
07/21/2015	29.90	33.69	29.57	33.69	2228765	159788128.000
07/22/2015	33.69	36.17	32.45	35.33	2702797	203182368.000
07/23/2015	35.27	38.63	34.00	38.03	2654944	213680144.000
07/24/2015	37.40	38.91	34.90	35.85	2644007	220120096.000
07/27/2015	35.13	36.49	32.26	32.26	2519704	191305680.000
07/28/2015	29.31	33.62	29.22	32.22	2712815	186281408.000
07/29/2015	32.99	34.00	29.90	33.72	2212720	158882592.000
07/30/2015	33.07	33.96	30.81	30.84	1994180	145354880.000
07/31/2015	29.85	31.43	29.22	29.54	1888213	126313768.000
08/03/2015	28.99	29.45	26.58	26.80	1881720	114529472.000
08/04/2015	27.62	29.49	27.24	29.49	1494712	94264472.000
08/05/2015	29.98	31.71	29.67	30.35	2099170	143330944.000
08/06/2015	29.47	33.40	29.00	33.40	2581923	180879136.000
08/07/2015	33.07	34.85	32.35	34.72	2266198	168333760.000
08/10/2015	34.45	36.25	34.43	35.31	1829793	142715776.000
08/11/2015	35.29	35.70	33.85	33.88	1956315	150315136.000
08/12/2015	33.81	34.85	33.23	33.31	1305713	97692848.000
08/13/2015	33.59	35.17	33.31	34.72	1349959	102592992.000
08/14/2015	34.86	35.63	33.41	34.67	1714391	131106496.000
08/17/2015	34.22	34.35	32.89	33.54	885451	65395824.000
08/18/2015	33.18	34.27	30.17	30.38	1546707	110737480.000
08/19/2015	30.13	31.72	27.68	31.72	1689468	111516128.000
08/28/2015	28.54	31.66	28.54	30.98	3137160	203626496.000
08/31/2015	29.35	29.50	27.87	27.87	1486401	93377448.000
09/01/2015	26.26	26.26	25.07	25.07	1497938	83437368.000
09/02/2015	23.07	25.72	22.55	22.55	1752487	89571120.000
09/07/2015	23.08	24.36	21.73	22.57	2009349	102592256.000
09/08/2015	22.49	24.45	21.82	24.31	1611455	83560288.000
09/09/2015	24.90	26.17	24.46	25.77	2350028	131820272.000
09/10/2015	25.35	27.30	24.95	26.17	2405759	139984016.000
09/11/2015	26.13	26.70	25.60	26.35	1305094	75335232.000
09/14/2015	26.72	26.79	23.71	23.71	1550811	85063816.000
09/15/2015	23.03	24.16	22.50	23.15	1075461	55400140.000
09/16/2015	23.40	25.48	23.22	25.35	1353902	73097776.000
09/17/2015	25.22	26.35	24.75	25.10	1681327	95237008.000
09/18/2015	25.47	25.75	24.91	25.29	1124831	62716316.000
09/21/2015	24.45	27.28	24.35	26.97	1948528	113198624.000
09/22/2015	27.22	28.90	27.17	28.25	2189837	135558352.000
09/23/2015	27.90	29.75	27.63	29.03	2046711	128478160.000
09/24/2015	29.00	31.04	28.99	30.45	1640936	109223400.000
09/25/2015	29.90	31.58	27.93	29.45	1921794	127474712.000
09/28/2015	29.45	31.67	29.20	31.51	1491424	100929872.000
09/29/2015	30.39	31.26	29.76	30.40	1220175	82164888.000
09/30/2015	30.67	30.94	28.69	29.57	1331304	86889792.000
10/08/2015	31.26	32.23	30.35	31.96	1544208	107065776.000
10/09/2015	31.96	32.35	31.32	32.23	863615	60698488.000
10/12/2015	32.25	34.24	32.17	33.63	1416579	104442240.000
10/13/2015	33.35	33.85	32.54	33.31	1615021	117742360.000
10/14/2015	32.90	33.76	32.31	33.04	1287350	94101096.000
10/15/2015	32.76	35.36	32.29	35.35	1669816	126276456.000
10/16/2015	36.04	36.86	35.36	36.26	1860093	148503376.000
10/19/2015	37.58	38.08	35.64	36.26	1522625	123700552.000
10/20/2015	36.26	37.09	35.83	37.08	1269918	102268456.000
10/21/2015	37.95	39.29	33.99	34.34	2089193	170048752.000
10/22/2015	35.13	36.58	34.57	36.30	1619920	127418432.000
10/23/2015	36.30	39.94	35.56	39.94	2354872	195247648.000
10/26/2015	41.82	42.72	38.79	39.51	2776250	249888704.000
10/27/2015	38.53	41.26	35.66	41.03	1876838	160868528.000
10/28/2015	40.00	41.82	37.70	37.86	3961334	157003520.000
10/29/2015	39.08	41.66	38.18	40.30	5282921	213807312.000
10/30/2015	39.00	39.35	37.80	38.51	4391981	169641840.000
11/02/2015	36.92	40.29	35.94	38.65	4201596	163616064.000
11/03/2015	38.11	39.23	37.26	38.47	2816145	108399472.000
11/04/2015	38.45	41.03	38.45	40.80	4742201	187721312.000
11/05/2015	41.30	41.30	38.90	39.18	4156994	166213616.000
11/06/2015	39.19	41.88	38.90	41.77	6175520	249587248.000
