300428 四通新材 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
03/19/2015	5.55	6.73	5.55	6.73	19632	414219.750
03/20/2015	7.43	7.43	7.43	7.43	5700	132810.000
03/23/2015	8.21	8.21	8.21	8.21	5200	133276.000
03/24/2015	9.06	9.06	9.06	9.06	10768	303549.906
03/25/2015	10.00	10.00	10.00	10.00	25300	784553.000
03/26/2015	11.04	11.04	11.04	11.04	69150	2358706.500
03/27/2015	12.17	12.17	11.67	12.17	6513555	242458928.000
03/30/2015	12.86	13.42	12.72	13.00	12179720	490901184.000
03/31/2015	12.19	12.83	12.13	12.83	7190594	276361696.000
04/01/2015	12.68	13.29	12.60	12.86	5196312	206229008.000
04/02/2015	12.71	13.86	12.69	13.32	6459089	262031392.000
04/03/2015	12.98	14.19	12.90	13.90	6665862	274311456.000
04/07/2015	13.83	14.57	13.69	13.97	5220766	225500000.000
04/08/2015	13.97	14.02	13.00	13.51	3987481	165816096.000
04/09/2015	13.43	13.93	12.83	13.69	3958581	162502208.000
04/10/2015	13.58	14.52	13.54	14.24	4696946	203898752.000
04/13/2015	14.24	14.83	14.06	14.50	3823496	170030336.000
04/14/2015	14.50	14.85	13.93	14.20	3575530	157228784.000
04/15/2015	13.98	13.98	13.17	13.17	2820651	116881760.000
04/16/2015	13.10	13.70	12.84	13.29	2429490	100123760.000
04/17/2015	13.37	13.46	13.10	13.17	2224469	90954328.000
04/20/2015	13.05	13.17	12.62	12.68	2420708	96269784.000
04/21/2015	12.57	13.26	12.57	13.22	1663088	66616976.000
04/22/2015	13.33	13.55	13.33	13.37	2268512	93526408.000
04/23/2015	13.45	13.92	13.28	13.79	3600120	150477584.000
04/24/2015	13.54	14.66	13.44	14.23	3951269	171683344.000
04/27/2015	14.71	14.87	14.07	14.23	3653319	161491936.000
04/28/2015	14.17	14.33	13.25	13.43	2692071	113212528.000
04/29/2015	13.38	14.67	13.33	14.52	3484360	151279552.000
04/30/2015	14.67	14.93	14.27	14.33	3663770	164126576.000
05/04/2015	14.25	15.32	13.83	15.18	3380826	150898976.000
05/05/2015	14.98	15.79	14.64	15.26	4527940	211186544.000
05/06/2015	15.33	16.19	14.33	14.68	4353345	208700832.000
05/07/2015	14.20	14.66	14.07	14.10	2421741	106031568.000
05/08/2015	14.40	15.36	14.28	15.28	3166167	143177120.000
05/11/2015	15.48	16.66	15.34	16.43	4834092	238305488.000
05/12/2015	16.41	17.80	16.01	17.60	5780410	299454176.000
05/13/2015	16.67	17.93	16.36	17.10	3842802	201161392.000
05/14/2015	16.93	18.84	16.74	18.84	4143800	228193408.000
05/15/2015	18.84	20.66	17.84	19.90	4630682	269931392.000
05/18/2015	19.66	21.92	19.34	21.92	3610030	232660032.000
05/19/2015	22.85	23.50	20.67	22.06	4740645	314650016.000
05/20/2015	21.63	23.00	21.40	22.65	3980011	271350016.000
05/21/2015	22.50	22.99	21.67	22.43	3450292	234110064.000
05/22/2015	22.99	23.23	21.02	21.83	3503768	234623904.000
05/25/2015	21.15	23.15	21.00	22.51	3267450	221441328.000
05/26/2015	22.50	24.79	22.50	24.79	2525720	185375344.000
05/27/2015	25.67	27.31	25.55	27.31	4989238	402071936.000
05/28/2015	28.33	30.07	25.83	25.83	6104012	543501952.000
05/29/2015	24.70	27.33	23.22	25.07	4585098	349538016.000
06/01/2015	25.33	25.43	23.43	24.59	3235403	240409856.000
06/02/2015	24.33	24.99	23.67	24.49	2957974	218666736.000
06/03/2015	24.58	25.33	23.89	24.79	2404735	181560096.000
06/04/2015	24.99	24.99	22.28	22.50	3134469	218728448.000
06/05/2015	23.00	23.16	21.63	22.20	3430137	232716640.000
06/08/2015	22.03	22.03	20.33	20.70	3044422	194239552.000
06/09/2015	20.68	21.63	20.46	21.17	2056960	132306744.000
06/10/2015	21.00	22.76	20.26	22.10	3050003	203957168.000
06/11/2015	22.12	23.09	21.92	23.01	2782823	191592304.000
06/12/2015	23.35	24.81	22.35	22.50	3371473	242116688.000
06/15/2015	22.00	22.16	20.22	20.22	3026407	194629248.000
06/16/2015	19.33	20.88	18.85	20.25	2259732	136312032.000
06/17/2015	20.06	21.15	19.70	20.97	2040721	127625368.000
06/18/2015	20.77	20.89	19.17	19.33	1786649	110096192.000
06/19/2015	18.66	19.96	18.33	18.82	1588398	93324264.000
06/23/2015	19.12	20.50	18.67	20.47	2115419	126525968.000
06/24/2015	20.89	21.00	20.20	20.83	2498686	157215424.000
06/25/2015	20.74	21.00	19.50	19.56	1579424	97716016.000
06/26/2015	18.73	19.67	17.57	17.66	2407390	134930064.000
06/29/2015	18.33	18.60	15.86	15.86	1964687	100291848.000
06/30/2015	15.86	17.12	14.24	16.90	2465885	116675232.000
07/01/2015	16.19	17.60	15.31	15.55	2254809	116088192.000
07/02/2015	15.33	16.29	14.33	14.63	1536890	72161768.000
07/03/2015	14.60	15.47	13.33	14.11	1510919	66487852.000
07/06/2015	15.55	15.55	12.73	13.80	2181917	95687288.000
07/07/2015	13.09	13.34	12.39	12.39	973791	38151852.000
07/08/2015	11.11	11.63	11.11	11.14	2304580	79444704.000
07/09/2015	10.67	12.28	10.67	12.28	1577825	57811956.000
07/10/2015	13.00	13.55	12.52	13.55	873322	35945376.000
07/13/2015	14.93	14.93	14.34	14.93	2045842	93155424.000
07/14/2015	15.40	16.30	14.93	15.60	3948184	188739424.000
07/15/2015	15.00	15.19	14.01	14.01	1911771	84566112.000
07/16/2015	12.67	14.82	12.60	14.38	2067471	88953216.000
07/17/2015	14.38	15.70	14.33	15.35	2189728	101061672.000
07/20/2015	15.37	15.78	14.94	15.24	2144748	101267816.000
07/21/2015	14.96	15.66	14.50	15.48	1854307	86238080.000
07/22/2015	15.33	15.83	15.00	15.69	1935980	92405568.000
07/23/2015	15.66	17.17	15.53	17.09	2971861	149798032.000
07/24/2015	16.95	17.66	16.33	16.40	3408431	177640992.000
07/27/2015	15.68	16.50	14.73	14.73	2507723	120196912.000
07/28/2015	13.86	14.87	13.33	13.94	1776475	76639520.000
07/29/2015	14.33	15.36	13.93	15.36	1931990	86474960.000
07/30/2015	15.65	16.53	15.33	15.55	2637014	129156152.000
07/31/2015	14.17	15.84	14.00	14.82	3228902	145318928.000
08/03/2015	14.33	14.76	13.37	13.67	1839630	79106688.000
08/04/2015	13.92	14.72	13.67	14.72	1863247	81577240.000
08/05/2015	14.53	15.87	14.50	15.50	2889945	134891968.000
08/06/2015	15.04	15.63	15.00	15.27	1743769	81896848.000
08/07/2015	15.43	16.25	15.43	16.06	2608914	127088096.000
08/10/2015	16.11	17.12	16.00	17.00	2836305	142975968.000
08/11/2015	16.83	17.50	16.52	17.20	2771338	143371264.000
08/12/2015	17.67	18.95	17.55	18.95	7315792	417613440.000
08/13/2015	18.90	20.88	18.32	20.88	7836592	463543232.000
08/14/2015	21.17	22.53	20.27	21.33	4813994	308600192.000
08/17/2015	20.33	20.66	19.17	19.17	3639338	215803984.000
08/18/2015	18.67	19.34	17.22	17.22	4204157	234438368.000
08/19/2015	16.37	17.58	15.50	17.27	3301914	168095568.000
08/20/2015	17.00	17.73	16.42	16.42	2244134	116440048.000
08/21/2015	15.84	16.17	14.74	14.74	2273956	107150640.000
08/24/2015	13.67	13.80	13.24	13.24	1870400	76354392.000
08/25/2015	11.88	12.58	11.88	11.88	3381075	124575728.000
08/26/2015	12.00	12.83	11.47	12.02	3608464	135743712.000
08/27/2015	12.52	12.83	11.67	12.58	2513101	96155256.000
08/28/2015	12.82	13.67	12.39	13.42	3091024	121920872.000
08/31/2015	13.16	13.16	12.10	12.10	1923680	75373928.000
09/01/2015	12.00	12.00	10.85	10.85	2011150	69967944.000
09/02/2015	10.00	11.42	10.00	10.30	1673709	55374108.000
09/07/2015	10.53	11.23	10.50	10.83	1389055	46692560.000
09/08/2015	10.75	11.83	10.63	11.78	1530910	53133412.000
09/09/2015	11.94	12.51	11.80	12.42	2113023	79654080.000
09/10/2015	12.07	12.35	11.83	11.90	1639656	60960796.000
09/11/2015	11.87	12.19	11.77	12.15	1067825	39597804.000
09/14/2015	12.15	12.25	10.90	10.90	1542523	54247220.000
09/15/2015	10.34	10.62	9.83	9.85	1247488	39472932.000
09/16/2015	9.90	10.86	9.90	10.86	1519663	48469416.000
09/17/2015	10.87	11.33	10.57	10.60	1732348	58955952.000
09/18/2015	10.63	10.96	10.50	10.83	1048348	34827968.000
09/21/2015	10.67	11.56	10.53	11.52	1376846	47864624.000
09/22/2015	11.66	12.25	11.58	11.83	2003016	73789608.000
09/23/2015	11.66	12.23	11.53	12.07	1998950	73527000.000
09/24/2015	12.12	12.47	12.09	12.22	1570022	59312692.000
09/25/2015	12.20	12.27	11.18	11.30	1635637	58573028.000
