300435 中泰股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
03/26/2015	5.78	6.96	5.78	6.96	19200	404234.000
03/27/2015	7.66	7.66	7.66	7.66	4000	93320.000
03/30/2015	8.44	8.44	8.44	8.44	5400	138564.000
03/31/2015	9.30	9.30	9.30	9.30	9200	259716.000
04/01/2015	10.24	10.24	10.24	10.24	18800	583740.000
04/02/2015	11.27	11.27	11.27	11.27	28700	980392.000
04/03/2015	12.41	12.41	12.41	12.41	67249	2527217.500
04/07/2015	13.67	13.67	13.67	13.67	49500	2046330.000
04/08/2015	15.04	15.04	15.04	15.04	108600	4938042.000
04/09/2015	16.56	16.56	16.56	16.56	346789	17346386.000
04/10/2015	18.23	18.23	18.23	18.23	989311	54431892.000
04/13/2015	19.55	20.06	19.24	20.06	9890230	588522304.000
04/14/2015	19.23	19.88	19.22	19.54	5663407	334416736.000
04/15/2015	19.42	19.45	17.68	17.73	4535659	252955776.000
04/16/2015	17.31	18.18	16.72	17.68	2578095	136026416.000
04/17/2015	17.89	18.39	17.67	17.73	2234613	120970240.000
04/20/2015	17.59	18.02	17.38	17.56	2187372	116547352.000
04/21/2015	17.56	18.27	17.56	18.12	2329800	126547976.000
04/22/2015	18.19	18.50	18.09	18.19	2122412	116858184.000
04/23/2015	18.22	18.38	17.90	18.03	1610385	87794952.000
04/24/2015	17.69	17.95	17.52	17.90	1604442	85855120.000
04/27/2015	18.00	18.71	18.00	18.58	2647912	146212384.000
04/28/2015	18.35	18.72	17.99	18.19	1898981	104659328.000
04/29/2015	18.15	19.34	18.02	18.91	3186600	180553120.000
04/30/2015	18.82	19.24	18.59	18.69	2567253	146673552.000
05/04/2015	18.52	18.59	18.06	18.50	1361696	75477176.000
05/05/2015	18.50	19.22	18.50	18.83	2039296	116221288.000
05/06/2015	18.72	19.55	18.72	19.11	3181267	184902064.000
05/07/2015	18.85	18.85	17.40	17.52	2147019	117688048.000
05/08/2015	17.77	18.58	17.76	18.54	1958572	107206608.000
05/11/2015	18.61	20.40	18.59	20.40	4415265	262640896.000
05/12/2015	21.42	21.65	20.44	20.88	4847607	309064928.000
05/13/2015	19.89	21.69	19.58	20.88	4121920	256154192.000
05/14/2015	20.55	22.98	20.53	22.98	4823431	324529696.000
05/15/2015	23.22	25.29	22.45	24.88	5384586	395108416.000
05/18/2015	24.54	27.38	24.22	27.38	5170530	409069760.000
05/19/2015	28.72	29.37	25.65	26.26	5486643	446859264.000
05/20/2015	26.24	27.50	25.89	25.89	4153788	333206944.000
05/21/2015	25.69	26.64	24.55	26.10	3483565	268165680.000
05/22/2015	26.16	26.88	25.22	26.39	3655231	287679680.000
05/25/2015	25.69	29.04	24.90	29.04	4900697	406511680.000
05/26/2015	29.98	31.95	29.37	31.95	4136353	384602720.000
05/27/2015	31.93	35.16	30.78	35.15	4724043	473785248.000
05/28/2015	34.22	38.55	31.63	31.63	6072500	664753728.000
05/29/2015	29.63	32.27	28.46	29.60	5388159	486109184.000
06/01/2015	29.29	30.02	26.93	28.43	3940891	336227552.000
06/02/2015	28.48	28.82	27.23	28.52	3422764	289761056.000
06/03/2015	28.77	29.80	27.94	29.55	3213952	281750112.000
06/04/2015	29.55	29.55	26.59	26.59	3080638	252109808.000
06/05/2015	27.10	27.53	24.96	25.75	2930976	231856896.000
06/08/2015	25.75	25.77	23.69	23.70	3225385	236091840.000
06/09/2015	23.67	24.77	23.30	24.30	1907847	138729344.000
06/10/2015	24.28	25.93	23.98	25.46	2540453	193299600.000
06/11/2015	25.73	26.45	25.27	26.26	2265140	176551984.000
06/12/2015	26.27	26.46	24.96	25.00	2330794	179065552.000
06/15/2015	24.43	24.47	22.49	22.49	2615905	182690480.000
06/16/2015	22.10	22.93	20.68	22.93	2300140	151513424.000
06/17/2015	22.60	23.73	22.30	23.66	1775221	123584472.000
06/18/2015	23.28	23.28	21.28	21.28	1541833	104324440.000
06/19/2015	20.63	21.60	20.01	20.04	1320017	82383536.000
06/23/2015	20.57	21.54	20.19	21.54	1711475	107342624.000
06/24/2015	21.77	22.50	21.34	22.45	2126760	141164800.000
06/25/2015	22.27	22.56	20.79	21.05	1475032	97048880.000
06/26/2015	20.27	20.59	18.94	18.94	1852745	109035440.000
06/29/2015	19.27	19.46	17.04	17.04	1777118	95737896.000
06/30/2015	16.60	18.12	15.33	18.00	2249607	112958904.000
07/01/2015	17.89	18.87	16.60	16.67	2224726	120883512.000
07/02/2015	16.61	17.26	15.52	15.78	1729221	85552680.000
07/03/2015	15.49	16.39	14.23	14.67	1898112	86511944.000
07/06/2015	16.14	16.14	13.27	14.31	2177911	97881264.000
07/07/2015	13.60	13.86	12.87	12.87	1075813	42553176.000
07/08/2015	11.58	12.10	11.58	11.58	2653470	93437488.000
07/09/2015	11.33	12.74	11.33	12.74	1911805	71415408.000
07/10/2015	13.77	14.02	13.27	14.02	684608	28534936.000
07/13/2015	15.43	15.43	15.43	15.43	376013	17484604.000
07/14/2015	16.98	16.98	16.43	16.98	4334327	220224192.000
07/15/2015	16.27	16.55	15.28	15.28	2369649	111607112.000
07/16/2015	13.97	16.40	13.97	15.60	1429702	65902040.000
07/17/2015	15.60	17.03	15.60	16.83	1823207	90129816.000
07/20/2015	16.71	17.36	16.17	16.67	2251692	113135352.000
07/21/2015	16.30	17.09	16.23	16.85	1924891	96498776.000
07/22/2015	16.76	17.10	16.20	16.57	2200902	110566664.000
07/23/2015	16.60	18.24	16.47	18.24	4031174	212999136.000
07/24/2015	18.17	18.93	17.28	17.69	3988416	219620736.000
07/27/2015	17.37	18.05	15.91	15.91	2628014	134965712.000
07/28/2015	14.54	15.86	14.31	14.70	2243262	100119608.000
07/29/2015	15.02	16.17	14.00	15.95	1906588	85677528.000
07/30/2015	15.82	16.87	15.43	15.56	2081029	101606024.000
07/31/2015	15.09	16.33	15.01	15.77	1715973	81029816.000
08/03/2015	15.60	15.76	14.21	14.54	1540574	69305408.000
08/04/2015	14.93	15.93	14.61	15.85	1700148	77950152.000
08/05/2015	15.93	16.73	15.60	16.50	2349608	114901048.000
08/06/2015	16.20	17.96	16.00	17.53	3220626	167123568.000
08/21/2015	15.77	15.77	15.77	15.77	211200	10036224.000
08/24/2015	14.19	14.19	14.19	14.19	52200	2232594.000
08/25/2015	12.76	12.76	12.76	12.76	399900	15392151.000
08/26/2015	11.50	13.25	11.48	11.48	3388338	121481128.000
