300452 山河药辅 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
05/15/2015	8.88	10.67	8.88	10.67	5594	119240.758
05/18/2015	11.75	11.75	11.75	11.75	1200	28428.000
05/19/2015	12.93	12.93	12.93	12.93	100	2606.000
05/20/2015	14.24	14.24	14.24	14.24	800	22936.000
05/21/2015	15.67	15.67	15.67	15.67	800	25232.000
05/22/2015	17.25	17.25	17.25	17.25	1100	38159.000
05/25/2015	18.98	18.98	18.98	18.98	800	30528.000
05/26/2015	20.89	20.89	20.89	20.89	939	39419.219
05/27/2015	22.99	22.99	22.99	22.99	2200	101596.000
05/28/2015	25.30	25.30	25.30	25.30	7000	355600.000
05/29/2015	27.84	27.84	27.84	27.84	16300	910844.000
06/01/2015	30.64	30.64	30.64	30.64	4500	276615.000
06/02/2015	33.71	33.71	33.71	33.71	5100	344862.000
06/03/2015	37.09	37.09	37.09	37.09	21900	1628922.000
06/04/2015	40.81	40.81	40.81	40.81	44500	3640990.000
06/05/2015	44.90	44.90	44.90	44.90	24900	2241000.000
06/08/2015	49.40	49.40	49.40	49.40	70600	6989400.000
06/09/2015	54.35	54.35	50.15	54.35	4511530	484076640.000
06/10/2015	54.41	59.80	54.41	59.80	2946726	335784032.000
06/11/2015	65.79	65.79	65.79	65.79	101100	13321947.000
06/12/2015	72.38	72.38	68.90	72.33	6142933	887982592.000
06/15/2015	65.09	65.09	65.09	65.09	346500	45173204.000
06/16/2015	58.57	58.57	58.57	58.57	260900	30611396.000
06/17/2015	54.46	63.26	53.00	61.30	5910916	665556160.000
06/18/2015	59.40	60.15	55.16	55.41	3372477	388195552.000
06/19/2015	53.05	58.39	52.90	53.33	1932724	216183424.000
06/23/2015	54.16	57.90	52.46	56.42	2905993	324420960.000
06/24/2015	56.55	57.40	51.00	55.23	2495512	272854368.000
06/25/2015	53.20	55.90	52.41	53.97	1685829	181577008.000
06/26/2015	51.40	52.65	48.56	48.56	1085867	107530432.000
06/29/2015	47.40	47.40	43.70	43.70	1135040	100415160.000
06/30/2015	40.40	45.90	39.32	43.75	2193030	183648032.000
07/01/2015	42.39	45.90	39.37	39.37	2230992	190323424.000
07/02/2015	37.16	39.90	35.42	35.42	1888256	139027440.000
07/03/2015	33.40	35.45	31.87	31.87	2114752	140701568.000
07/06/2015	35.07	35.07	28.68	28.68	2213642	142118368.000
07/07/2015	27.30	27.34	25.80	25.80	752174	39360620.000
07/08/2015	23.21	25.90	23.21	23.21	2817456	132176728.000
07/09/2015	23.43	25.54	23.43	25.54	1099766	54456696.000
07/10/2015	28.11	28.11	28.11	28.11	70633	3984407.500
07/13/2015	30.93	30.93	30.93	30.93	48599	3015568.000
