300458 全志科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
05/15/2015	15.08	18.13	15.08	18.13	8300	149854.000
05/18/2015	19.96	19.96	19.96	19.96	2000	40320.000
05/19/2015	21.98	21.98	21.98	21.98	2000	44360.000
05/20/2015	24.20	24.20	24.20	24.20	2700	65880.000
05/21/2015	26.64	26.64	26.64	26.64	4200	112728.000
05/22/2015	29.32	29.32	29.32	29.32	5300	156456.000
05/25/2015	32.27	32.27	32.27	32.27	3500	113645.000
05/26/2015	35.52	35.52	35.52	35.52	3700	132164.000
05/27/2015	39.09	39.09	39.09	39.09	4500	176805.000
05/28/2015	43.02	43.02	43.02	43.02	20400	881688.000
05/29/2015	47.34	47.34	47.34	47.34	31000	1473740.000
06/01/2015	52.09	52.09	52.09	52.09	9200	481068.000
06/02/2015	57.32	57.32	57.32	57.32	11200	644224.000
06/03/2015	63.07	63.07	63.07	63.07	29400	1860138.000
06/04/2015	69.40	69.40	69.40	69.40	113000	7864800.000
06/05/2015	76.36	76.36	76.36	76.36	44600	3414576.000
06/08/2015	84.02	84.02	84.02	84.02	135400	11403388.000
06/09/2015	92.44	92.44	92.44	92.44	2143124	198539008.000
06/10/2015	101.70	101.70	101.70	101.70	2728286	278012352.000
06/11/2015	111.89	111.89	111.89	111.89	126900	14224221.000
06/12/2015	123.10	123.10	123.10	123.10	91889	11329914.000
06/15/2015	135.43	135.43	115.73	124.30	22494875	2876144384.000
06/16/2015	112.02	119.80	111.85	111.85	13272085	1504903296.000
06/17/2015	111.85	112.70	101.53	107.80	8353482	893167936.000
06/18/2015	106.50	106.50	97.00	97.00	6491545	661826496.000
06/19/2015	90.47	100.68	87.28	87.28	5943939	551666624.000
06/23/2015	89.78	94.28	85.24	91.81	5051569	456623552.000
06/24/2015	92.80	92.80	83.57	86.80	5214261	463536736.000
06/25/2015	88.75	95.50	86.90	89.80	5149760	477774336.000
06/26/2015	85.69	86.80	80.80	80.80	4352200	355821504.000
06/29/2015	77.80	77.80	72.70	72.70	4573537	335251008.000
06/30/2015	67.70	78.25	65.41	75.28	8220947	580142656.000
07/01/2015	73.80	82.83	72.86	78.80	11322106	919620224.000
07/02/2015	79.80	82.78	72.30	72.52	6520521	504791680.000
07/03/2015	67.80	78.91	65.25	70.33	7038646	500697024.000
07/06/2015	77.38	77.38	64.70	69.54	6214603	452209664.000
07/07/2015	66.80	66.80	62.57	62.57	2124149	134552720.000
07/08/2015	56.29	57.26	56.29	56.29	11147056	629730304.000
07/09/2015	51.10	61.94	51.10	61.94	3663057	218614944.000
07/10/2015	64.80	68.15	62.70	68.15	1832500	122415200.000
07/13/2015	71.70	74.99	70.81	74.99	4430914	329149504.000
07/14/2015	74.99	82.51	72.80	79.50	6823380	546034304.000
07/15/2015	75.80	76.80	71.53	71.53	2912685	213055200.000
07/16/2015	64.40	74.50	64.36	68.40	4557246	313389568.000
07/17/2015	69.21	75.13	66.40	73.20	3710452	264647872.000
07/20/2015	72.55	79.73	70.66	78.68	4104202	305996128.000
07/21/2015	76.60	84.00	74.80	83.25	3824079	305862176.000
07/22/2015	82.60	91.60	81.80	91.59	4646482	411058560.000
07/23/2015	90.80	100.77	90.08	100.77	3259418	314203264.000
07/24/2015	103.68	107.30	95.80	97.41	4260647	434624832.000
07/27/2015	93.80	104.70	87.65	87.65	4550392	429299712.000
07/28/2015	79.80	92.65	78.90	89.77	4023640	346819072.000
07/29/2015	91.37	97.48	80.77	97.48	5050984	442988992.000
07/30/2015	96.30	98.78	89.71	89.80	3473524	330543584.000
07/31/2015	84.80	90.08	80.80	82.09	2759310	235961024.000
08/03/2015	79.80	79.81	73.86	73.86	2381994	179868912.000
08/04/2015	74.78	79.61	71.86	79.16	2049179	157130336.000
08/05/2015	79.30	79.66	73.68	76.05	2047643	159122784.000
08/06/2015	72.85	78.70	71.80	76.89	1633115	125100720.000
08/07/2015	77.80	84.60	76.13	84.60	2704878	219089040.000
08/10/2015	84.70	93.08	84.70	93.08	2320538	207549984.000
08/11/2015	93.91	100.20	93.46	95.80	3525965	339284544.000
08/12/2015	94.01	102.59	93.30	97.49	4300221	424196768.000
08/13/2015	95.80	99.19	89.71	98.90	2643839	252437648.000
08/14/2015	100.80	101.38	92.86	94.80	2263156	217452384.000
08/17/2015	94.70	94.70	86.27	87.75	3089450	274294080.000
08/18/2015	87.70	91.18	78.96	79.61	3780094	321706464.000
08/19/2015	78.80	82.78	74.08	79.82	3168385	253281008.000
08/20/2015	79.93	85.60	76.93	83.20	4466513	370831968.000
08/21/2015	78.80	81.60	74.86	74.86	2960019	231808272.000
08/24/2015	70.70	70.70	67.35	67.35	1981328	134206264.000
08/25/2015	60.83	66.57	60.60	60.60	2844521	177485840.000
08/26/2015	62.83	66.68	58.80	63.11	2874939	184576848.000
08/27/2015	65.80	68.10	61.00	66.77	1383154	90508304.000
08/28/2015	67.90	71.50	66.40	71.02	2235976	154427408.000
08/31/2015	69.23	69.40	63.97	63.98	1488832	98862720.000
09/01/2015	62.68	62.68	57.56	57.56	1384225	81713960.000
09/02/2015	51.91	60.80	51.90	55.90	1888617	109399800.000
09/07/2015	56.40	61.50	56.40	60.16	1341047	80732816.000
09/08/2015	59.28	63.98	58.36	63.06	1384684	85966368.000
09/09/2015	65.80	67.20	63.43	65.80	1324497	87223768.000
09/10/2015	64.60	66.75	63.35	63.35	827145	53763592.000
09/11/2015	63.13	65.30	63.11	64.72	606480	39063968.000
09/14/2015	64.83	65.57	58.23	58.23	950805	57318452.000
09/15/2015	52.39	56.20	52.39	52.39	1573508	84057456.000
09/16/2015	52.70	57.65	51.11	57.60	1935756	105646936.000
09/17/2015	57.30	61.46	55.90	56.01	1704454	100169712.000
09/18/2015	56.79	57.57	54.10	56.93	924201	52312988.000
09/21/2015	56.80	62.64	56.79	62.64	1155929	71075192.000
09/22/2015	65.90	68.92	65.20	68.92	2857259	195040640.000
09/23/2015	68.92	71.77	66.41	69.88	2417737	167373424.000
09/24/2015	69.88	71.76	68.00	68.02	1494891	104623112.000
09/25/2015	67.80	71.80	65.11	67.21	1436250	99217880.000
09/28/2015	66.23	73.95	66.23	73.95	1852819	133104696.000
09/29/2015	72.32	80.78	72.31	77.60	2470750	192591280.000
09/30/2015	77.80	82.00	76.41	76.80	1612766	128501144.000
10/08/2015	82.70	82.70	76.41	76.60	2279036	180947744.000
10/09/2015	76.68	78.60	75.42	77.39	1415924	109364152.000
10/12/2015	78.46	83.09	73.32	73.69	6177706	486430784.000
10/13/2015	74.32	81.08	72.80	81.08	4391362	335512960.000
10/14/2015	80.98	81.00	77.80	79.20	3115366	247794016.000
10/15/2015	78.89	86.80	77.80	85.67	2755296	230060928.000
10/16/2015	85.30	89.09	84.00	86.10	1924759	166860016.000
10/19/2015	85.17	89.59	83.10	88.70	2591711	227018064.000
10/20/2015	87.80	97.04	86.67	93.78	2243093	208399280.000
10/21/2015	93.08	94.35	84.38	84.38	3289237	292334880.000
10/22/2015	83.80	87.30	81.41	85.78	2611294	223248832.000
10/23/2015	88.10	90.80	83.05	86.42	3555444	306235744.000
10/26/2015	87.30	87.30	83.79	84.90	3112003	265798160.000
10/27/2015	84.67	85.79	79.98	85.06	2690561	222756528.000
10/28/2015	83.88	89.56	83.31	84.41	3662194	319325472.000
10/29/2015	85.25	86.30	82.52	85.00	2558368	217050608.000
10/30/2015	84.55	88.38	80.70	85.00	2846970	240446512.000
11/02/2015	82.31	93.52	80.90	90.55	4865077	442391520.000
11/03/2015	89.70	95.92	88.05	92.80	3546674	327088384.000
11/04/2015	92.81	97.10	91.32	96.05	2839520	267887984.000
11/05/2015	96.05	99.55	92.33	92.90	2593254	246243632.000
11/06/2015	98.30	102.21	98.30	102.21	1256850	127492888.000
11/09/2015	107.80	112.45	103.25	107.29	5159568	559699648.000
11/10/2015	109.80	114.80	104.45	112.36	3139399	346266240.000
11/11/2015	109.98	119.73	109.90	117.80	3427234	394340192.000
11/12/2015	121.80	123.80	112.56	119.38	3977041	466064224.000
11/13/2015	116.30	117.30	107.42	107.42	3674488	401998592.000
11/16/2015	101.10	110.00	96.81	107.50	2876305	299886176.000
11/17/2015	109.10	113.60	100.80	101.04	3340111	364649984.000
11/18/2015	103.80	111.15	99.79	103.80	2413486	254201200.000
11/19/2015	104.80	114.20	104.80	114.20	3291884	365424608.000
11/20/2015	119.80	120.80	109.81	115.30	3632903	421926176.000
11/23/2015	114.80	114.80	103.75	103.75	3328131	360361536.000
11/24/2015	103.78	110.74	99.92	109.29	3711653	394627680.000
11/25/2015	107.66	110.43	104.30	107.78	2751276	297221888.000
11/26/2015	109.78	114.78	106.80	112.23	4161851	461224064.000
11/27/2015	109.98	116.40	102.30	104.70	4033769	443903808.000
11/30/2015	104.00	108.08	94.80	107.09	4346785	446207296.000
12/01/2015	105.70	112.10	97.80	102.31	4185786	449382400.000
12/02/2015	99.05	100.80	92.06	94.79	4072140	387258496.000
12/03/2015	95.80	99.16	95.00	98.60	2598018	253486432.000
12/04/2015	97.80	101.70	94.90	96.19	2556433	250976240.000
12/07/2015	95.60	100.30	95.35	97.30	2074639	203648208.000
12/08/2015	97.60	102.18	95.80	100.65	2688778	267954400.000
12/09/2015	98.69	101.70	96.30	97.81	2001416	197181328.000
12/10/2015	96.30	98.01	93.40	94.00	2187387	207612144.000
12/11/2015	93.10	94.78	92.80	92.80	1212918	113690640.000
12/14/2015	92.08	95.30	90.80	95.05	1207582	112454176.000
12/15/2015	95.05	98.74	94.79	97.43	1691068	164971584.000
12/16/2015	98.58	101.75	98.00	99.83	2044558	205312736.000
12/17/2015	100.79	102.57	99.55	102.07	2103912	212665408.000
12/18/2015	102.13	104.46	99.50	99.79	2060311	210089680.000
12/21/2015	99.75	99.75	94.80	97.88	2412936	235068320.000
12/22/2015	96.93	101.05	96.93	101.05	2010151	197981296.000
12/23/2015	100.50	109.65	99.70	101.50	3207317	335189632.000
12/24/2015	101.80	104.30	97.40	104.25	2146549	217464560.000
12/25/2015	104.68	110.60	102.90	110.44	3397209	364750944.000
12/28/2015	115.30	121.50	111.80	112.30	5663281	670591040.000
12/29/2015	111.30	119.80	110.91	117.80	3495990	403330976.000
12/30/2015	115.95	129.50	114.80	128.20	4257463	528969856.000
12/31/2015	126.30	127.78	118.80	118.80	2244949	275979616.000
01/04/2016	117.80	117.80	106.90	106.90	1831340	201119408.000
01/05/2016	96.70	106.49	96.19	99.80	4642705	462440640.000
01/06/2016	100.80	102.80	93.81	101.80	3311164	326858144.000
01/07/2016	97.79	97.79	91.60	91.60	782650	73143160.000
01/08/2016	91.80	94.60	82.42	86.90	3427562	303395840.000
01/11/2016	83.32	87.74	78.19	78.19	2679331	220539184.000
01/12/2016	78.80	82.38	74.80	79.59	2484539	196229840.000
01/13/2016	79.80	81.60	71.91	73.11	2091850	162753792.000
01/14/2016	69.80	80.44	69.80	80.44	3294208	250792016.000
01/15/2016	79.00	85.30	78.98	80.58	3035612	249880688.000
01/18/2016	76.80	88.60	74.90	85.69	2829997	239098272.000
01/19/2016	85.60	91.78	84.80	91.30	2614147	230878880.000
01/20/2016	89.00	90.97	86.68	87.52	2300749	204136880.000
01/21/2016	86.05	90.79	81.85	81.85	2120574	183975056.000
01/22/2016	83.82	85.68	81.02	84.22	2299746	193369664.000
01/25/2016	85.60	86.33	82.60	84.19	1670471	142311120.000
01/26/2016	82.80	83.35	75.75	75.75	2354431	186767712.000
01/27/2016	76.88	78.00	68.16	74.99	3680101	268243584.000
01/28/2016	72.80	77.46	70.90	73.30	2799720	209447072.000
01/29/2016	73.79	77.80	73.05	76.18	2237280	170039968.000
02/01/2016	76.18	79.08	74.61	76.35	1871293	144389952.000
02/02/2016	75.31	84.01	75.31	82.18	2590128	210538704.000
02/03/2016	80.32	85.30	79.27	84.34	2374345	194892832.000
02/04/2016	83.82	86.80	83.82	85.21	1698103	145264752.000
02/05/2016	85.65	86.05	82.61	82.61	1119005	94021432.000
02/15/2016	79.78	87.31	79.30	87.20	2098230	176490784.000
02/16/2016	88.09	95.20	86.80	93.62	2873702	263521456.000
02/17/2016	92.80	95.75	90.80	94.10	2052615	191503632.000
02/18/2016	94.15	96.77	92.29	94.50	2276426	216655456.000
02/19/2016	93.40	97.97	92.30	95.80	1887678	180806096.000
02/22/2016	96.40	97.79	93.28	95.40	1833398	174216144.000
02/23/2016	96.70	100.80	94.82	96.00	3360899	329660064.000
02/24/2016	95.60	95.60	86.38	87.70	5566350	495147200.000
02/25/2016	86.80	86.80	78.91	78.91	3485370	287306560.000
02/26/2016	79.50	81.10	77.68	79.44	2229041	178021040.000
02/29/2016	77.80	77.80	71.48	71.48	2537640	185744896.000
03/01/2016	71.80	75.08	65.19	72.65	3463540	242742240.000
03/02/2016	71.39	76.40	71.31	75.89	2577609	190761952.000
03/03/2016	75.08	79.49	74.80	74.80	2617909	202929024.000
03/04/2016	73.80	73.80	68.30	68.50	2240125	159688128.000
03/07/2016	69.82	72.50	69.00	70.06	1425766	101269352.000
03/08/2016	69.76	71.30	64.30	71.27	2030745	138447840.000
03/09/2016	69.30	72.08	67.82	69.21	1499371	105107064.000
03/10/2016	69.32	71.06	68.68	68.76	1580628	110963712.000
03/11/2016	66.70	69.94	65.80	68.90	1101169	75017080.000
03/14/2016	70.40	74.67	70.38	74.19	2649136	194622912.000
03/15/2016	73.80	74.02	72.10	72.21	1588603	116346216.000
03/16/2016	73.68	74.00	69.59	69.83	1376580	98497328.000
03/17/2016	68.68	75.17	68.60	74.60	3315448	239902784.000
03/18/2016	74.80	82.08	73.80	82.08	4667670	373217280.000
03/21/2016	84.85	85.57	80.81	84.65	3973396	331452160.000
03/22/2016	82.40	84.80	81.92	82.83	2056452	171805776.000
03/23/2016	81.80	84.39	81.60	84.33	2093900	175484560.000
03/24/2016	82.98	88.83	81.31	83.42	3746700	320128864.000
03/25/2016	82.36	83.80	81.18	82.10	1910000	157426768.000
03/28/2016	83.27	84.57	79.33	79.66	2136132	175923184.000
03/29/2016	79.46	80.05	74.68	75.86	3243557	249281344.000
03/30/2016	76.68	80.60	76.68	80.50	2483700	194682928.000
03/31/2016	81.77	84.28	80.72	81.78	2801749	231425360.000
04/01/2016	81.19	82.05	78.31	80.00	1885808	150582640.000
04/05/2016	80.30	85.73	79.03	84.80	3171845	264178992.000
04/06/2016	83.80	84.80	82.80	84.01	2219320	186574352.000
04/07/2016	84.25	84.80	81.40	82.12	2093700	173703568.000
04/08/2016	81.70	82.28	77.86	79.40	2551900	204867872.000
04/11/2016	79.90	82.28	79.90	80.95	2400700	195826800.000
04/12/2016	80.35	82.28	78.32	79.80	1984600	159531264.000
04/13/2016	79.79	84.96	79.79	84.08	3697200	307871904.000
04/14/2016	85.65	85.65	82.80	85.05	2935503	248351024.000
04/15/2016	84.80	85.40	83.41	84.30	1789417	150595296.000
04/18/2016	82.85	83.64	80.35	80.61	2257200	183936880.000
04/19/2016	81.04	81.79	79.60	80.20	1922900	154825520.000
04/20/2016	80.40	81.59	72.52	74.21	3085498	236615344.000
04/21/2016	73.38	75.67	71.95	72.05	2172100	160535680.000
04/22/2016	71.24	73.18	70.81	72.80	2046000	148105680.000
04/25/2016	72.30	72.30	70.50	71.30	1399870	99992672.000
04/26/2016	71.31	72.57	70.86	72.27	1799416	129557728.000
04/27/2016	71.91	74.20	71.82	72.41	2172690	158809600.000
04/28/2016	72.41	72.50	69.81	72.01	2056383	146393408.000
04/29/2016	71.11	72.58	71.08	71.11	1590487	114029296.000
05/03/2016	71.05	74.59	70.50	74.31	2771600	202215120.000
05/04/2016	74.60	75.80	73.78	74.30	2695209	201789712.000
05/05/2016	74.49	76.99	73.50	76.22	3138212	236171664.000
05/06/2016	76.22	76.77	72.12	72.27	2621691	193905312.000
05/09/2016	71.50	71.50	68.96	69.60	1713498	119676024.000
05/10/2016	69.00	70.67	69.00	70.20	1303349	91442992.000
05/11/2016	70.90	71.11	67.75	67.88	1501135	103500056.000
05/12/2016	67.18	68.00	65.00	67.99	1386924	92296768.000
05/13/2016	67.00	68.00	65.57	65.68	1502380	100009744.000
05/16/2016	65.02	69.88	63.00	68.97	2998921	200660864.000
05/17/2016	68.12	73.30	68.02	72.70	4383700	314246752.000
05/18/2016	71.50	72.00	69.00	71.40	1946767	137422992.000
05/19/2016	70.88	74.49	70.50	72.89	2368446	173547008.000
05/20/2016	72.05	76.30	71.60	76.15	3001119	225504544.000
05/23/2016	76.98	78.90	75.50	76.49	3113380	240809120.000
05/24/2016	75.05	79.50	75.05	78.05	2972909	232385056.000
05/25/2016	79.80	82.79	79.01	80.53	4349739	353098688.000
05/26/2016	79.40	84.17	78.08	83.91	3491331	284208608.000
05/27/2016	83.05	90.00	83.03	88.20	4296781	374587264.000
05/30/2016	87.00	95.71	85.00	88.89	4670603	423532544.000
05/31/2016	88.00	92.49	87.33	91.10	4367100	393212736.000
06/01/2016	91.00	98.99	90.52	97.00	5320749	508436416.000
06/02/2016	97.00	105.68	96.00	105.68	6313708	634159424.000
06/03/2016	103.00	108.78	100.01	101.83	6304154	659230528.000
06/06/2016	104.00	108.88	100.62	104.60	5845589	610924096.000
06/07/2016	103.90	105.99	98.89	105.30	3941367	407043648.000
06/08/2016	105.00	105.53	100.00	102.09	3412065	352086240.000
06/13/2016	100.50	104.38	97.00	97.30	3971996	401725504.000
06/14/2016	96.58	99.00	91.42	95.40	3641328	347250016.000
06/15/2016	94.00	104.94	94.00	104.94	5640186	577266304.000
06/16/2016	107.00	108.80	104.00	105.90	4068818	432607808.000
06/17/2016	105.17	110.99	101.22	105.67	4211543	446944736.000
06/20/2016	105.10	116.24	102.10	116.24	7406847	822219840.000
06/21/2016	115.60	117.20	110.66	112.00	5157426	592174464.000
06/22/2016	111.10	114.92	105.85	112.43	3425700	381191616.000
06/23/2016	112.30	118.00	110.00	114.45	3902229	446095968.000
06/24/2016	113.00	120.58	107.80	117.00	4834041	553271872.000
06/27/2016	115.00	120.99	114.10	120.00	4410251	523724736.000
06/28/2016	118.00	119.60	112.16	113.00	4140837	478803424.000
06/29/2016	111.51	115.49	108.89	113.10	4147889	463679072.000
06/30/2016	110.20	111.60	104.71	106.98	6353236	681518592.000
07/01/2016	107.48	109.99	105.88	106.70	2908582	312535616.000
07/04/2016	105.99	108.25	105.00	106.86	2759573	294672480.000
07/05/2016	107.50	109.98	104.93	108.20	5586066	600579200.000
07/06/2016	107.85	107.86	103.50	104.39	4057642	426356928.000
07/07/2016	104.85	111.30	104.60	108.80	6146293	665066176.000
07/08/2016	108.60	108.60	105.20	106.61	3555300	381012704.000
07/11/2016	105.12	107.00	95.95	97.00	6362575	634141760.000
07/12/2016	96.11	98.89	93.62	98.39	4100403	395066240.000
07/13/2016	98.20	100.50	97.00	98.37	2912436	288084672.000
07/14/2016	97.55	98.70	95.60	97.01	4345939	421434112.000
07/15/2016	97.19	97.49	93.50	94.30	4697166	444505184.000
07/18/2016	94.20	96.44	93.61	94.95	2956886	281916224.000
07/19/2016	96.00	99.50	94.50	99.20	5061414	491484640.000
07/20/2016	99.20	102.47	97.50	100.90	5430515	545080768.000
07/21/2016	99.12	100.80	95.70	96.98	3849558	379490016.000
07/22/2016	96.98	98.89	95.00	98.40	3001838	291264480.000
07/25/2016	97.88	97.88	93.60	93.69	3268542	312676480.000
07/26/2016	93.10	95.80	93.10	95.27	2296523	217478192.000
07/27/2016	95.33	97.38	87.68	90.00	5108645	475441824.000
07/28/2016	90.00	90.45	83.77	86.00	5428443	470016736.000
07/29/2016	86.00	87.30	82.60	85.00	3509282	298515232.000
08/01/2016	84.00	88.09	80.65	87.29	4819362	408279584.000
08/02/2016	86.38	88.49	85.56	86.84	2935751	255116752.000
08/03/2016	86.84	87.20	85.28	86.20	2403213	206977168.000
08/04/2016	86.58	90.32	86.20	88.42	4923942	436384416.000
08/05/2016	88.40	89.77	86.81	87.17	2252100	197620416.000
08/08/2016	86.46	87.27	83.71	87.27	2388600	204042256.000
08/09/2016	87.02	89.45	86.00	88.13	3087068	272634112.000
08/10/2016	87.80	91.31	87.50	88.26	3291243	294519232.000
08/11/2016	87.38	88.50	85.12	86.23	2971356	256887424.000
08/12/2016	85.60	87.41	85.00	87.18	1847066	158894864.000
08/15/2016	87.50	91.97	85.70	91.39	4560283	409910432.000
08/16/2016	91.20	92.97	90.72	91.27	2458877	225013728.000
08/17/2016	91.10	93.93	89.84	92.52	3614920	332698304.000
08/18/2016	91.99	93.01	91.00	92.10	2053661	188579088.000
08/19/2016	91.97	92.45	90.25	91.25	2309768	211271232.000
08/22/2016	90.63	91.44	88.88	89.50	2045228	183842160.000
08/23/2016	89.03	91.40	88.90	89.98	1722091	155500816.000
08/24/2016	90.58	96.88	90.06	93.95	4902064	459742144.000
08/25/2016	91.37	91.89	88.98	91.15	3641868	329092192.000
08/26/2016	90.99	94.50	90.40	90.90	3106700	287054912.000
08/29/2016	90.59	91.90	89.51	89.75	1560178	140993680.000
08/30/2016	89.99	91.49	89.86	90.10	1181590	107033752.000
08/31/2016	90.40	90.40	81.11	85.40	3992170	342935680.000
09/01/2016	84.00	85.70	83.77	83.81	2042010	172644736.000
09/02/2016	83.80	83.93	80.90	82.99	3388459	278620928.000
09/05/2016	82.90	83.80	81.75	82.15	1646879	136355456.000
09/06/2016	83.20	86.30	82.70	86.10	3533194	300119072.000
09/07/2016	85.90	86.25	84.10	84.80	2789752	237623856.000
09/08/2016	85.00	85.69	84.50	85.13	1179494	100318272.000
09/27/2016	79.51	79.51	77.00	78.80	3480801	272145120.000
09/28/2016	78.00	82.49	77.66	79.81	3457028	277809856.000
09/29/2016	80.30	80.58	79.30	80.25	1657607	132425128.000
09/30/2016	79.96	80.99	78.96	80.05	1203106	96226792.000
数据来源:通达信
