300461 田中精机 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
05/19/2015	9.25	11.15	9.25	11.15	7200	80655.000
05/20/2015	12.29	12.29	12.29	12.29	2000	25080.000
05/21/2015	13.54	13.54	13.54	13.54	700	9653.000
05/22/2015	14.92	14.92	14.92	14.92	1500	22755.000
05/25/2015	16.44	16.44	16.44	16.44	1000	16690.000
05/26/2015	18.11	18.11	18.11	18.11	1100	20196.000
05/27/2015	19.95	19.95	19.95	19.95	1100	22220.000
05/28/2015	21.97	21.97	21.97	21.97	500	11110.000
05/29/2015	24.19	24.19	24.19	24.19	8500	207740.000
06/01/2015	26.63	26.63	26.63	26.63	5200	139776.000
06/02/2015	29.32	29.32	29.32	29.32	8600	254302.000
06/03/2015	32.28	32.28	32.28	32.28	6500	211445.000
06/04/2015	35.53	35.53	35.53	35.53	22300	797894.000
06/05/2015	39.11	39.11	39.11	39.11	7050	277488.000
06/08/2015	43.05	43.05	43.05	43.05	21050	911465.000
06/09/2015	47.38	47.38	47.38	47.38	74800	3562724.000
06/10/2015	52.14	52.14	52.14	52.14	87150	4565788.500
06/11/2015	57.38	57.38	57.38	57.38	17400	1002762.000
06/12/2015	63.14	63.14	63.14	63.14	15700	995223.000
06/15/2015	69.48	69.48	69.48	69.48	150900	10522257.000
06/16/2015	71.75	76.45	65.86	76.45	8644594	638565376.000
06/17/2015	71.84	83.62	68.78	74.98	6306882	452672320.000
06/18/2015	71.25	72.70	67.46	67.46	3558239	248388448.000
06/19/2015	62.75	64.40	60.69	60.69	3574003	221307568.000
06/23/2015	59.35	63.11	57.62	60.79	3201372	194460048.000
06/24/2015	60.95	61.63	57.26	58.35	3434319	205026272.000
06/25/2015	57.95	57.95	52.49	52.98	2369422	132295776.000
06/26/2015	50.83	52.01	47.66	47.66	2224070	109317400.000
06/29/2015	48.76	49.24	42.87	45.59	2696848	122975584.000
06/30/2015	43.80	49.74	41.05	48.23	2520691	115545696.000
07/01/2015	47.08	51.65	44.79	46.55	3084989	151776512.000
