300491 通合科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
12/31/2015	13.54	14.79	13.54	14.79	3500	52190.000
01/04/2016	16.30	16.30	16.30	16.30	1900	31540.000
01/05/2016	17.96	17.96	17.96	17.96	1800	32868.000
01/06/2016	19.79	19.79	19.79	19.79	2900	58261.000
01/07/2016	21.80	21.80	21.80	21.80	3700	81770.000
01/08/2016	24.01	24.01	24.01	24.01	6700	162877.000
01/11/2016	26.44	26.44	26.44	26.44	9000	240660.000
01/12/2016	29.11	29.11	29.11	29.11	10000	294100.000
01/13/2016	32.05	32.05	32.05	32.05	8100	262035.000
01/14/2016	35.29	35.29	35.29	35.29	47158	1678353.250
01/15/2016	38.85	38.85	38.85	38.85	36040	1410966.000
01/18/2016	42.77	42.77	42.77	42.77	97625	4204709.000
01/19/2016	47.08	47.08	47.08	47.08	80948	3835316.250
01/20/2016	51.82	51.82	51.82	51.82	83490	4351499.000
01/21/2016	57.03	57.03	57.03	57.03	4834441	277158496.000
01/22/2016	55.31	59.66	51.30	51.41	11694098	630536960.000
01/25/2016	55.70	56.58	55.70	56.58	6502354	368812256.000
01/26/2016	58.71	60.20	50.89	52.75	10370746	580839744.000
01/27/2016	51.48	51.69	47.45	47.80	8649875	420531008.000
01/28/2016	46.20	48.95	42.99	43.80	5925332	273620320.000
01/29/2016	44.14	48.21	43.70	48.21	4848190	229169360.000
02/01/2016	46.70	49.59	44.56	46.30	6553352	311081248.000
02/02/2016	45.79	49.05	45.60	47.40	6216386	297968256.000
02/03/2016	45.21	48.90	44.20	48.63	6129450	283840320.000
02/04/2016	48.19	53.03	47.83	51.49	6632228	340405152.000
02/05/2016	51.82	52.20	47.50	47.70	5848632	290754464.000
02/15/2016	45.50	52.50	45.38	52.50	7559375	380532352.000
02/16/2016	52.20	57.78	51.70	57.78	9128712	499206272.000
02/17/2016	58.20	62.90	56.71	60.49	8232474	488612288.000
02/18/2016	59.50	66.57	59.10	63.70	8272148	519579904.000
02/19/2016	62.06	67.06	60.71	62.78	8056448	513787936.000
02/22/2016	63.30	65.51	61.80	62.99	5941703	379358112.000
02/23/2016	63.60	66.75	62.32	66.75	6794510	441943168.000
02/24/2016	66.80	67.18	60.05	60.05	8131062	504326528.000
02/25/2016	58.70	61.38	54.80	55.50	6416478	372233632.000
02/26/2016	57.20	60.50	55.74	58.98	6078612	354969312.000
02/29/2016	57.20	57.20	53.05	53.05	4074414	219168480.000
03/01/2016	51.19	55.48	48.20	53.69	4825493	252448496.000
03/02/2016	53.50	58.68	52.92	57.88	4498703	255946432.000
03/03/2016	56.70	58.97	56.30	56.43	4235625	244820832.000
03/04/2016	55.18	55.41	50.76	50.76	4060322	213381616.000
03/07/2016	51.70	54.28	50.50	50.82	3608936	190165792.000
03/08/2016	48.91	51.20	45.71	50.42	5136858	246620256.000
03/09/2016	47.89	50.60	47.18	47.86	3364379	165624400.000
03/10/2016	48.10	49.35	47.18	47.20	2618739	126698088.000
03/11/2016	46.60	49.98	45.76	48.95	3839115	188354688.000
03/14/2016	49.91	53.86	49.69	52.16	4706202	245850944.000
03/15/2016	51.34	54.76	50.80	51.40	4247977	224610560.000
03/16/2016	52.68	56.25	52.68	54.40	5606740	307965824.000
03/17/2016	55.20	59.87	54.70	59.87	5711381	331504480.000
03/18/2016	60.70	65.89	59.96	63.99	6778587	431525504.000
03/21/2016	65.78	70.14	62.58	69.00	6115378	401141824.000
03/22/2016	66.02	69.05	65.00	66.05	5233974	351314944.000
03/23/2016	65.59	69.20	64.21	68.06	5315900	356851712.000
03/24/2016	66.20	67.00	63.20	63.21	5457900	357907712.000
03/25/2016	63.30	66.39	61.88	65.71	4752400	305792960.000
03/28/2016	65.91	67.67	62.01	62.91	4495836	293326752.000
03/29/2016	61.70	63.00	59.60	61.69	3631879	223448576.000
03/30/2016	63.10	67.89	61.72	67.89	5126000	335956704.000
03/31/2016	70.14	74.71	69.44	72.93	6701177	487610560.000
04/01/2016	71.70	78.48	70.43	72.85	6915988	511979744.000
04/05/2016	74.14	80.17	73.70	80.17	4475624	347724288.000
04/06/2016	83.70	85.50	77.63	81.90	6555660	538174848.000
04/07/2016	81.70	89.57	77.36	84.27	6138900	505314688.000
04/08/2016	81.80	92.73	81.80	92.73	5114600	458512064.000
04/11/2016	97.70	99.58	91.70	97.50	6297000	599263232.000
04/12/2016	95.10	95.58	87.72	87.72	4475700	411139424.000
04/13/2016	85.24	94.55	85.24	90.50	5996700	535000000.000
04/14/2016	89.54	93.30	86.95	90.43	4936705	447988256.000
04/15/2016	88.70	92.90	86.90	87.90	4429044	397028064.000
04/18/2016	86.76	92.89	82.70	92.85	5288800	472150400.000
04/19/2016	93.50	95.50	90.30	92.91	5404400	503086624.000
04/20/2016	93.70	93.79	83.59	84.85	6296994	554174848.000
04/21/2016	83.25	86.12	77.72	78.15	4362700	359729600.000
04/22/2016	77.70	82.70	77.50	82.10	4245300	341046720.000
04/25/2016	80.40	87.70	77.96	85.30	4716988	394150240.000
04/26/2016	83.90	87.70	83.71	86.52	3858972	333212064.000
04/27/2016	87.82	92.30	85.40	87.29	4214461	373851552.000
04/28/2016	87.38	90.28	84.52	89.23	3607819	314068192.000
04/29/2016	88.38	92.55	88.00	88.79	3574221	323715552.000
05/03/2016	88.50	95.20	86.00	93.68	4107800	372640416.000
05/04/2016	91.00	96.90	90.41	91.11	4076406	379928576.000
05/05/2016	91.24	92.50	89.80	91.60	3542021	322343200.000
