300495 美尚生态 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
12/22/2015	13.69	15.08	13.69	15.08	8600	393624.000
12/23/2015	16.61	16.61	16.61	16.61	2600	131040.000
12/24/2015	18.29	18.29	18.29	18.29	3300	182952.000
12/25/2015	20.13	20.13	20.13	20.13	1200	73176.000
12/28/2015	22.17	22.17	22.17	22.17	6258	419786.625
12/29/2015	24.40	24.40	24.40	24.40	7400	546046.000
12/30/2015	26.86	26.86	26.86	26.86	7400	600658.000
12/31/2015	29.57	29.57	29.57	29.57	22050	1968844.500
01/04/2016	32.55	32.55	32.55	32.55	52550	5161461.000
01/05/2016	35.82	35.82	35.82	35.82	107925	11660217.000
01/06/2016	39.42	39.42	39.42	39.42	27750	3297810.000
01/07/2016	43.38	43.38	43.38	43.38	114850	15013192.000
01/08/2016	47.74	47.74	47.74	47.74	1425090	204913696.000
01/11/2016	50.81	50.81	43.81	44.21	9943117	1434763008.000
01/12/2016	41.14	42.14	39.77	39.77	4577246	552178240.000
01/13/2016	38.14	38.95	35.77	35.77	5789186	641353856.000
01/14/2016	33.86	36.81	33.51	36.36	4038853	434843872.000
01/15/2016	35.81	36.36	32.70	32.70	4244901	437955200.000
01/18/2016	30.81	34.07	30.52	32.54	3633702	353506944.000
01/19/2016	32.27	34.51	32.20	34.27	3456963	351130784.000
01/20/2016	34.05	34.40	32.01	32.52	3181505	319313920.000
01/21/2016	31.47	33.01	29.94	29.98	3040823	290304704.000
01/22/2016	30.47	31.80	29.71	31.17	3058331	285282528.000
01/25/2016	31.54	31.74	30.52	31.50	2450914	231235072.000
01/26/2016	30.89	31.11	28.33	28.33	3105223	277710240.000
01/27/2016	28.67	31.19	28.14	31.19	3938873	354644064.000
01/28/2016	31.19	31.37	28.11	28.67	3585408	324467264.000
01/29/2016	28.81	31.56	28.67	31.56	4158393	389656192.000
02/01/2016	31.47	33.47	30.85	32.92	4893817	476777248.000
02/02/2016	32.14	33.80	31.82	33.43	3753503	374428672.000
02/03/2016	32.48	33.47	32.14	33.15	2461308	243213312.000
02/04/2016	33.17	35.01	32.87	33.99	3153950	324888960.000
02/05/2016	33.99	34.29	32.15	32.21	2512827	249954880.000
02/15/2016	30.14	32.24	30.14	31.77	1898078	177486144.000
02/16/2016	32.03	34.24	31.87	33.47	2277315	229349504.000
02/17/2016	33.47	35.07	33.04	34.52	2594038	267756752.000
02/18/2016	34.41	36.78	33.81	35.54	3260279	344997024.000
02/19/2016	35.03	37.80	35.03	36.27	2917014	321095936.000
02/22/2016	36.97	37.27	35.64	36.47	2440674	267312784.000
02/23/2016	36.81	37.60	35.81	37.31	2289587	254633840.000
02/24/2016	36.81	36.97	33.81	34.74	2978467	314461888.000
02/25/2016	34.47	34.47	31.24	31.24	2299994	227527200.000
02/26/2016	31.81	32.23	29.76	30.43	2240835	210174352.000
02/29/2016	29.88	30.01	27.37	27.37	2632759	219888912.000
03/01/2016	27.46	28.47	26.10	27.88	2163750	179198112.000
03/02/2016	27.74	29.77	27.48	29.51	2227395	192734656.000
03/03/2016	29.24	30.77	28.96	29.04	2426877	218505984.000
03/04/2016	31.97	31.97	31.97	31.97	760775	73399568.000
03/07/2016	31.97	34.14	31.33	33.11	3684551	365954528.000
03/08/2016	32.47	32.64	29.81	32.14	3085715	291277312.000
03/09/2016	33.07	35.34	32.48	33.14	3687442	376960480.000
03/10/2016	32.15	33.27	31.87	32.07	2362630	232042208.000
03/11/2016	31.31	32.81	31.14	32.45	1953039	188871920.000
03/14/2016	33.31	35.14	33.14	34.47	3118224	324076704.000
03/15/2016	33.94	34.73	33.31	33.59	2105664	216498992.000
03/16/2016	34.14	34.60	32.81	33.03	2009453	204154016.000
03/17/2016	33.14	35.27	32.91	35.14	3088199	318844352.000
03/18/2016	34.97	36.81	34.67	36.19	3276577	353172960.000
03/21/2016	36.35	36.94	35.76	36.63	3142452	342879808.000
03/22/2016	36.13	39.70	35.65	38.71	3163701	366220320.000
03/23/2016	38.28	42.60	38.28	42.60	3571000	439333056.000
03/24/2016	42.14	44.71	41.47	42.24	4737100	614693632.000
03/25/2016	42.11	42.71	40.17	41.44	2620000	325969216.000
03/28/2016	42.97	44.80	42.21	42.41	3105140	406481120.000
03/29/2016	41.78	42.14	40.11	40.47	2449740	302366144.000
03/30/2016	41.04	44.54	40.84	44.54	3411500	444478912.000
03/31/2016	45.74	49.01	45.44	47.47	4401082	624288000.000
04/01/2016	46.52	50.47	46.43	49.17	3912996	572248448.000
06/13/2016	54.09	54.09	48.01	49.52	21341792	1114088704.000
06/14/2016	51.00	53.89	49.00	51.35	14806054	761756672.000
06/15/2016	50.00	54.63	47.22	52.40	15318575	781157760.000
06/16/2016	54.00	57.64	52.43	57.64	7505468	420503424.000
06/17/2016	61.00	62.97	53.51	54.77	16956853	984124992.000
06/20/2016	53.80	55.98	52.03	53.13	10096076	542379840.000
06/21/2016	53.60	53.77	48.05	49.00	11523332	588754816.000
06/22/2016	49.00	49.89	48.08	49.79	6561796	322757920.000
06/23/2016	49.50	49.50	47.25	48.05	6499306	313881152.000
06/24/2016	48.30	49.85	45.81	49.21	8148422	397034112.000
06/27/2016	48.52	51.69	48.10	51.30	8656226	433674528.000
06/28/2016	50.88	51.48	49.62	50.48	6713123	338599872.000
06/29/2016	50.80	52.23	49.35	51.62	8903168	452858976.000
06/30/2016	50.90	50.90	48.01	48.02	7759692	383062336.000
07/01/2016	48.30	49.30	48.27	48.30	3787326	184173232.000
07/04/2016	48.50	49.47	48.30	49.00	3765138	184627824.000
07/05/2016	49.36	52.68	49.31	51.44	8416816	432540096.000
07/06/2016	51.40	51.50	49.50	50.36	5390390	271154432.000
07/07/2016	50.51	50.75	48.78	49.41	4700387	232847632.000
07/08/2016	49.35	50.49	48.90	49.50	3403800	168661856.000
07/11/2016	49.07	50.07	47.80	47.93	3890453	189444432.000
07/12/2016	47.50	48.29	44.50	47.00	5518516	254954320.000
07/13/2016	47.17	47.79	46.71	47.18	2862573	135208544.000
07/14/2016	47.25	47.69	46.56	47.50	2628989	124012792.000
07/15/2016	47.50	47.72	46.65	46.94	2426547	114086120.000
07/18/2016	46.90	46.90	44.88	45.09	3525718	160528752.000
07/19/2016	45.09	46.00	45.02	45.62	2091087	95239512.000
07/20/2016	45.60	47.27	45.53	46.64	2960656	137608208.000
07/21/2016	46.35	47.19	46.35	46.90	2425746	113415256.000
07/22/2016	49.40	49.45	47.51	47.60	5322515	257869760.000
07/25/2016	47.30	49.95	47.10	48.90	5532367	271958016.000
07/26/2016	48.77	49.19	48.00	48.98	3251220	158106416.000
07/27/2016	48.77	48.98	44.58	44.69	5253712	243727248.000
07/28/2016	44.58	45.36	43.20	43.82	2945748	130284456.000
07/29/2016	43.90	44.30	42.03	42.42	2924865	125457744.000
08/01/2016	42.84	43.50	42.00	42.67	2809586	120221792.000
08/02/2016	42.40	42.86	42.01	42.66	1810192	76721016.000
08/03/2016	42.65	43.78	42.40	42.99	2504320	107668016.000
08/04/2016	42.45	43.40	42.45	42.93	1699064	72889360.000
08/05/2016	43.00	44.18	42.82	42.86	2311500	100551608.000
08/08/2016	42.21	42.67	40.94	42.09	2357400	97873896.000
08/09/2016	42.10	43.36	41.81	43.09	2736471	116523056.000
08/10/2016	43.45	44.30	43.03	43.98	2961976	129189288.000
08/22/2016	47.59	48.38	45.68	45.96	6139539	290461216.000
08/23/2016	44.90	50.56	44.90	50.56	12752920	631208576.000
08/24/2016	51.00	51.15	49.00	49.70	9349686	466704704.000
08/25/2016	49.68	49.68	46.71	47.68	5980595	286301248.000
08/26/2016	48.33	52.45	48.02	52.45	8775100	448224896.000
08/29/2016	56.00	57.70	54.04	55.40	18138644	1013521216.000
08/30/2016	55.11	55.72	52.46	52.54	11515610	619585600.000
08/31/2016	52.66	55.67	52.50	52.50	10867780	584574208.000
09/01/2016	50.66	52.60	50.50	50.57	8179247	418633952.000
09/02/2016	50.30	51.21	48.44	48.89	6656442	329825280.000
09/05/2016	49.50	51.21	49.10	49.70	6845599	343300096.000
09/06/2016	49.40	52.84	48.09	51.57	10350999	526011168.000
09/07/2016	51.33	56.73	50.80	55.17	17460451	955598016.000
09/08/2016	54.01	55.17	52.62	53.40	9492401	508110208.000
09/09/2016	53.45	54.20	51.18	51.22	7495800	394451776.000
09/12/2016	49.81	52.40	49.32	50.54	6359739	323823008.000
09/13/2016	51.22	52.50	50.00	50.62	5585010	285575680.000
09/14/2016	49.93	49.95	48.84	48.89	4435438	218066672.000
09/19/2016	48.89	50.15	48.89	49.05	2865755	141666240.000
09/20/2016	49.54	50.80	49.18	49.56	3605391	179969792.000
09/21/2016	49.05	49.45	48.50	48.75	3508870	171206064.000
09/22/2016	49.05	49.66	48.75	48.85	3033402	149362688.000
09/23/2016	49.25	49.80	48.59	48.89	2919804	143677376.000
09/26/2016	48.50	48.88	44.51	44.55	5168499	237559504.000
09/27/2016	44.48	45.42	44.03	45.18	2767732	123906728.000
09/28/2016	45.11	45.28	44.66	45.00	1412026	63497788.000
09/29/2016	45.02	45.48	44.81	44.83	1792962	80934280.000
09/30/2016	44.60	45.25	44.50	44.68	1336626	59780052.000
数据来源:通达信
