300498 温氏股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
11/02/2015	59.57	62.08	45.68	45.68	18159365	1181059712.000
11/03/2015	48.62	50.28	45.97	50.28	36170423	2142831744.000
11/04/2015	48.30	50.88	46.01	49.08	31741477	1841589760.000
11/05/2015	49.24	50.92	47.63	48.20	20614754	1228109184.000
11/06/2015	47.04	47.91	45.99	46.33	26993077	1519092864.000
11/09/2015	44.92	45.67	42.59	44.17	26401994	1403500544.000
11/10/2015	43.29	45.78	42.93	45.07	19293465	1046395136.000
11/11/2015	44.99	44.99	43.46	43.91	16978768	901541248.000
11/12/2015	43.90	48.23	43.75	47.32	28548134	1600005888.000
11/13/2015	45.75	47.23	44.25	44.66	17933747	988697920.000
11/16/2015	43.10	44.25	42.92	44.18	10196846	540534592.000
11/17/2015	44.29	46.82	44.29	44.58	14687168	805175680.000
11/18/2015	44.58	44.58	42.93	43.15	9628059	509946528.000
11/19/2015	43.16	45.10	43.15	44.28	10230724	548431232.000
11/20/2015	44.50	44.50	43.33	43.78	10813266	573675008.000
11/23/2015	43.79	44.58	43.43	43.58	9616099	511090400.000
11/24/2015	43.39	46.67	43.25	46.00	22594350	1240461312.000
11/25/2015	45.43	46.42	44.68	45.82	15661200	866831360.000
11/26/2015	45.92	46.07	44.58	44.61	10063336	549173376.000
11/27/2015	44.65	44.65	41.00	41.59	12565306	653520384.000
11/30/2015	41.62	42.21	38.32	40.28	14733006	719830592.000
12/01/2015	40.29	40.41	39.00	39.58	10431095	499571168.000
12/02/2015	39.58	39.58	37.08	39.28	13263094	618985088.000
12/03/2015	39.04	41.21	38.93	41.06	11789214	574515904.000
12/04/2015	40.61	42.30	40.42	41.10	10788009	543023040.000
12/07/2015	41.10	41.67	40.25	40.53	7114414	351234048.000
12/08/2015	40.40	40.40	38.58	39.03	9071446	429644160.000
12/09/2015	38.42	38.93	37.93	38.38	6735610	313571936.000
12/10/2015	38.75	40.13	38.75	39.23	8465381	405467200.000
12/11/2015	38.79	38.80	37.96	38.57	5492661	254888400.000
12/14/2015	37.92	38.99	37.67	38.85	5164559	240102832.000
12/15/2015	38.79	39.47	38.46	38.73	5300421	250210192.000
12/16/2015	38.92	40.30	38.76	39.43	7656913	367388896.000
12/17/2015	39.75	40.06	39.42	39.91	9937121	478340128.000
12/18/2015	39.92	39.92	39.17	39.28	6128658	293215616.000
12/21/2015	39.13	40.08	38.98	39.80	6893030	332260480.000
12/22/2015	39.92	40.59	39.68	40.40	8515341	415610752.000
12/23/2015	40.50	40.67	39.42	39.43	7657272	371185600.000
12/24/2015	39.38	39.38	38.14	38.76	5488292	256806640.000
12/25/2015	38.74	38.99	38.33	38.96	5589034	261323536.000
12/28/2015	39.14	39.23	37.58	37.75	7913554	369445856.000
12/29/2015	37.83	38.16	37.18	38.15	5845919	266533936.000
12/30/2015	38.29	38.29	37.66	37.95	3968807	182557488.000
12/31/2015	37.96	38.06	37.58	37.70	3431655	157411584.000
01/04/2016	37.70	38.75	35.84	36.23	7097473	326077440.000
01/05/2016	35.25	37.38	35.00	37.09	8615792	382234400.000
01/06/2016	37.09	40.84	37.09	40.31	18451985	883427136.000
01/07/2016	39.24	39.26	36.23	36.32	4307678	197150704.000
01/08/2016	38.08	39.99	35.52	39.99	19090613	899930880.000
01/11/2016	39.70	42.81	38.92	40.63	26486337	1333449344.000
01/12/2016	40.63	41.74	37.75	39.63	16384433	793178624.000
01/13/2016	39.08	40.25	36.25	37.71	12992816	606845312.000
01/14/2016	36.28	39.17	36.25	39.17	12774426	584227136.000
01/15/2016	39.25	39.48	36.25	36.61	12980606	591609664.000
01/18/2016	35.17	36.46	35.08	35.68	6425979	277538720.000
02/03/2016	35.75	35.76	32.25	34.05	9198795	379423456.000
02/04/2016	34.08	34.67	33.73	34.63	8031747	332472320.000
02/05/2016	34.58	34.83	34.09	34.18	6079032	253913984.000
02/15/2016	32.51	33.38	32.46	33.02	6532876	261559696.000
02/16/2016	33.22	34.57	33.22	34.37	7193649	299070080.000
02/17/2016	35.33	37.67	35.33	36.45	9896914	440355968.000
02/18/2016	36.43	36.87	35.90	36.10	7269334	320771648.000
02/19/2016	36.12	36.67	36.11	36.38	4968342	219569808.000
02/22/2016	37.13	37.40	36.28	36.53	6534325	291466816.000
02/23/2016	36.99	37.00	35.55	35.79	5673541	248762320.000
02/24/2016	35.79	38.93	35.75	38.53	17546282	799930304.000
02/25/2016	37.75	39.42	35.50	36.17	14848770	683499008.000
02/26/2016	36.58	38.13	36.33	37.64	11776708	534105760.000
02/29/2016	37.58	39.58	35.79	39.34	17516500	811038784.000
03/01/2016	39.75	42.26	38.84	40.71	17432091	863140032.000
03/02/2016	40.21	41.33	39.17	41.13	14556198	711886080.000
03/03/2016	40.51	42.03	39.63	39.73	12020125	594079232.000
03/04/2016	39.25	42.25	39.25	41.10	15373202	769506688.000
03/07/2016	41.67	42.77	41.09	42.17	10360121	527037824.000
03/08/2016	41.48	41.74	39.17	40.69	9016359	441456800.000
03/09/2016	39.56	40.43	37.93	38.69	6726069	319426496.000
03/10/2016	38.91	40.65	38.75	39.48	6782270	327767328.000
03/11/2016	39.13	40.58	38.78	39.79	4594520	223096848.000
03/14/2016	40.00	41.67	40.00	41.06	6860180	340837504.000
03/15/2016	41.08	41.88	39.99	40.00	5383296	265720160.000
03/16/2016	40.00	40.41	38.34	38.84	5752697	273123296.000
03/17/2016	38.85	40.27	38.50	39.99	6337811	305350816.000
03/18/2016	40.08	41.23	40.08	40.88	8572952	423127296.000
03/21/2016	41.27	42.52	40.90	41.53	10946950	554320192.000
03/22/2016	41.25	44.73	40.65	42.88	13311259	697715072.000
03/23/2016	42.54	44.55	42.52	43.67	11570500	614394560.000
03/24/2016	43.50	45.03	42.54	42.92	10936100	582716224.000
03/25/2016	42.27	42.84	41.58	42.31	8529000	435566176.000
03/28/2016	43.23	43.50	41.58	41.88	6390235	329914592.000
03/29/2016	41.55	42.48	41.26	41.98	5155384	260784864.000
03/30/2016	42.65	43.15	41.92	43.06	6962900	358827872.000
03/31/2016	43.08	43.46	42.38	42.46	5267032	273396192.000
04/01/2016	42.22	42.50	41.33	42.08	4204878	212760832.000
04/05/2016	42.33	42.89	41.73	42.86	7456570	382128800.000
04/06/2016	42.71	44.43	42.50	43.64	10537408	556709312.000
04/07/2016	43.75	44.08	42.42	42.42	6674700	347313440.000
04/08/2016	42.08	44.00	41.00	42.67	12139600	622199232.000
04/11/2016	42.92	43.29	41.97	42.23	10576700	543370624.000
04/12/2016	42.16	42.16	39.87	40.38	10719900	529782912.000
04/13/2016	40.42	40.95	40.38	40.41	8203000	404696416.000
04/14/2016	40.58	40.92	39.93	40.79	8944203	437054112.000
04/15/2016	40.83	40.91	40.18	40.49	6238331	306123552.000
04/18/2016	40.68	41.25	40.58	41.05	7522100	373042272.000
04/19/2016	41.61	41.61	40.59	40.88	5437400	269782624.000
04/20/2016	41.17	41.25	38.33	39.08	9183235	439542048.000
04/21/2016	39.32	39.32	38.61	38.74	4924000	231914176.000
04/22/2016	38.35	39.42	38.22	39.02	4444600	209842624.000
04/25/2016	38.79	38.99	38.33	38.62	3431784	160490400.000
04/26/2016	38.67	39.11	38.63	39.00	3168139	149492704.000
04/27/2016	39.08	39.21	38.59	38.67	2920084	137752000.000
04/28/2016	38.68	38.78	37.82	38.29	3764386	174517376.000
04/29/2016	38.08	38.75	37.90	38.42	2870839	133801008.000
05/03/2016	38.62	39.83	38.43	39.81	6038700	289391680.000
05/04/2016	39.83	40.26	39.54	39.58	4975782	240441200.000
05/05/2016	39.58	40.04	39.36	39.83	3915388	188496096.000
05/06/2016	39.83	40.58	38.83	38.92	7699126	371619392.000
05/09/2016	38.93	38.94	37.08	37.18	5648272	258496064.000
05/10/2016	37.17	37.66	36.92	36.99	4263072	192560944.000
05/11/2016	37.65	39.58	37.21	38.25	9960239	465591264.000
05/12/2016	37.82	37.82	35.15	37.01	6434559	287708480.000
05/13/2016	37.04	38.48	37.03	37.38	4470727	204473344.000
05/16/2016	37.40	38.67	37.34	38.58	6710844	310184032.000
05/17/2016	38.58	38.65	37.61	37.79	5590200	257321904.000
05/18/2016	37.33	37.33	36.28	36.53	4717196	209350448.000
05/19/2016	36.83	37.13	36.29	36.42	3613423	161101152.000
05/20/2016	36.17	36.64	35.84	36.58	2686222	118351392.000
05/23/2016	36.58	37.03	36.41	36.90	2734235	121948552.000
05/24/2016	36.80	36.95	36.13	36.31	3028939	133481288.000
05/25/2016	36.50	36.66	36.08	36.33	2414869	106425320.000
05/26/2016	36.42	36.57	35.58	36.05	3433123	149626000.000
05/27/2016	36.14	37.23	36.01	36.75	4882586	217153760.000
05/30/2016	36.75	36.80	36.40	36.50	2956947	131168896.000
05/31/2016	36.62	37.95	36.52	37.90	7161415	324681376.000
06/01/2016	38.01	38.10	37.51	37.69	6453096	243680432.000
06/02/2016	37.59	38.00	37.42	37.78	4578548	172429584.000
06/03/2016	37.85	38.37	37.58	38.37	9107570	346640416.000
06/06/2016	38.41	38.42	37.77	37.93	5490295	208435008.000
06/07/2016	37.94	38.00	37.46	37.73	4394887	165395664.000
06/08/2016	37.70	37.70	36.65	36.99	7131285	263921552.000
06/13/2016	36.44	36.77	35.90	35.90	5491778	199471280.000
06/14/2016	35.60	36.20	35.60	36.00	2934500	105453312.000
06/15/2016	35.35	36.79	35.35	36.53	5019064	182652960.000
06/16/2016	36.53	36.98	36.01	36.07	4703735	171733072.000
06/17/2016	36.20	36.58	35.98	36.18	4059099	147135072.000
06/20/2016	36.25	36.43	35.83	36.19	4000332	144479440.000
06/21/2016	36.47	36.50	36.15	36.25	4428801	160760432.000
06/22/2016	36.20	36.81	36.17	36.73	4673160	170667312.000
06/23/2016	36.73	36.89	36.22	36.37	3589967	130800768.000
06/24/2016	36.39	36.50	35.35	36.01	5359880	192843200.000
06/27/2016	35.61	36.57	35.61	36.52	4993101	181372080.000
06/28/2016	36.30	36.66	36.09	36.48	5099267	185269984.000
06/29/2016	36.77	36.77	36.21	36.35	4341340	158273184.000
06/30/2016	36.40	36.68	36.10	36.22	5143492	186891648.000
07/01/2016	36.32	36.95	36.21	36.65	7058897	258507344.000
07/04/2016	36.63	37.26	36.36	37.19	8169932	301590912.000
07/05/2016	37.25	37.35	36.76	36.98	6688492	247124352.000
07/06/2016	37.07	38.50	36.88	38.40	11423082	430929792.000
07/07/2016	38.38	39.21	38.11	38.51	11727946	452768928.000
07/08/2016	38.58	38.80	37.86	38.01	6088400	232145856.000
07/11/2016	38.09	38.57	37.67	37.74	6078129	230954176.000
07/12/2016	37.81	38.45	37.55	38.39	6984377	265772592.000
07/13/2016	38.45	39.50	38.12	38.91	10002263	388304320.000
07/14/2016	38.98	39.93	38.80	39.83	12943740	511472576.000
07/15/2016	39.83	41.39	39.70	40.58	12364619	504101504.000
07/18/2016	40.70	41.34	39.97	40.58	11015584	448749120.000
07/19/2016	40.40	40.40	39.66	39.91	7066533	282635072.000
07/20/2016	39.89	40.12	39.55	39.75	3779750	150500032.000
07/21/2016	39.82	40.10	39.43	39.50	5231795	208256032.000
07/22/2016	39.50	39.79	38.65	38.70	4935053	192611792.000
07/25/2016	38.79	39.33	38.42	39.10	4937746	191991248.000
07/26/2016	38.80	39.29	38.78	39.19	4574363	178458592.000
07/27/2016	39.30	39.30	36.70	37.20	8490116	321391264.000
07/28/2016	37.20	37.67	36.96	37.45	4029906	150596752.000
07/29/2016	37.46	37.78	36.90	37.60	3952154	147632272.000
08/01/2016	37.72	37.72	36.95	37.06	3088283	114765904.000
08/02/2016	37.10	37.30	37.00	37.19	2194743	81476896.000
08/03/2016	37.18	37.25	37.00	37.19	2147559	79738664.000
08/04/2016	37.19	37.19	36.71	37.09	2546906	94247768.000
08/05/2016	37.10	38.18	36.99	37.73	4781500	179904128.000
08/08/2016	37.45	37.93	37.40	37.80	3406200	128312464.000
08/09/2016	37.75	37.94	37.56	37.85	3663519	138225056.000
08/10/2016	37.78	37.88	37.45	37.47	3595623	135237392.000
08/11/2016	37.60	37.66	36.93	36.97	3519119	131047368.000
08/12/2016	37.15	37.33	36.78	37.27	3228268	119552864.000
08/15/2016	37.29	38.10	37.03	37.82	6723423	253779680.000
08/16/2016	37.81	38.19	37.75	38.06	5349593	203004192.000
08/17/2016	38.00	38.03	37.78	37.91	3857293	146145600.000
08/18/2016	37.89	38.06	37.72	37.80	3297031	124671264.000
08/19/2016	37.80	37.99	37.70	37.84	2938371	111238112.000
08/22/2016	37.86	37.99	37.44	37.45	3041765	114599376.000
08/23/2016	37.35	37.81	37.31	37.59	2537017	95404856.000
08/24/2016	37.62	38.18	37.62	38.09	4729091	179861408.000
08/25/2016	38.01	38.15	37.48	38.15	4483591	169533808.000
08/26/2016	38.63	38.70	37.93	37.98	5818600	222694128.000
08/29/2016	37.87	38.10	37.80	37.91	2960015	112453112.000
08/30/2016	38.20	38.65	38.14	38.17	4565550	175168288.000
08/31/2016	38.39	38.40	37.88	38.17	4134383	157412368.000
09/01/2016	38.39	38.57	38.25	38.25	5238979	201150832.000
09/02/2016	38.18	38.29	37.75	37.98	3228035	122669576.000
09/05/2016	38.07	38.18	37.84	37.90	2377541	90414728.000
09/06/2016	37.80	38.11	37.40	38.08	3636422	137319584.000
09/07/2016	38.08	38.14	37.85	37.89	3064810	116460672.000
09/08/2016	37.89	38.08	37.70	38.08	2450922	92907120.000
09/09/2016	38.00	38.09	37.88	37.94	2078200	78892624.000
09/12/2016	37.50	37.64	36.90	36.90	4437724	165228352.000
09/13/2016	37.03	37.16	36.65	36.83	1999657	73745752.000
09/14/2016	36.70	36.92	36.53	36.70	1761142	64664180.000
09/19/2016	36.72	37.19	36.72	36.94	1660593	61450940.000
09/20/2016	36.95	37.07	36.84	36.92	1197089	44205952.000
09/21/2016	36.94	36.99	36.71	36.88	1276432	47140476.000
09/22/2016	37.05	37.12	36.90	36.91	2036832	75317960.000
09/23/2016	37.08	37.08	36.70	36.71	1739142	64009692.000
09/26/2016	36.70	36.80	35.99	36.00	2675779	96986968.000
09/27/2016	36.00	36.13	35.60	36.01	1798960	64563000.000
09/28/2016	36.15	36.15	35.71	35.71	1248111	44743280.000
09/29/2016	35.86	35.94	35.73	35.78	1589875	56970064.000
09/30/2016	35.82	35.92	35.69	35.87	1603098	57389352.000
数据来源:通达信
