300509 新美星 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
04/25/2016	17.15	18.74	17.15	18.74	10058	191490.734
04/26/2016	20.64	20.64	20.64	20.64	3200	67008.000
04/27/2016	22.73	22.73	22.73	22.73	600	13818.000
04/28/2016	25.03	25.03	25.03	25.03	2600	65858.000
04/29/2016	27.56	27.56	27.56	27.56	7000	195020.000
05/03/2016	30.35	30.35	30.35	30.35	11600	356030.406
05/04/2016	33.42	33.42	33.42	33.42	20200	681144.000
05/05/2016	36.79	36.79	36.79	36.79	16600	615694.000
05/06/2016	40.50	40.50	40.50	40.50	47000	1917600.000
05/09/2016	44.58	44.58	44.58	44.58	111428	5000888.500
05/10/2016	49.07	49.07	49.07	49.07	136274	6727847.500
05/11/2016	54.01	54.01	50.21	50.72	11884088	633488768.000
05/12/2016	46.30	49.58	45.62	46.40	7749080	364317408.000
05/13/2016	45.61	51.07	44.97	51.07	9233171	460742464.000
05/16/2016	50.00	50.93	47.35	49.64	6921096	339589888.000
05/17/2016	48.90	51.70	48.62	49.00	6098500	306462176.000
05/18/2016	46.91	48.58	45.71	46.46	4834823	226541968.000
05/19/2016	46.45	48.49	45.85	46.60	4242090	201655344.000
05/20/2016	45.70	49.64	44.73	49.00	5420565	259460384.000
05/23/2016	49.11	53.93	48.92	53.93	8962542	478227360.000
05/24/2016	53.93	56.00	52.38	55.30	9931422	541507776.000
05/25/2016	54.40	58.30	53.90	56.44	8398001	470470048.000
05/26/2016	56.30	61.68	56.06	59.57	9037821	529695392.000
05/27/2016	58.38	59.61	56.51	56.64	7098946	414780928.000
05/30/2016	54.85	58.85	54.70	57.06	4784913	274485440.000
05/31/2016	56.86	61.60	56.70	59.71	6807493	405946112.000
06/01/2016	59.55	61.70	58.10	59.31	7559583	455871232.000
06/02/2016	58.55	61.20	57.90	60.32	5798171	345323232.000
06/03/2016	59.55	63.99	59.08	60.61	7024748	431806656.000
06/06/2016	60.13	61.18	58.30	59.64	4215550	253784256.000
06/07/2016	59.55	63.98	59.25	63.58	6237565	388720320.000
06/08/2016	62.70	62.97	59.90	60.68	4569711	281403744.000
06/13/2016	58.55	59.29	54.58	54.58	4571404	261462496.000
06/14/2016	53.05	55.68	53.00	55.00	3326529	182354304.000
06/15/2016	53.78	59.58	53.78	58.30	4291862	249209760.000
06/16/2016	58.30	62.68	57.90	61.69	5358799	329359296.000
06/17/2016	61.69	65.59	61.50	65.40	6337536	403418336.000
06/20/2016	65.16	71.20	63.30	68.45	6483142	436124288.000
06/21/2016	68.45	72.50	67.28	67.69	6839588	476962656.000
06/22/2016	66.43	71.50	65.78	69.52	5477955	380760928.000
06/23/2016	68.95	70.91	67.21	68.42	4433827	307542400.000
06/24/2016	67.47	69.52	63.46	67.85	4645676	312884416.000
06/27/2016	66.82	74.67	66.82	74.67	6473232	470901664.000
06/28/2016	75.15	82.17	74.68	82.17	8065219	631773056.000
06/29/2016	83.21	90.42	79.70	88.81	8005937	684539328.000
06/30/2016	83.21	85.13	79.90	80.26	7691638	632984576.000
07/01/2016	81.55	88.32	81.55	88.20	8757596	755762304.000
07/04/2016	87.70	92.58	83.60	91.84	7349194	641568512.000
07/05/2016	90.42	94.40	89.10	91.60	6278490	579636992.000
07/06/2016	89.70	92.18	86.20	87.68	4924116	436307712.000
07/07/2016	86.34	89.52	86.29	88.18	3405604	300486208.000
07/08/2016	88.22	92.69	86.51	88.81	4763700	428961280.000
07/11/2016	88.30	88.30	79.90	79.90	5130693	423469344.000
07/12/2016	79.15	83.62	75.88	83.60	4547099	367301152.000
07/13/2016	83.20	88.65	81.70	85.90	4546631	390552096.000
07/14/2016	85.88	88.35	84.85	87.62	3504711	305446656.000
07/15/2016	86.55	94.15	86.53	90.03	5649523	513954880.000
07/18/2016	90.86	90.86	85.50	86.20	3897121	342887488.000
07/19/2016	83.66	86.90	83.27	86.58	2878369	243829632.000
07/20/2016	86.56	87.75	84.68	84.68	2529265	217411632.000
07/21/2016	83.94	84.48	80.00	80.40	3461086	282076480.000
07/22/2016	80.00	81.20	75.16	77.46	2992249	234248480.000
07/25/2016	77.00	77.77	73.51	75.70	2382078	180170816.000
07/26/2016	75.55	78.86	75.40	77.87	2332705	181289504.000
07/27/2016	77.79	78.33	70.08	70.73	3322936	242505904.000
07/28/2016	70.30	72.80	68.69	71.78	2648542	187071520.000
07/29/2016	71.46	73.55	69.05	71.50	2480230	177580368.000
08/01/2016	69.30	69.98	64.50	67.00	2420652	161805456.000
08/02/2016	67.19	69.03	67.08	69.03	2423833	165160672.000
08/03/2016	69.16	75.93	68.88	75.93	4512100	329337376.000
08/04/2016	76.10	76.98	74.31	75.15	3799156	286622432.000
08/05/2016	74.90	75.60	72.22	73.36	2565100	190140496.000
08/08/2016	72.00	74.90	69.01	74.90	2743900	197075680.000
08/09/2016	73.98	78.00	73.73	76.93	3755586	286501472.000
08/10/2016	76.50	78.64	75.22	76.51	3618833	277916064.000
08/11/2016	75.70	76.75	72.35	72.42	2660839	199393376.000
08/12/2016	71.48	74.30	71.29	72.80	2333592	170061232.000
08/15/2016	73.30	77.48	72.28	76.40	3279890	247009088.000
08/16/2016	76.81	81.80	76.50	78.29	4257566	339769856.000
08/17/2016	76.99	81.99	76.68	80.50	4323601	345671712.000
08/18/2016	80.00	83.75	79.51	81.30	4363943	357124800.000
08/19/2016	80.00	83.26	79.81	81.13	3256271	265980400.000
08/22/2016	81.12	82.04	74.99	75.10	3244611	251689504.000
08/23/2016	75.50	82.61	75.40	82.61	3012350	243021888.000
08/24/2016	86.00	88.80	82.70	84.85	7346769	626830592.000
08/25/2016	84.02	84.35	78.31	82.93	5305000	433051744.000
08/26/2016	82.50	84.00	79.00	79.52	3620200	294468480.000
08/29/2016	77.12	78.30	74.63	75.70	4074626	311036064.000
08/30/2016	75.50	76.44	74.80	75.30	2149309	162194816.000
08/31/2016	75.00	76.44	72.54	75.94	2759048	205467440.000
09/01/2016	75.51	75.59	73.20	73.39	2235217	166272816.000
09/02/2016	73.30	74.56	72.95	73.24	1619568	119360248.000
09/05/2016	73.93	75.88	73.50	73.92	1780650	132999992.000
09/06/2016	73.35	74.58	71.30	74.30	2121618	155100624.000
09/07/2016	74.30	74.89	72.00	72.19	2010392	147569424.000
09/08/2016	72.00	72.70	70.56	71.50	1561510	111897816.000
09/09/2016	71.55	72.49	69.81	70.70	1732600	123175584.000
09/12/2016	67.20	69.48	67.13	67.72	1574617	107415296.000
09/13/2016	68.45	68.97	67.52	67.97	906712	61783240.000
09/14/2016	67.80	68.39	66.80	67.21	889036	59936360.000
09/19/2016	67.65	68.30	67.65	68.25	1001083	68090024.000
09/20/2016	68.40	68.65	67.60	67.71	840908	57155556.000
09/21/2016	67.25	69.69	67.25	68.48	1590032	109086608.000
09/22/2016	68.90	69.48	68.10	68.77	1232150	84782680.000
09/23/2016	69.05	69.50	68.50	68.75	1227206	84719216.000
09/26/2016	68.48	68.48	63.52	63.61	1876038	122681928.000
09/27/2016	63.48	64.40	62.98	64.40	1197595	76269296.000
09/28/2016	64.25	64.40	63.60	63.85	853614	54567176.000
09/29/2016	64.38	64.79	63.62	63.86	897595	57645236.000
09/30/2016	63.80	64.10	63.50	63.63	635342	40528292.000
数据来源:通达信
